RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Tom Hoge,101,"28' 4""",6235.33,220,-3,Y2018
2,,Tiger Woods,68,"28' 11""",4398.17,152,-6,Y2018
3,,Hideki Matsuyama,75,"29' 1""",3900.83,134,-16,Y2018
T4,,Sung Kang,89,"29' 4""",5076.92,173,-5,Y2018
T4,,Shane Lowry,64,"29' 4""",3460.42,118,-2,Y2018
6,,Nick Watney,94,"29' 7""",5320.5,180,8,Y2018
7,,Gary Woodland,96,"29' 9""",4937.83,166,14,Y2018
8,,Francesco Molinari,73,"29' 11""",3922.17,131,-5,Y2018
9,,Chez Reavie,93,"30' 0""",4858.17,162,-1,Y2018
T10,,Rickie Fowler,74,"30' 3""",4444.58,147,-15,Y2018
T10,,Patton Kizzire,92,"30' 3""",4835.17,160,-2,Y2018
12,,Henrik Stenson,60,"30' 4""",4340.33,143,1,Y2018
13,,Kevin Na,91,"30' 5""",5441.42,179,-8,Y2018
14,,Kyle Stanley,93,"30' 7""",5348.58,175,-4,Y2018
15,,Phil Mickelson,90,"30' 9""",4730.67,154,-1,Y2018
T16,,Branden Grace,67,"30' 11""",3613.42,117,-5,Y2018
T16,,Bubba Watson,90,"30' 11""",4045.42,131,-12,Y2018
T18,,Chesson Hadley,103,"31' 1""",6099.75,196,-4,Y2018
T18,,David Hearn,66,"31' 1""",4107.08,132,E,Y2018
T18,,Brooks Koepka,64,"31' 1""",3042.75,98,-8,Y2018
T21,,Bronson Burgoon,69,"31' 2""",3803.5,122,2,Y2018
T21,,Tyler Duncan,97,"31' 2""",6638.42,213,11,Y2018
T21,,Robert Garrigus,80,"31' 2""",5481.58,176,3,Y2018
T21,,Emiliano Grillo,94,"31' 2""",6017.67,193,-10,Y2018
T25,,Patrick Cantlay,87,"31' 4""",4918.67,157,-1,Y2018
T25,,Dustin Johnson,77,"31' 4""",4318.67,138,-20,Y2018
T25,,Andrew Putnam,97,"31' 4""",5833.67,186,-10,Y2018
T28,,Stewart Cink,87,"31' 5""",5437.67,173,3,Y2018
T28,,Matt Every,79,"31' 5""",4425.42,141,E,Y2018
T28,,Retief Goosen,60,"31' 5""",3173.17,101,4,Y2018
T28,,J.T. Poston,73,"31' 5""",4179.67,133,-2,Y2018
T28,,Conrad Shindler,60,"31' 5""",3613.08,115,1,Y2018
33,,Rory McIlroy,64,"31' 6""",3304.58,105,-5,Y2018
34,,Shawn Stefani,76,"31' 7""",4327.25,137,-11,Y2018
T35,,Wesley Bryan,69,"31' 8""",4686.17,148,1,Y2018
T35,,Louis Oosthuizen,62,"31' 8""",4018.67,127,11,Y2018
T35,,Jimmy Walker,81,"31' 8""",5029.67,159,-12,Y2018
T38,,Rafa Cabrera Bello,75,"31' 10""",4041.5,127,-9,Y2018
T38,,Tyrone Van Aswegen,101,"31' 10""",6306.08,198,-2,Y2018
40,,Andrew Landry,82,"31' 11""",5649,177,1,Y2018
