RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Robert Streb,78,"10' 4""",329.333,32,-8,Y2018
T2,,Stewart Cink,87,"13' 5""",709.667,53,-9,Y2018
T2,,Justin Thomas,91,"13' 5""",630.583,47,-16,Y2018
4,,Tiger Woods,68,"13' 8""",641.583,47,-14,Y2018
T5,,Brian Gay,103,"13' 9""",1553.58,113,-29,Y2018
T5,,Ben Martin,64,"13' 9""",537.167,39,-8,Y2018
T7,,Chad Campbell,87,"13' 10""",624.333,45,-17,Y2018
T7,,Rory McIlroy,64,"13' 10""",483.5,35,-6,Y2018
9,,Ryan Blaum,81,"13' 11""",694.833,50,-13,Y2018
10,,Danny Lee,88,"14' 1""",533.75,38,-13,Y2018
11,,Webb Simpson,95,"14' 2""",950.333,67,-15,Y2018
12,,Wesley Bryan,69,"14' 3""",654.917,46,-16,Y2018
T13,,Ryan Armour,109,"14' 5""",1538.75,107,-22,Y2018
T13,,J.B. Holmes,77,"14' 5""",607.167,42,-10,Y2018
15,,Sung Kang,89,"14' 6""",752.833,52,-19,Y2018
T16,,Retief Goosen,60,"14' 8""",601.333,41,-3,Y2018
T16,,Nicholas Lindheim,77,"14' 8""",793.25,54,-19,Y2018
18,,Vaughn Taylor,83,"14' 9""",1017.58,69,-13,Y2018
T19,,Corey Conners,97,"14' 11""",997.083,67,-16,Y2018
T19,,Xander Schauffele,96,"14' 11""",373.667,25,-6,Y2018
T19,,Brandt Snedeker,84,"14' 11""",941.667,63,-8,Y2018
T19,,Chris Stroud,81,"14' 11""",684.5,46,-9,Y2018
23,,Ricky Barnes,65,"15' 0""",495.167,33,-5,Y2018
T24,,Bryson DeChambeau,93,"15' 1""",634.167,42,-10,Y2018
T24,,C.T. Pan,104,"15' 1""",799.083,53,-6,Y2018
T26,,Martin Laird,73,"15' 2""",862.167,57,-14,Y2018
T26,,Andrew Putnam,97,"15' 2""",682.417,45,-15,Y2018
28,,Blayne Barber,69,"15' 3""",745.417,49,-12,Y2018
T29,,David Hearn,66,"15' 4""",520.583,34,-10,Y2018
T29,,J.J. Henry,81,"15' 4""",736.167,48,-6,Y2018
T31,,Tom Hoge,101,"15' 6""",1024.08,66,-12,Y2018
