RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Bronson Burgoon,69,"33' 8""",3332,99,-21,Y2018
2,,Paul Casey,74,"34' 2""",3008.58,88,-7,Y2018
3,,Brooks Koepka,64,"34' 4""",2988.83,87,-13,Y2018
4,,Henrik Stenson,60,"34' 10""",3131.5,90,3,Y2018
5,,Branden Grace,67,"34' 11""",2376.17,68,-8,Y2018
6,,Jason Kokrak,99,"35' 1""",4345.5,124,-17,Y2018
7,,Nate Lashley,51,"35' 7""",1779.67,50,-5,Y2018
T8,,Keith Mitchell,99,"35' 9""",3857,108,-10,Y2018
T8,,Jon Rahm,71,"35' 9""",3038.83,85,-18,Y2018
T10,,Justin Thomas,91,"36' 2""",3432.58,95,-9,Y2018
T10,,Jhonattan Vegas,92,"36' 2""",2637.5,73,-13,Y2018
12,,Retief Goosen,60,"36' 3""",1485.08,41,2,Y2018
13,,Tommy Fleetwood,73,"36' 5""",3275.5,90,-16,Y2018
14,,Rory McIlroy,64,"36' 6""",2995.5,82,-13,Y2018
T15,,Phil Mickelson,90,"36' 9""",4074.75,111,-13,Y2018
T15,,Sam Ryder,82,"36' 9""",3783.25,103,-11,Y2018
17,,Gary Woodland,96,"36' 10""",4128.5,112,-15,Y2018
T18,,Hideki Matsuyama,75,"37' 0""",3882.17,105,-8,Y2018
T18,,Conrad Shindler,60,"37' 0""",2146.25,58,1,Y2018
20,,Adam Scott,78,"37' 2""",3756.92,101,-11,Y2018
21,,Sam Saunders,80,"37' 3""",3949,106,-12,Y2018
T22,,Brandon Harkins,101,"37' 5""",4267.08,114,-13,Y2018
T22,,Russell Henley,77,"37' 5""",3032.25,81,-2,Y2018
T24,,Charley Hoffman,87,"37' 6""",3559.5,95,-2,Y2018
T24,,Kevin Na,91,"37' 6""",4615.67,123,-7,Y2018
T26,,Blayne Barber,69,"37' 10""",3442.67,91,-7,Y2018
T26,,Zach Johnson,94,"37' 10""",4121.33,109,2,Y2018
28,,Tiger Woods,68,"37' 11""",3486.25,92,-1,Y2018
T29,,Kiradech Aphibarnrat,51,"38' 0""",2128.75,56,6,Y2018
T29,,Tyrrell Hatton,58,"38' 0""",2886.5,76,1,Y2018
T29,,C.T. Pan,104,"38' 0""",5509.75,145,3,Y2018
32,,Alex Cejka,77,"38' 1""",3842.75,101,-3,Y2018
T33,,Talor Gooch,78,"38' 2""",3432.67,90,-3,Y2018
T33,,David Lingmerth,82,"38' 2""",3398.75,89,10,Y2018
T33,,Grayson Murray,72,"38' 2""",3204.17,84,-3,Y2018
36,,Billy Horschel,86,"38' 3""",5161.83,135,-24,Y2018
T37,,Patton Kizzire,92,"38' 4""",4557.67,119,5,Y2018
T37,,J.T. Poston,73,"38' 4""",2646.67,69,-11,Y2018
T39,,Chez Reavie,93,"38' 5""",4111.58,107,-9,Y2018
T39,,Justin Rose,70,"38' 5""",3345.67,87,E,Y2018
41,,Emiliano Grillo,94,"38' 6""",4425.5,115,E,Y2018
T42,,Byeong Hun An,86,"38' 7""",4129,107,-12,Y2018
T42,,Xander Schauffele,96,"38' 7""",4324.08,112,-15,Y2018
T42,,J.J. Spaun,85,"38' 7""",4014.17,104,2,Y2018
T45,,Anirban Lahiri,82,"38' 8""",3714.08,96,7,Y2018
T45,,Cameron Smith,85,"38' 8""",3634.92,94,-7,Y2018
T47,,Rickie Fowler,74,"38' 10""",4353.67,112,-5,Y2018
T47,,"Ted Potter, Jr.",87,"38' 10""",4544.17,117,8,Y2018
T47,,Brett Stegmaier,67,"38' 10""",2524.67,65,-6,Y2018
50,,Andrew Landry,82,"38' 11""",4082.92,105,8,Y2018
51,,Louis Oosthuizen,62,"39' 0""",2771.92,71,-1,Y2018
T52,,Martin Flores,92,"39' 1""",3439.42,88,-8,Y2018
T52,,Chesson Hadley,103,"39' 1""",4652.17,119,-14,Y2018
T54,,Tyler Duncan,97,"39' 5""",4456.83,113,-3,Y2018
T54,,Patrick Reed,94,"39' 5""",3945.25,100,10,Y2018
T56,,Keegan Bradley,98,"39' 6""",5014.42,127,E,Y2018
T56,,Bryson DeChambeau,93,"39' 6""",4821.42,122,-11,Y2018
T56,,Tony Finau,105,"39' 6""",4424.67,112,-3,Y2018
T59,,Bud Cauley,55,"39' 7""",2058.17,52,-6,Y2018
T59,,Francesco Molinari,73,"39' 7""",3722.83,94,E,Y2018
61,,Daniel Berger,81,"39' 8""",3566.33,90,E,Y2018
T62,,Mackenzie Hughes,80,"39' 9""",3897.17,98,1,Y2018
T62,,Aaron Wise,90,"39' 9""",5448.92,137,3,Y2018
T64,,Ben Crane,65,"39' 10""",2908.17,73,3,Y2018
T64,,Webb Simpson,95,"39' 10""",5219.5,131,-11,Y2018
T64,,Harold Varner III,91,"39' 10""",3786.08,95,-19,Y2018
T67,,Brice Garnett,99,"39' 11""",5067.75,127,5,Y2018
T67,,James Hahn,85,"39' 11""",4195.58,105,-2,Y2018
T69,,Lanto Griffin,80,"40' 0""",2761.83,69,3,Y2018
T69,,Tom Hoge,101,"40' 0""",4558.58,114,8,Y2018
T69,,Ben Silverman,90,"40' 0""",3799.5,95,-4,Y2018
72,,Sung Kang,89,"40' 1""",3646.58,91,E,Y2018
T73,,Corey Conners,97,"40' 2""",4781.67,119,-11,Y2018
T73,,Shane Lowry,64,"40' 2""",2811.17,70,4,Y2018
T73,,Robert Streb,78,"40' 2""",2929.58,73,1,Y2018
T73,,Jimmy Walker,81,"40' 2""",3452.33,86,-1,Y2018
T73,,Richy Werenski,98,"40' 2""",4095.58,102,E,Y2018
T78,,Dominic Bozzelli,65,"40' 3""",2815.75,70,-11,Y2018
T78,,Austin Cook,107,"40' 3""",5720.58,142,-2,Y2018
T78,,Dustin Johnson,77,"40' 3""",3781.75,94,-21,Y2018
T78,,Cameron Percy,56,"40' 3""",2011.08,50,-4,Y2018
T82,,Kevin Chappell,77,"40' 5""",3796.17,94,-2,Y2018
T82,,Joel Dahmen,93,"40' 5""",3962.75,98,7,Y2018
T84,,Ryan Palmer,69,"40' 6""",3076.33,76,-1,Y2018
T84,,D.A. Points,63,"40' 6""",3241.75,80,2,Y2018
T86,,Patrick Cantlay,87,"40' 7""",4422.58,109,-5,Y2018
T86,,Stewart Cink,87,"40' 7""",4099.75,101,-12,Y2018
88,,Denny McCarthy,71,"40' 8""",3254.92,80,5,Y2018
T89,,Wesley Bryan,69,"40' 9""",2484.92,61,3,Y2018
T89,,Harris English,84,"40' 9""",4032.42,99,-4,Y2018
T91,,Ryan Blaum,81,"40' 10""",4325.75,106,5,Y2018
T91,,Si Woo Kim,108,"40' 10""",4777.92,117,-6,Y2018
T91,,Andrew Putnam,97,"40' 10""",5026.17,123,7,Y2018
T94,,Jim Furyk,50,"40' 11""",2455.75,60,3,Y2018
T94,,Charles Howell III,104,"40' 11""",4864.75,119,-3,Y2018
T94,,Xinjun Zhang,81,"40' 11""",3521.33,86,-2,Y2018
T97,,Marc Leishman,93,"41' 0""",5578.5,136,-1,Y2018
T97,,Nick Watney,94,"41' 0""",4470.5,109,-7,Y2018
T99,,David Hearn,66,"41' 1""",3079.83,75,2,Y2018
T99,,Billy Hurley III,70,"41' 1""",3409.58,83,-3,Y2018
T99,,Nick Taylor,94,"41' 1""",4275.17,104,7,Y2018
102,,Tom Lovelady,87,"41' 2""",3994.08,97,-13,Y2018
103,,Kyle Stanley,93,"41' 3""",4906.92,119,E,Y2018
104,,Jordan Spieth,81,"41' 4""",4049.75,98,-3,Y2018
T105,,Abraham Ancer,98,"41' 5""",5175,125,-2,Y2018
T105,,Fabián Gómez,88,"41' 5""",3435.58,83,5,Y2018
T107,,Troy Merritt,89,"41' 6""",4193.83,101,4,Y2018
T107,,Rob Oppenheim,74,"41' 6""",2903.17,70,-3,Y2018
T109,,Matt Atkins,56,"41' 7""",2327.75,56,-1,Y2018
T109,,Brian Gay,103,"41' 7""",6532.17,157,-11,Y2018
T109,,Michael Kim,74,"41' 7""",2493.83,60,9,Y2018
T109,,Danny Lee,88,"41' 7""",3949.58,95,5,Y2018
T109,,Ryan Moore,78,"41' 7""",4244.58,102,-7,Y2018
T114,,Matt Every,79,"41' 8""",2960.42,71,7,Y2018
T114,,Alex Noren,67,"41' 8""",3081,74,4,Y2018
T116,,Luke List,98,"41' 9""",4301.5,103,-2,Y2018
T116,,Pat Perez,82,"41' 9""",3341.67,80,2,Y2018
T116,,Brian Stuard,103,"41' 9""",5641,135,5,Y2018
T119,,Rafa Cabrera Bello,75,"41' 10""",3474.33,83,-3,Y2018
T119,,Andrew Yun,51,"41' 10""",2008.83,48,E,Y2018
