WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Ryan Moore,78,"7' 6""",29.917,4,-1,Y2018
2,,Dominic Bozzelli,65,"7' 10""",39.25,5,E,Y2018
3,,J.J. Henry,81,"12' 2""",24.25,2,-1,Y2018
4,,Rod Pampling,62,"14' 2""",70.75,5,2,Y2018
5,,Tyrrell Hatton,58,"14' 8""",117.417,8,-1,Y2018
6,,Chad Campbell,87,"14' 9""",73.667,5,1,Y2018
7,,Bryson DeChambeau,93,"14' 11""",194.167,13,1,Y2018
8,,Adam Scott,78,"15' 11""",95.25,6,-2,Y2018
9,,James Hahn,85,"16' 3""",146.167,9,3,Y2018
T10,,Ryan Armour,109,"16' 4""",114.083,7,E,Y2018
T10,,Ben Crane,65,"16' 4""",97.75,6,E,Y2018
T10,,Scott Stallings,96,"16' 4""",163.333,10,2,Y2018
13,,D.A. Points,63,"16' 5""",114.917,7,2,Y2018
14,,Brice Garnett,99,"16' 6""",148.417,9,1,Y2018
15,,Austin Cook,107,"16' 7""",232.583,14,2,Y2018
16,,Robert Streb,78,"16' 10""",168,10,3,Y2018
T17,,Stewart Cink,87,"16' 11""",101.333,6,E,Y2018
T17,,C.T. Pan,104,"16' 11""",135.25,8,E,Y2018
19,,Rory Sabbatini,91,"17' 0""",221.417,13,-3,Y2018
T20,,Paul Casey,74,"17' 3""",155.25,9,E,Y2018
T20,,Si Woo Kim,108,"17' 3""",103.667,6,2,Y2018
22,,David Hearn,66,"17' 6""",87.667,5,4,Y2018
23,,Russell Henley,77,"17' 7""",87.75,5,2,Y2018
24,,Andrew Landry,82,"17' 8""",158.833,9,4,Y2018
25,,Keegan Bradley,98,"18' 0""",180.167,10,-1,Y2018
26,,Jonathan Randolph,71,"18' 4""",183.167,10,5,Y2018
27,,Ryan Blaum,81,"18' 5""",221,12,E,Y2018
28,,Nicholas Lindheim,77,"18' 9""",187.083,10,2,Y2018
29,,Ben Silverman,90,"18' 10""",169.417,9,E,Y2018
T30,,Russell Knox,94,"19' 0""",95,5,E,Y2018
T30,,Marc Leishman,93,"19' 0""",342,18,4,Y2018
T30,,Kyle Thompson,50,"19' 0""",75.917,4,E,Y2018
T33,,Jim Furyk,50,"19' 1""",57.333,3,E,Y2018
T33,,Henrik Stenson,60,"19' 1""",76.333,4,E,Y2018
T35,,Keith Mitchell,99,"19' 7""",352.667,18,-3,Y2018
T35,,"Ted Potter, Jr.",87,"19' 7""",254.25,13,-1,Y2018
T37,,Zecheng Dou,53,"20' 2""",201.583,10,-1,Y2018
T37,,Alex Noren,67,"20' 2""",202,10,1,Y2018
T37,,Justin Thomas,91,"20' 2""",181.25,9,-2,Y2018
40,,Matt Kuchar,88,"20' 6""",204.917,10,-1,Y2018
T41,,Brian Gay,103,"20' 7""",205.667,10,5,Y2018
T41,,Billy Horschel,86,"20' 7""",144.167,7,-1,Y2018
T43,,Tommy Fleetwood,73,"20' 9""",166.25,8,-2,Y2018
T43,,John Huh,94,"20' 9""",352.25,17,3,Y2018
45,,Justin Rose,70,"20' 10""",125,6,-2,Y2018
46,,Rory McIlroy,64,"20' 11""",146.417,7,1,Y2018
47,,Webb Simpson,95,"21' 0""",167.667,8,3,Y2018
48,,Nick Watney,94,"21' 1""",147.333,7,3,Y2018
T49,,Bud Cauley,55,"21' 2""",211.333,10,E,Y2018
T49,,Bubba Watson,90,"21' 2""",466.25,22,-2,Y2018
51,,Brendan Steele,74,"21' 3""",255.25,12,E,Y2018
52,,Sean O'Hair,67,"21' 7""",194.333,9,1,Y2018
T53,,Joel Dahmen,93,"21' 8""",173.167,8,-1,Y2018
T53,,Matt Jones,70,"21' 8""",130,6,1,Y2018
T53,,Grayson Murray,72,"21' 8""",238,11,3,Y2018
56,,Jamie Lovemark,92,"21' 10""",437.417,20,-1,Y2018
T57,,Jonas Blixt,67,"22' 2""",111,5,-2,Y2018
T57,,Tom Lovelady,87,"22' 2""",376.833,17,-6,Y2018
59,,Beau Hossler,104,"22' 5""",336.75,15,6,Y2018
60,,Sam Ryder,82,"22' 6""",179.75,8,3,Y2018
61,,Stephan Jaeger,81,"22' 9""",250.583,11,1,Y2018
T62,,Zac Blair,64,"23' 0""",92,4,1,Y2018
T62,,Jon Rahm,71,"23' 0""",184.167,8,5,Y2018
T62,,Brett Stegmaier,67,"23' 0""",184,8,1,Y2018
65,,Tiger Woods,68,"23' 1""",184.75,8,5,Y2018
T66,,Kiradech Aphibarnrat,51,"23' 2""",139.167,6,3,Y2018
T66,,Martin Laird,73,"23' 2""",254.833,11,E,Y2018
T68,,Vaughn Taylor,83,"23' 3""",162.75,7,4,Y2018
T68,,Cameron Tringale,67,"23' 3""",139.5,6,4,Y2018
T70,,Matt Every,79,"23' 5""",140.5,6,3,Y2018
T70,,Trey Mullinax,75,"23' 5""",422,18,-1,Y2018
T70,,Martin Piller,79,"23' 5""",210.917,9,6,Y2018
73,,Kevin Na,91,"23' 6""",305.667,13,5,Y2018
74,,Tom Hoge,101,"23' 7""",212.5,9,1,Y2018
75,,Nate Lashley,51,"23' 9""",118.917,5,3,Y2018
76,,Jason Dufner,71,"23' 10""",238.333,10,E,Y2018
T77,,Phil Mickelson,90,"23' 11""",430.583,18,4,Y2018
T77,,Brian Stuard,103,"23' 11""",191.417,8,2,Y2018
79,,Roberto Díaz,72,"24' 0""",360,15,8,Y2018
80,,Alex Cejka,77,"24' 1""",168.5,7,E,Y2018
T81,,Martin Flores,92,"24' 2""",241.917,10,3,Y2018
T81,,David Lingmerth,82,"24' 2""",193.417,8,4,Y2018
T81,,Seamus Power,86,"24' 2""",361.917,15,2,Y2018
T84,,Aaron Baddeley,84,"24' 3""",339.25,14,7,Y2018
T84,,Adam Schenk,86,"24' 3""",169.75,7,E,Y2018
T86,,Luke List,98,"24' 4""",218.75,9,1,Y2018
T86,,Tyrone Van Aswegen,101,"24' 4""",341.167,14,E,Y2018
T88,,Jason Kokrak,99,"24' 6""",392.583,16,1,Y2018
T88,,Kelly Kraft,94,"24' 6""",146.833,6,3,Y2018
90,,Aaron Wise,90,"24' 7""",368.75,15,3,Y2018
T91,,Tyler Duncan,97,"24' 8""",172.5,7,5,Y2018
T91,,Retief Goosen,60,"24' 8""",74,3,1,Y2018
T91,,Peter Malnati,87,"24' 8""",246.5,10,2,Y2018
T94,,Brooks Koepka,64,"24' 9""",396.583,16,E,Y2018
T94,,Scott Piercy,84,"24' 9""",247.083,10,1,Y2018
T96,,J.B. Holmes,77,"24' 10""",273.25,11,4,Y2018
T96,,Sung Kang,89,"24' 10""",99.167,4,9,Y2018
T96,,Andrew Putnam,97,"24' 10""",298.417,12,1,Y2018
T96,,Jhonattan Vegas,92,"24' 10""",372.75,15,4,Y2018
100,,Johnson Wagner,75,"24' 11""",224.083,9,-1,Y2018
T101,,Anirban Lahiri,82,"25' 1""",426,17,7,Y2018
T101,,William McGirt,84,"25' 1""",250.667,10,2,Y2018
T103,,Troy Merritt,89,"25' 3""",177,7,-1,Y2018
T103,,Kevin Tway,110,"25' 3""",479.833,19,6,Y2018
105,,Tony Finau,105,"25' 4""",278.25,11,-2,Y2018
T106,,Danny Lee,88,"25' 5""",254.083,10,2,Y2018
T106,,Louis Oosthuizen,62,"25' 5""",203.167,8,E,Y2018
108,,Jason Day,75,"25' 6""",254.833,10,-1,Y2018
T109,,Corey Conners,97,"25' 7""",332.833,13,1,Y2018
T109,,Charles Howell III,104,"25' 7""",230.167,9,1,Y2018
T111,,Satoshi Kodaira,51,"25' 8""",231,9,E,Y2018
T111,,Ollie Schniederjans,91,"25' 8""",333.5,13,1,Y2018
113,,Ethan Tracy,72,"25' 11""",233.25,9,2,Y2018
114,,Scott Brown,102,"26' 2""",340.333,13,6,Y2018
115,,Bronson Burgoon,69,"26' 3""",236.5,9,4,Y2018
T116,,Abraham Ancer,98,"26' 6""",371,14,-6,Y2018
T116,,Rob Oppenheim,74,"26' 6""",132.583,5,1,Y2018
T116,,Richy Werenski,98,"26' 6""",212.25,8,2,Y2018
119,,Pat Perez,82,"26' 7""",265.833,10,E,Y2018
T120,,Conrad Shindler,60,"26' 8""",133.333,5,E,Y2018
T120,,Michael Thompson,62,"26' 8""",133.333,5,-1,Y2018
122,,Xander Schauffele,96,"26' 10""",402,15,1,Y2018
123,,Cameron Smith,85,"27' 1""",352.417,13,-1,Y2018
124,,Hunter Mahan,67,"27' 2""",108.5,4,E,Y2018
125,,Lanto Griffin,80,"27' 3""",326.833,12,3,Y2018
126,,Chris Stroud,81,"27' 4""",191.583,7,6,Y2018
127,,Chesson Hadley,103,"27' 5""",247.083,9,6,Y2018
T128,,Wesley Bryan,69,"27' 6""",247.167,9,6,Y2018
T128,,Charl Schwartzel,65,"27' 6""",110,4,-1,Y2018
130,,Chez Reavie,93,"27' 7""",165.5,6,3,Y2018
T131,,Kevin Chappell,77,"27' 10""",278.5,10,5,Y2018
T131,,Ian Poulter,73,"27' 10""",27.833,1,-1,Y2018
T133,,Rickie Fowler,74,"27' 11""",251.167,9,5,Y2018
T133,,Daniel Summerhays,51,"27' 11""",167.333,6,2,Y2018
135,,Patton Kizzire,92,"28' 1""",477.333,17,2,Y2018
T136,,Brandon Harkins,101,"28' 3""",593.667,21,4,Y2018
T136,,Kevin Streelman,94,"28' 3""",225.917,8,2,Y2018
138,,Talor Gooch,78,"28' 4""",367.917,13,3,Y2018
139,,Jordan Spieth,81,"28' 8""",257.667,9,5,Y2018
T140,,Harris English,84,"28' 9""",201.083,7,-1,Y2018
T140,,Jimmy Walker,81,"28' 9""",373.75,13,-1,Y2018
T142,,Daniel Berger,81,"28' 10""",230.75,8,3,Y2018
T142,,Graeme McDowell,67,"28' 10""",317.583,11,3,Y2018
144,,Michael Kim,74,"29' 1""",145.583,5,3,Y2018
145,,Gary Woodland,96,"29' 4""",410.333,14,-1,Y2018
146,,J.T. Poston,73,"29' 5""",411.5,14,-1,Y2018
147,,Kyle Stanley,93,"29' 6""",206.333,7,3,Y2018
T148,,Matt Atkins,56,"29' 8""",296.583,10,-1,Y2018
T148,,Zach Johnson,94,"29' 8""",355.917,12,6,Y2018
150,,Emiliano Grillo,94,"30' 0""",300.083,10,2,Y2018
151,,Derek Fathauer,84,"30' 1""",300.5,10,7,Y2018
T152,,Greg Chalmers,56,"30' 3""",333,11,2,Y2018
T152,,Francesco Molinari,73,"30' 3""",363.083,12,3,Y2018
154,,Chris Kirk,108,"30' 11""",278.583,9,-1,Y2018
155,,Ricky Barnes,65,"31' 3""",124.917,4,1,Y2018
T156,,Billy Hurley III,70,"31' 4""",281.667,9,6,Y2018
T156,,Dustin Johnson,77,"31' 4""",313.417,10,E,Y2018
T156,,Whee Kim,93,"31' 4""",313.5,10,5,Y2018
159,,Andrew Yun,51,"31' 8""",189.833,6,1,Y2018
160,,Cody Gribble,71,"31' 9""",380.833,12,2,Y2018
161,,Sam Saunders,80,"32' 1""",384.667,12,2,Y2018
162,,Hudson Swafford,73,"32' 2""",64.333,2,E,Y2018
163,,Robert Garrigus,80,"32' 3""",322.083,10,2,Y2018
164,,Lucas Glover,65,"32' 10""",98.417,3,2,Y2018
165,,Hideki Matsuyama,75,"33' 0""",263.917,8,3,Y2018
T166,,Byeong Hun An,86,"33' 3""",465.417,14,5,Y2018
T166,,Patrick Cantlay,87,"33' 3""",265.667,8,E,Y2018
168,,Jonathan Byrd,70,"33' 5""",300.917,9,3,Y2018
T169,,Bill Haas,76,"33' 6""",402,12,1,Y2018
T169,,Patrick Rodgers,97,"33' 6""",268.083,8,4,Y2018
T171,,Fabián Gómez,88,"33' 7""",201.583,6,1,Y2018
T171,,Brian Harman,94,"33' 7""",302.5,9,1,Y2018
T171,,Ben Martin,64,"33' 7""",201.583,6,4,Y2018
T174,,Shane Lowry,64,"34' 0""",238.083,7,3,Y2018
T174,,Peter Uihlein,83,"34' 0""",510.083,15,2,Y2018
176,,Denny McCarthy,71,"34' 2""",375.833,11,3,Y2018
T177,,Mackenzie Hughes,80,"34' 6""",310.833,9,4,Y2018
T177,,Ryan Palmer,69,"34' 6""",379.917,11,E,Y2018
179,,J.J. Spaun,85,"34' 7""",345.833,10,5,Y2018
180,,Adam Hadwin,92,"34' 9""",277.833,8,3,Y2018
181,,Kevin Kisner,89,"35' 1""",315.917,9,3,Y2018
182,,Rafa Cabrera Bello,75,"35' 3""",281.75,8,E,Y2018
183,,Harold Varner III,91,"35' 4""",282.417,8,6,Y2018
184,,Charley Hoffman,87,"35' 8""",320.667,9,3,Y2018
185,,Patrick Reed,94,"36' 2""",542.333,15,4,Y2018
186,,Xinjun Zhang,81,"36' 10""",294.333,8,-1,Y2018
187,,Branden Grace,67,"37' 1""",408.083,11,4,Y2018
188,,Shawn Stefani,76,"37' 9""",226.25,6,E,Y2018
189,,Nick Taylor,94,"38' 0""",227.833,6,2,Y2018
190,,Brandt Snedeker,84,"39' 2""",469.583,12,3,Y2018
191,,Cameron Percy,56,"39' 8""",119.083,3,1,Y2018
192,,Blayne Barber,69,"41' 1""",246.583,6,4,Y2018
193,,Steve Wheatcroft,60,"44' 0""",263.833,6,E,Y2018
1,,Søren Kjeldsen,58,"7' 3""",14.5,2,1,Y2017
2,,Jim Furyk,54,"9' 9""",19.5,2,E,Y2017
3,,Aaron Baddeley,61,"10' 9""",85.75,8,-1,Y2017
4,,Chris Stroud,67,"11' 6""",34.417,3,-1,Y2017
5,,Whee Kim,74,"11' 7""",115.833,10,-1,Y2017
6,,Vaughn Taylor,90,"12' 4""",37,3,E,Y2017
7,,Zac Blair,105,"12' 5""",99,8,2,Y2017
8,,Steve Wheatcroft,51,"13' 3""",52.833,4,1,Y2017
9,,J.J. Spaun,92,"14' 7""",131,9,1,Y2017
T10,,Cameron Percy,71,"14' 9""",117.917,8,1,Y2017
T10,,Seamus Power,86,"14' 9""",177.083,12,2,Y2017
T12,,Greg Chalmers,75,"15' 3""",243.5,16,-2,Y2017
T12,,Hunter Mahan,73,"15' 3""",91.667,6,2,Y2017
14,,Nick Watney,75,"15' 8""",125.417,8,3,Y2017
T15,,Andres Gonzales,73,"15' 9""",157.083,10,1,Y2017
T15,,Brian Harman,104,"15' 9""",157.417,10,2,Y2017
T15,,John Huh,92,"15' 9""",110.417,7,-2,Y2017
18,,Fabián Gómez,61,"16' 5""",148,9,-2,Y2017
19,,Cameron Smith,86,"16' 7""",132.667,8,E,Y2017
20,,Jamie Lovemark,98,"17' 1""",222.333,13,E,Y2017
21,,James Hahn,96,"17' 2""",223.167,13,1,Y2017
22,,William McGirt,89,"17' 6""",140.083,8,1,Y2017
23,,Morgan Hoffmann,92,"17' 8""",300.417,17,1,Y2017
24,,Matt Kuchar,95,"17' 11""",196.833,11,2,Y2017
T25,,Seung-Yul Noh,91,"18' 0""",270.167,15,4,Y2017
T25,,Ollie Schniederjans,92,"18' 0""",323.417,18,-3,Y2017
27,,Charles Howell III,86,"18' 4""",201.5,11,-1,Y2017
28,,J.B. Holmes,83,"18' 5""",184.417,10,-1,Y2017
T29,,Dominic Bozzelli,69,"18' 7""",241.083,13,4,Y2017
T29,,Ryo Ishikawa,56,"18' 7""",130.333,7,1,Y2017
T31,,Jason Bohn,75,"18' 10""",263.917,14,2,Y2017
T31,,Bill Haas,92,"18' 10""",150.583,8,E,Y2017
33,,Martin Laird,83,"19' 1""",171.417,9,E,Y2017
34,,Blayne Barber,77,"19' 4""",193.5,10,3,Y2017
T35,,Retief Goosen,52,"19' 6""",97.417,5,1,Y2017
T35,,Troy Merritt,82,"19' 6""",136.25,7,-1,Y2017
37,,Camilo Villegas,76,"19' 7""",176.417,9,E,Y2017
38,,Anirban Lahiri,72,"19' 8""",157.333,8,E,Y2017
39,,Smylie Kaufman,76,"19' 10""",317.833,16,7,Y2017
40,,Bryce Molder,74,"20' 2""",201.833,10,3,Y2017
41,,Billy Horschel,88,"20' 6""",245.917,12,3,Y2017
T42,,Lucas Glover,93,"20' 7""",144.25,7,3,Y2017
T42,,Kevin Na,86,"20' 7""",123.583,6,1,Y2017
T44,,Gonzalo Fernandez-Castaño,63,"20' 8""",248.25,12,E,Y2017
T44,,Sung Kang,104,"20' 8""",350.667,17,1,Y2017
46,,Sam Saunders,76,"21' 0""",167.75,8,1,Y2017
47,,Byeong Hun An,77,"21' 1""",231.667,11,6,Y2017
48,,Rick Lamb,54,"21' 3""",106.333,5,-2,Y2017
49,,Nicholas Lindheim,58,"21' 4""",170.417,8,2,Y2017
T50,,Ben Crane,86,"21' 5""",150,7,4,Y2017
T50,,Brandt Snedeker,53,"21' 5""",300.333,14,4,Y2017
52,,Brandon Hagy,85,"21' 6""",559.917,26,2,Y2017
53,,Billy Hurley III,80,"21' 8""",237.917,11,E,Y2017
54,,Graham DeLaet,82,"21' 10""",87.417,4,2,Y2017
55,,Sergio Garcia,65,"21' 11""",87.667,4,1,Y2017
T56,,Hideki Matsuyama,83,"22' 0""",352.333,16,4,Y2017
T56,,Pat Perez,93,"22' 0""",395.25,18,1,Y2017
T56,,Robert Streb,98,"22' 0""",329.75,15,-1,Y2017
T59,,Ryan Palmer,61,"22' 2""",155.167,7,-1,Y2017
T59,,C.T. Pan,88,"22' 2""",199.667,9,2,Y2017
61,,Tony Finau,106,"22' 3""",401.083,18,-3,Y2017
T62,,Miguel Angel Carballo,63,"22' 4""",334.917,15,1,Y2017
T62,,Patton Kizzire,84,"22' 4""",223.5,10,4,Y2017
64,,Xander Schauffele,96,"22' 6""",224.75,10,-1,Y2017
65,,Adam Scott,58,"22' 9""",90.833,4,E,Y2017
66,,Bud Cauley,92,"22' 11""",459.083,20,6,Y2017
67,,Phil Mickelson,85,"23' 0""",436.833,19,2,Y2017
68,,Rory McIlroy,51,"23' 2""",185.5,8,3,Y2017
69,,Mackenzie Hughes,106,"23' 3""",418,18,1,Y2017
T70,,Derek Fathauer,81,"23' 5""",327.25,14,7,Y2017
T70,,Brendan Steele,89,"23' 5""",234.333,10,1,Y2017
72,,Brooks Koepka,88,"23' 9""",189.917,8,1,Y2017
73,,Brian Gay,82,"23' 10""",166.667,7,3,Y2017
T74,,Luke Donald,50,"23' 11""",119.75,5,2,Y2017
T74,,Kelly Kraft,75,"23' 11""",382.5,16,9,Y2017
T76,,Mark Anderson,54,"24' 0""",143.917,6,2,Y2017
T76,,David Hearn,93,"24' 0""",72.083,3,2,Y2017
78,,Shawn Stefani,72,"24' 1""",289.25,12,1,Y2017
79,,Russell Henley,99,"24' 3""",242.25,10,2,Y2017
T80,,Michael Kim,94,"24' 5""",195.25,8,2,Y2017
T80,,Rory Sabbatini,71,"24' 5""",292.75,12,1,Y2017
82,,J.T. Poston,95,"24' 6""",245,10,4,Y2017
83,,Jonas Blixt,74,"24' 7""",295.333,12,-1,Y2017
T84,,Harris English,84,"24' 8""",271.25,11,2,Y2017
T84,,Zach Johnson,81,"24' 8""",197.25,8,4,Y2017
T86,,Danny Lee,93,"24' 9""",247.083,10,8,Y2017
T86,,Justin Thomas,86,"24' 9""",247.083,10,-3,Y2017
88,,Ryan Armour,63,"24' 10""",198.583,8,4,Y2017
89,,Michael Thompson,60,"24' 11""",249.333,10,3,Y2017
90,,Emiliano Grillo,90,"25' 0""",149.833,6,-1,Y2017
91,,Kevin Chappell,95,"25' 1""",276.167,11,5,Y2017
T92,,Matt Every,76,"25' 2""",176.083,7,4,Y2017
T92,,Scott Stallings,81,"25' 2""",327.167,13,4,Y2017
T94,,K.J. Choi,72,"25' 4""",126.833,5,2,Y2017
T94,,Patrick Rodgers,76,"25' 4""",505.833,20,6,Y2017
96,,Tom Hoge,54,"25' 7""",153.5,6,2,Y2017
97,,Gary Woodland,94,"25' 8""",256.5,10,2,Y2017
98,,Ricky Barnes,100,"25' 10""",180.583,7,-2,Y2017
T99,,Rickie Fowler,78,"25' 11""",181.417,7,1,Y2017
T99,,Marc Leishman,94,"25' 11""",388.833,15,2,Y2017
T99,,Kyle Stanley,104,"25' 11""",155.333,6,3,Y2017
102,,Brett Stegmaier,78,"26' 0""",103.917,4,E,Y2017
T103,,Stewart Cink,93,"26' 1""",443.75,17,4,Y2017
T103,,Branden Grace,70,"26' 1""",260.833,10,5,Y2017
T103,,Kevin Tway,96,"26' 1""",495.417,19,9,Y2017
T106,,Adam Hadwin,98,"26' 2""",287.75,11,5,Y2017
T106,,Jon Rahm,90,"26' 2""",392.583,15,2,Y2017
T108,,Andrew Loupe,55,"26' 3""",104.917,4,3,Y2017
T108,,Scott Piercy,70,"26' 3""",262.667,10,2,Y2017
T110,,Rafa Cabrera Bello,63,"26' 4""",289.583,11,5,Y2017
T110,,Grayson Murray,94,"26' 4""",499.833,19,E,Y2017
T112,,Patrick Cantlay,52,"26' 5""",211.083,8,E,Y2017
T112,,Rod Pampling,71,"26' 5""",184.75,7,1,Y2017
T112,,Nick Taylor,97,"26' 5""",448.417,17,4,Y2017
115,,Peter Malnati,91,"26' 7""",345.583,13,5,Y2017
116,,Webb Simpson,102,"26' 8""",266.417,10,E,Y2017
117,,Johnson Wagner,71,"26' 9""",106.917,4,1,Y2017
T118,,Cody Gribble,79,"26' 10""",241.833,9,2,Y2017
T118,,J.J. Henry,92,"26' 10""",187.667,7,3,Y2017
T118,,Shane Lowry,52,"26' 10""",134.167,5,1,Y2017
121,,Ken Duke,77,"26' 11""",188.583,7,5,Y2017
122,,Martin Flores,88,"27' 0""",378.417,14,-1,Y2017
T123,,David Lingmerth,79,"27' 1""",270.417,10,3,Y2017
T123,,Boo Weekley,75,"27' 1""",243.583,9,3,Y2017
T125,,Ryan Brehm,83,"27' 2""",571.083,21,-1,Y2017
T125,,Sebastián Muñoz,51,"27' 2""",108.5,4,1,Y2017
T127,,Brett Drewitt,57,"27' 3""",190.75,7,6,Y2017
T127,,Sean O'Hair,84,"27' 3""",272.5,10,3,Y2017
129,,Daniel Summerhays,100,"27' 4""",437.75,16,2,Y2017
130,,Brian Campbell,55,"27' 9""",166.417,6,7,Y2017
T131,,Daniel Berger,91,"27' 10""",222.917,8,-2,Y2017
T131,,D.A. Points,68,"27' 10""",111.333,4,4,Y2017
133,,Spencer Levin,89,"27' 11""",83.75,3,-1,Y2017
134,,Ryan Blaum,100,"28' 0""",280.25,10,4,Y2017
135,,Graeme McDowell,56,"28' 2""",140.833,5,1,Y2017
T136,,Chad Collins,66,"28' 7""",314.75,11,4,Y2017
T136,,Cameron Tringale,89,"28' 7""",114.167,4,2,Y2017
138,,Matt Jones,64,"28' 8""",372.917,13,3,Y2017
T139,,Luke List,102,"28' 10""",346,12,1,Y2017
T139,,Tyrone Van Aswegen,105,"28' 10""",288.667,10,1,Y2017
T141,,Jim Herman,77,"29' 0""",347.5,12,-1,Y2017
T141,,Jimmy Walker,68,"29' 0""",290.167,10,8,Y2017
143,,Jason Dufner,89,"29' 1""",406.75,14,4,Y2017
144,,Tag Ridings,67,"29' 3""",146.167,5,2,Y2017
145,,Justin Rose,66,"29' 8""",267,9,3,Y2017
146,,Carl Pettersson,63,"29' 10""",298.167,10,5,Y2017
147,,Bryson DeChambeau,91,"29' 11""",299.167,10,5,Y2017
148,,Charley Hoffman,112,"30' 0""",510.083,17,1,Y2017
T149,,Dustin Johnson,77,"30' 1""",331,11,3,Y2017
T149,,Jhonattan Vegas,95,"30' 1""",480.75,16,8,Y2017
151,,Ian Poulter,72,"30' 2""",271.833,9,7,Y2017
T152,,Jonathan Randolph,68,"30' 7""",183.5,6,3,Y2017
T152,,Jordan Spieth,85,"30' 7""",366.5,12,E,Y2017
154,,Jason Day,71,"30' 8""",368,12,4,Y2017
T155,,Scott Brown,95,"30' 9""",276.917,9,1,Y2017
T155,,Julián Etulain,68,"30' 9""",368.583,12,E,Y2017
T155,,Kevin Streelman,90,"30' 9""",307.417,10,E,Y2017
158,,Chris Kirk,89,"31' 0""",372.25,12,6,Y2017
159,,Richy Werenski,81,"31' 2""",343.167,11,3,Y2017
160,,Chez Reavie,98,"31' 3""",250.083,8,2,Y2017
161,,Jason Kokrak,95,"31' 4""",344.667,11,3,Y2017
162,,Kyle Reifers,96,"31' 5""",188.667,6,3,Y2017
163,,Ben Martin,86,"31' 11""",159.667,5,2,Y2017
164,,Louis Oosthuizen,69,"32' 0""",287.833,9,3,Y2017
165,,Patrick Reed,107,"32' 1""",609.75,19,1,Y2017
166,,Harold Varner III,101,"32' 3""",322.833,10,2,Y2017
T167,,Chad Campbell,97,"32' 4""",387.75,12,E,Y2017
T167,,Charl Schwartzel,63,"32' 4""",388.167,12,5,Y2017
T167,,Hudson Swafford,94,"32' 4""",226.083,7,1,Y2017
170,,Tim Wilkinson,64,"32' 8""",195.917,6,1,Y2017
171,,Steven Bowditch,59,"32' 9""",360.417,11,7,Y2017
172,,Mark Hubbard,81,"32' 10""",196.917,6,5,Y2017
T173,,Russell Knox,75,"32' 11""",164.75,5,-2,Y2017
T173,,Trey Mullinax,88,"32' 11""",461.333,14,3,Y2017
175,,Roberto Castro,70,"33' 4""",300,9,6,Y2017
176,,Alex Cejka,85,"33' 5""",267.167,8,4,Y2017
177,,Si Woo Kim,80,"33' 10""",372,11,4,Y2017
178,,Bubba Watson,71,"34' 6""",344.583,10,4,Y2017
179,,Brian Stuard,93,"36' 0""",252.167,7,2,Y2017
180,,Kevin Kisner,105,"36' 3""",326.417,9,3,Y2017
181,,Wesley Bryan,95,"36' 5""",291.417,8,6,Y2017
182,,Geoff Ogilvy,80,"36' 10""",478.5,13,4,Y2017
183,,Keegan Bradley,104,"39' 9""",476.667,12,11,Y2017
184,,Ryan Moore,82,"41' 2""",123.5,3,E,Y2017
185,,Francesco Molinari,75,"41' 8""",208.25,5,1,Y2017
186,,Ernie Els,52,"44' 7""",267.583,6,6,Y2017
187,,Paul Casey,94,"45' 2""",225.917,5,-1,Y2017
188,,Robert Garrigus,78,"48' 3""",289.333,6,3,Y2017
189,,Brad Fritsch,56,"48' 4""",144.917,3,-1,Y2017
1,1,Hideki Matsuyama,76,"10' 1""",60.667,6,-4,Y2016
2,2,Justin Rose,65,"10' 10""",76.083,7,E,Y2016
3,3,Erik Compton,65,"11' 3""",101.5,9,3,Y2016
4,4,Paul Casey,77,"11' 7""",57.917,5,1,Y2016
5,5,Alex Cejka,71,"12' 10""",102.5,8,-2,Y2016
6,6,Colt Knost,90,"13' 0""",64.833,5,E,Y2016
7,7,David Lingmerth,84,"13' 6""",94.583,7,2,Y2016
T8,T8,Jason Bohn,67,"13' 8""",136.75,10,-1,Y2016
T8,T8,Kevin Kisner,97,"13' 8""",123.25,9,-3,Y2016
10,10,Smylie Kaufman,91,"14' 0""",168.083,12,1,Y2016
11,11,Cameron Smith,73,"14' 3""",71.417,5,-1,Y2016
12,12,Gary Woodland,95,"14' 5""",130,9,1,Y2016
13,13,Adam Scott,79,"14' 11""",148.75,10,-2,Y2016
14,14,Padraig Harrington,54,"15' 0""",134.917,9,E,Y2016
15,15,Chris Stroud,82,"15' 1""",120.917,8,6,Y2016
16,16,Sergio Garcia,54,"15' 2""",45.417,3,E,Y2016
17,17,Webb Simpson,70,"15' 3""",121.75,8,1,Y2016
T18,T18,Abraham Ancer,51,"15' 5""",46.333,3,E,Y2016
T18,T18,Ricky Barnes,97,"15' 5""",246.167,16,5,Y2016
20,20,Steve Stricker,53,"15' 6""",62.083,4,1,Y2016
21,21,Willy Wilcox,67,"15' 7""",93.333,6,2,Y2016
22,22,Rory Sabbatini,57,"15' 10""",110.833,7,1,Y2016
23,23,Martin Piller,59,"16' 1""",80.333,5,E,Y2016
24,24,Graham DeLaet,70,"16' 5""",82.083,5,-1,Y2016
25,25,Henrik Norlander,71,"16' 6""",33,2,-1,Y2016
26,26,Jerry Kelly,76,"16' 8""",116.583,7,3,Y2016
