RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Steve Wheatcroft,60,"32' 1""",865.75,27,6,Y2018
2,,Charl Schwartzel,65,"32' 2""",1255.08,39,6,Y2018
3,,Ben Crane,65,"33' 2""",995.08,30,-1,Y2018
4,,Cameron Smith,85,"34' 4""",1646.92,48,1,Y2018
5,,Kevin Streelman,94,"35' 7""",2381.42,67,5,Y2018
T6,,Jonathan Byrd,70,"35' 9""",1571.67,44,2,Y2018
T6,,Andrew Landry,82,"35' 9""",2143.25,60,5,Y2018
8,,Retief Goosen,60,"36' 0""",1439.17,40,8,Y2018
9,,Derek Fathauer,84,"36' 2""",2675.92,74,12,Y2018
10,,Abraham Ancer,98,"36' 6""",2481.17,68,6,Y2018
11,,Bryson DeChambeau,93,"36' 9""",2094.33,57,4,Y2018
12,,Rod Pampling,62,"37' 1""",1039.42,28,4,Y2018
13,,Rory Sabbatini,91,"37' 2""",2079.92,56,-2,Y2018
T14,,Talor Gooch,78,"37' 9""",2643.58,70,11,Y2018
T14,,Jason Kokrak,99,"37' 9""",3167.92,84,9,Y2018
T14,,Martin Laird,73,"37' 9""",1964.33,52,6,Y2018
17,,Bud Cauley,55,"37' 10""",1362.17,36,4,Y2018
18,,Brett Stegmaier,67,"38' 0""",1556.75,41,13,Y2018
T19,,Matt Every,79,"38' 5""",1650.92,43,14,Y2018
T19,,Tony Finau,105,"38' 5""",2457.75,64,8,Y2018
21,,Zecheng Dou,53,"38' 6""",1461.75,38,8,Y2018
T22,,Aaron Baddeley,84,"38' 7""",3127.67,81,8,Y2018
T22,,Shawn Stefani,76,"38' 7""",1814.83,47,10,Y2018
24,,Wesley Bryan,69,"38' 8""",1855.83,48,11,Y2018
25,,David Hearn,66,"38' 10""",1631.58,42,8,Y2018
T26,,Dominic Bozzelli,65,"38' 11""",2297.92,59,6,Y2018
T26,,Bill Haas,76,"38' 11""",2492.67,64,3,Y2018
28,,Paul Casey,74,"39' 1""",1563.75,40,4,Y2018
29,,Charley Hoffman,87,"39' 2""",2544.83,65,5,Y2018
30,,Ricky Barnes,65,"39' 3""",2118.67,54,11,Y2018
31,,Pat Perez,82,"39' 4""",1887.5,48,8,Y2018
T32,,Ian Poulter,73,"39' 5""",1419.75,36,4,Y2018
T32,,Nick Watney,94,"39' 5""",3390.5,86,11,Y2018
34,,John Huh,94,"39' 6""",2569.42,65,8,Y2018
T35,,Danny Lee,88,"39' 7""",2215.67,56,13,Y2018
T35,,Sean O'Hair,67,"39' 7""",2649.5,67,14,Y2018
T37,,Zac Blair,64,"39' 10""",1553.17,39,9,Y2018
T37,,Ben Silverman,90,"39' 10""",2112.5,53,11,Y2018
39,,Patrick Reed,94,"39' 11""",2313.83,58,9,Y2018
40,,Rickie Fowler,74,"40' 2""",1806.58,45,8,Y2018
41,,Chad Campbell,87,"40' 3""",2295.92,57,11,Y2018
42,,Jonas Blixt,67,"40' 5""",1698.75,42,E,Y2018
43,,Xinjun Zhang,81,"40' 6""",2107.5,52,8,Y2018
44,,Grayson Murray,72,"40' 8""",1871.33,46,14,Y2018
45,,Dustin Johnson,77,"40' 9""",1794.5,44,4,Y2018
T46,,Tom Hoge,101,"40' 10""",1918.25,47,10,Y2018
T46,,Nate Lashley,51,"40' 10""",1264.92,31,1,Y2018
T48,,Bronson Burgoon,69,"41' 1""",1890.25,46,14,Y2018
T48,,Rob Oppenheim,74,"41' 1""",2257.67,55,17,Y2018
50,,Whee Kim,93,"41' 2""",2673.25,65,6,Y2018
51,,Scott Piercy,84,"41' 3""",1857,45,4,Y2018
52,,Jordan Spieth,81,"41' 4""",2025.42,49,4,Y2018
53,,Ryan Moore,78,"41' 5""",1575,38,4,Y2018
54,,Russell Henley,77,"41' 7""",1539.5,37,10,Y2018
T55,,Marc Leishman,93,"41' 8""",2665.67,64,14,Y2018
T55,,Hudson Swafford,73,"41' 8""",1790.67,43,4,Y2018
57,,Luke List,98,"41' 9""",3841.17,92,25,Y2018
58,,J.B. Holmes,77,"41' 10""",2679.42,64,3,Y2018
59,,Andrew Putnam,97,"41' 11""",2643.25,63,9,Y2018
T60,,Joel Dahmen,93,"42' 0""",1762.58,42,9,Y2018
T60,,Adam Hadwin,92,"42' 0""",2060,49,4,Y2018
T60,,Jimmy Walker,81,"42' 0""",3023.92,72,10,Y2018
T63,,Patton Kizzire,92,"42' 1""",3407.42,81,15,Y2018
T63,,Tom Lovelady,87,"42' 1""",2523.42,60,17,Y2018
65,,Corey Conners,97,"42' 2""",2363.17,56,10,Y2018
66,,J.J. Henry,81,"42' 4""",2244.25,53,10,Y2018
T67,,Alex Cejka,77,"42' 6""",1698.42,40,3,Y2018
T67,,Stephan Jaeger,81,"42' 6""",1870.33,44,4,Y2018
T67,,Anirban Lahiri,82,"42' 6""",2464.33,58,10,Y2018
T70,,James Hahn,85,"42' 7""",2257.92,53,5,Y2018
T70,,Vaughn Taylor,83,"42' 7""",1915.42,45,8,Y2018
T72,,Stewart Cink,87,"42' 8""",2600.33,61,6,Y2018
T72,,Robert Garrigus,80,"42' 8""",2302.75,54,14,Y2018
T72,,Russell Knox,94,"42' 8""",1451.42,34,8,Y2018
T72,,Cameron Percy,56,"42' 8""",1535.92,36,6,Y2018
