RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Jordan Spieth,81,"19' 1""",2706.58,142,-26,Y2018
T2,,Wesley Bryan,69,"19' 5""",2016.58,104,-22,Y2018
T2,,Rory McIlroy,64,"19' 5""",2290.33,118,-11,Y2018
T4,,Zach Johnson,94,"19' 8""",3249.5,165,-39,Y2018
T4,,Chris Kirk,108,"19' 8""",4451.08,226,-43,Y2018
6,,Nick Watney,94,"19' 10""",3672.33,185,-31,Y2018
7,,Satoshi Kodaira,51,"19' 11""",1755.67,88,-19,Y2018
8,,Blayne Barber,69,"20' 0""",3034.42,152,-27,Y2018
T9,,Whee Kim,93,"20' 2""",2889.75,143,-29,Y2018
T9,,Ryan Palmer,69,"20' 2""",2786.83,138,-31,Y2018
T9,,Tiger Woods,68,"20' 2""",3149.5,156,-37,Y2018
12,,Webb Simpson,95,"20' 3""",3872.83,191,-29,Y2018
13,,Conrad Shindler,60,"20' 4""",2394.5,118,-20,Y2018
T14,,Rickie Fowler,74,"20' 5""",2935.08,144,-25,Y2018
T14,,Matt Kuchar,88,"20' 5""",2894.25,142,-26,Y2018
T14,,Phil Mickelson,90,"20' 5""",2655.33,130,-18,Y2018
T17,,Patrick Cantlay,87,"20' 7""",3245.67,158,-16,Y2018
T17,,Kevin Na,91,"20' 7""",2818.92,137,-30,Y2018
T19,,Paul Casey,74,"20' 8""",2379.08,115,-13,Y2018
T19,,Ryan Moore,78,"20' 8""",3388.42,164,-26,Y2018
T21,,Keegan Bradley,98,"20' 9""",4343.5,209,-34,Y2018
T21,,Chad Campbell,87,"20' 9""",3095.33,149,-14,Y2018
T21,,Charley Hoffman,87,"20' 9""",3091.33,149,-14,Y2018
T21,,Chris Stroud,81,"20' 9""",2365.33,114,-14,Y2018
T25,,Byeong Hun An,86,"20' 10""",3316.5,159,-21,Y2018
T25,,Kelly Kraft,94,"20' 10""",3348.08,161,-17,Y2018
T25,,Hideki Matsuyama,75,"20' 10""",2793.92,134,-32,Y2018
T25,,Kyle Stanley,93,"20' 10""",3785.92,182,-17,Y2018
T29,,Scott Piercy,84,"20' 11""",3036.58,145,-28,Y2018
T29,,Gary Woodland,96,"20' 11""",3531.17,169,-37,Y2018
31,,Justin Rose,70,"21' 0""",2854.42,136,-27,Y2018
T32,,Joel Dahmen,93,"21' 1""",3429.83,163,-22,Y2018
T32,,Robert Garrigus,80,"21' 1""",2926.08,139,-16,Y2018
T32,,David Hearn,66,"21' 1""",2639.83,125,-21,Y2018
T32,,J.B. Holmes,77,"21' 1""",2778.58,132,-17,Y2018
T36,,Nate Lashley,51,"21' 2""",1611.5,76,E,Y2018
T36,,Brian Stuard,103,"21' 2""",4403.92,208,-31,Y2018
T36,,Justin Thomas,91,"21' 2""",3891.42,184,-33,Y2018
39,,John Huh,94,"21' 3""",3908.17,184,-27,Y2018
40,,Stewart Cink,87,"21' 4""",3366.75,158,-18,Y2018
T41,,Daniel Berger,81,"21' 6""",2858.17,133,-20,Y2018
T41,,Zecheng Dou,53,"21' 6""",1657.33,77,-7,Y2018
T41,,Ben Silverman,90,"21' 6""",4126.25,192,-37,Y2018
T41,,Richy Werenski,98,"21' 6""",3872.58,180,-40,Y2018
T45,,Francesco Molinari,73,"21' 7""",2659.58,123,-12,Y2018
T45,,J.T. Poston,73,"21' 7""",2930.25,136,-24,Y2018
T45,,Sam Ryder,82,"21' 7""",3368.5,156,-22,Y2018
T45,,Cameron Tringale,67,"21' 7""",2396.17,111,-9,Y2018
T49,,Adam Scott,78,"21' 8""",3189.58,147,-23,Y2018
T49,,Brandt Snedeker,84,"21' 8""",3731,172,-17,Y2018
T49,,Tyrone Van Aswegen,101,"21' 8""",4335.83,200,-18,Y2018
T52,,Corey Conners,97,"21' 9""",4202.67,193,-21,Y2018
T52,,Dustin Johnson,77,"21' 9""",3539.08,163,-41,Y2018
T52,,Danny Lee,88,"21' 9""",3370.92,155,-15,Y2018
T52,,Tom Lovelady,87,"21' 9""",2584.08,119,-12,Y2018
T56,,Chesson Hadley,103,"21' 10""",4329.17,198,-33,Y2018
T56,,Rob Oppenheim,74,"21' 10""",2399.83,110,-8,Y2018
T56,,J.J. Spaun,85,"21' 10""",3754.67,172,-35,Y2018
T59,,Tony Finau,105,"21' 11""",4451.58,203,-33,Y2018
T59,,Pat Perez,82,"21' 11""",2341.17,107,-20,Y2018
T59,,Bubba Watson,90,"21' 11""",3215.92,147,-14,Y2018
