RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Ryan Palmer,69,"48' 4""",1015,21,-11,Y2018
2,,Patrick Cantlay,87,"48' 5""",1162.67,24,-14,Y2018
3,,Sung Kang,89,"49' 10""",1196.75,24,-11,Y2018
4,,Keegan Bradley,98,"50' 8""",1975.33,39,-25,Y2018
5,,Xander Schauffele,96,"51' 11""",1505.5,29,-16,Y2018
6,,Michael Thompson,62,"53' 1""",1008.67,19,-11,Y2018
T7,,Kiradech Aphibarnrat,51,"54' 0""",1026.42,19,-11,Y2018
T7,,Chad Campbell,87,"54' 0""",917.5,17,-11,Y2018
T7,,Bryson DeChambeau,93,"54' 0""",1998.08,37,-17,Y2018
T7,,Si Woo Kim,108,"54' 0""",1727.33,32,-18,Y2018
11,,Paul Casey,74,"54' 9""",931.25,17,-8,Y2018
12,,Roberto Díaz,72,"54' 10""",1041.17,19,-12,Y2018
13,,Kyle Thompson,50,"54' 11""",823.417,15,-7,Y2018
14,,Keith Mitchell,99,"55' 1""",1322.33,24,-10,Y2018
15,,Tony Finau,105,"55' 6""",1886.92,34,-26,Y2018
16,,Brooks Koepka,64,"55' 9""",891.5,16,-10,Y2018
T17,,Tom Lovelady,87,"56' 3""",1405.42,25,-17,Y2018
T17,,Justin Rose,70,"56' 3""",1293,23,-16,Y2018
T19,,Matt Kuchar,88,"56' 8""",1472.25,26,-14,Y2018
T19,,William McGirt,84,"56' 8""",1585.67,28,-13,Y2018
21,,Tom Hoge,101,"56' 10""",1534.25,27,-19,Y2018
22,,Henrik Stenson,60,"57' 3""",1374.33,24,-14,Y2018
23,,Brice Garnett,99,"58' 0""",1507.08,26,-16,Y2018
24,,Kevin Chappell,77,"58' 1""",1103.25,19,-5,Y2018
T25,,David Hearn,66,"58' 7""",879.333,15,-9,Y2018
T25,,Vaughn Taylor,83,"58' 7""",1463.92,25,-17,Y2018
27,,Hudson Swafford,73,"58' 10""",1117.67,19,-12,Y2018
28,,Satoshi Kodaira,51,"59' 1""",886.833,15,-8,Y2018
T29,,Russell Henley,77,"59' 3""",1836.5,31,-14,Y2018
