RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Henrik Stenson,60,"26' 0""",415.42,16,1,Y2018
2,,Joel Dahmen,93,"27' 0""",1566.42,58,-3,Y2018
3,,Bubba Watson,90,"30' 3""",1362.58,45,2,Y2018
4,,Tyrrell Hatton,58,"30' 9""",1045.08,34,E,Y2018
T5,,Billy Horschel,86,"31' 3""",1343.83,43,2,Y2018
T5,,Graeme McDowell,67,"31' 3""",1186.75,38,E,Y2018
7,,Andrew Landry,82,"31' 6""",1512.83,48,4,Y2018
T8,,Roberto Díaz,72,"32' 0""",1343.08,42,-1,Y2018
T8,,Jimmy Walker,81,"32' 0""",1953.92,61,-6,Y2018
10,,Ian Poulter,73,"32' 1""",898.42,28,E,Y2018
T11,,Chris Kirk,108,"32' 3""",2351.42,73,5,Y2018
T11,,Ryan Moore,78,"32' 3""",1452.5,45,E,Y2018
13,,Bronson Burgoon,69,"32' 4""",1291.92,40,-2,Y2018
14,,Abraham Ancer,98,"32' 5""",1977.08,61,2,Y2018
T15,,Matt Every,79,"32' 6""",1884.5,58,12,Y2018
T15,,Sean O'Hair,67,"32' 6""",1332.75,41,-2,Y2018
T17,,Tyler Duncan,97,"32' 7""",2116.33,65,5,Y2018
T17,,Billy Hurley III,70,"32' 7""",1367.67,42,-1,Y2018
19,,Robert Streb,78,"32' 8""",1242,38,5,Y2018
20,,Ryan Armour,109,"32' 9""",1606.5,49,-3,Y2018
21,,Chez Reavie,93,"32' 10""",887.58,27,1,Y2018
T22,,Ryan Blaum,81,"32' 11""",1776,54,4,Y2018
T22,,Zach Johnson,94,"32' 11""",1284.17,39,6,Y2018
24,,Corey Conners,97,"33' 0""",2307.33,70,12,Y2018
25,,Si Woo Kim,108,"33' 2""",2389.08,72,3,Y2018
26,,Retief Goosen,60,"33' 6""",1472.75,44,7,Y2018
27,,Charley Hoffman,87,"33' 7""",2217.33,66,5,Y2018
T28,,Jonathan Byrd,70,"33' 8""",1378.67,41,4,Y2018
T28,,Robert Garrigus,80,"33' 8""",1985.67,59,4,Y2018
T28,,Tyrone Van Aswegen,101,"33' 8""",2156.58,64,6,Y2018
T31,,D.A. Points,63,"33' 9""",944.58,28,1,Y2018
T31,,Vaughn Taylor,83,"33' 9""",1517.58,45,-2,Y2018
T33,,Stewart Cink,87,"33' 11""",1999.42,59,3,Y2018
T33,,Adam Scott,78,"33' 11""",1323.33,39,1,Y2018
T35,,Seamus Power,86,"34' 0""",2309.92,68,E,Y2018
T35,,Jordan Spieth,81,"34' 0""",1666.83,49,1,Y2018
37,,Phil Mickelson,90,"34' 2""",2287.25,67,-4,Y2018
T38,,Nicholas Lindheim,77,"34' 4""",1581.17,46,5,Y2018
T38,,Kevin Streelman,94,"34' 4""",1613.92,47,4,Y2018
40,,Lanto Griffin,80,"34' 5""",1684.58,49,-3,Y2018
T41,,Derek Fathauer,84,"34' 6""",1967.5,57,9,Y2018
T41,,Kevin Tway,110,"34' 6""",2484,72,3,Y2018
T43,,J.J. Spaun,85,"34' 9""",1632.67,47,7,Y2018
T43,,Ethan Tracy,72,"34' 9""",2225.33,64,2,Y2018
45,,Martin Laird,73,"34' 10""",1357.08,39,4,Y2018
T46,,Jason Dufner,71,"34' 11""",1360.67,39,1,Y2018
T46,,Emiliano Grillo,94,"34' 11""",1501.67,43,1,Y2018
T46,,Kelly Kraft,94,"34' 11""",1710.08,49,8,Y2018
49,,Mackenzie Hughes,80,"35' 0""",1887.92,54,6,Y2018
T50,,Wesley Bryan,69,"35' 2""",984.33,28,3,Y2018
T50,,Jason Kokrak,99,"35' 2""",2742.92,78,8,Y2018
52,,Nick Watney,94,"35' 3""",1904.58,54,3,Y2018
53,,Andrew Putnam,97,"35' 4""",2049.5,58,6,Y2018
54,,Shawn Stefani,76,"35' 5""",1981.33,56,5,Y2018
55,,Hunter Mahan,67,"35' 6""",1456.17,41,3,Y2018
56,,Francesco Molinari,73,"35' 7""",1068.67,30,4,Y2018
57,,Ben Silverman,90,"35' 8""",2355.75,66,7,Y2018
T58,,Bud Cauley,55,"35' 9""",643.25,18,E,Y2018
T58,,Talor Gooch,78,"35' 9""",1821.58,51,4,Y2018
T58,,Tiger Woods,68,"35' 9""",1072.17,30,3,Y2018
61,,Troy Merritt,89,"35' 10""",1792.25,50,10,Y2018
T62,,Brian Harman,94,"35' 11""",1614.92,45,7,Y2018
T62,,Matt Kuchar,88,"35' 11""",1364.08,38,2,Y2018
T62,,Ryan Palmer,69,"35' 11""",2191.67,61,12,Y2018
T62,,Rory Sabbatini,91,"35' 11""",2407.25,67,E,Y2018
T66,,Tony Finau,105,"36' 0""",2881.33,80,10,Y2018
T66,,Sam Saunders,80,"36' 0""",1765.75,49,4,Y2018
T68,,Zac Blair,64,"36' 1""",1841,51,5,Y2018
