RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,SUCCESSES,ATTEMPTS,YEAR
61,61,Justin Thomas,106,61.65,127,206,Y2015
62,62,Justin Leonard,61,61.64,98,159,Y2015
63,63,Jhonattan Vegas,90,61.63,106,172,Y2015
64,64,Boo Weekley,79,61.59,85,138,Y2015
65,65,Matt Kuchar,97,61.43,86,140,Y2015
66,66,Ken Duke,93,61.19,123,201,Y2015
67,67,Chris Stroud,84,61.18,93,152,Y2015
T68,T68,Bryce Molder,91,61.14,107,175,Y2015
T68,T68,Carl Pettersson,106,61.14,129,211,Y2015
70,70,Jimmy Walker,89,61.05,58,95,Y2015
71,71,David Lingmerth,90,60.96,89,146,Y2015
72,72,Keegan Bradley,87,60.74,82,135,Y2015
73,73,Patrick Reed,103,60.59,103,170,Y2015
74,74,Daniel Berger,97,60.33,111,184,Y2015
T75,T75,Stewart Cink,77,60.19,62,103,Y2015
T75,T75,Zach Johnson,90,60.19,62,103,Y2015
77,77,Derek Ernst,75,60.15,80,133,Y2015
78,78,Erik Compton,86,60.14,89,148,Y2015
T79,T79,Sangmoon Bae,98,60,105,175,Y2015
T79,T79,Graham DeLaet,65,60,69,115,Y2015
T79,T79,Oscar Fraustro,58,60,57,95,Y2015
T79,T79,Fabián Gómez,83,60,114,190,Y2015
83,83,Danny Lee,120,59.9,115,192,Y2015
84,84,Robert Streb,110,59.78,110,184,Y2015
85,85,Morgan Hoffmann,85,59.76,98,164,Y2015
86,86,Gonzalo Fernandez-Castaño,81,59.72,86,144,Y2015
87,87,Spencer Levin,99,59.68,111,186,Y2015
88,88,Chad Campbell,97,59.43,104,175,Y2015
89,89,D.A. Points,72,59.42,82,138,Y2015
90,90,Paul Casey,87,59.38,57,96,Y2015
91,91,Brian Stuard,97,59.32,105,177,Y2015
92,92,Mark Wilson,89,59.17,100,169,Y2015
93,93,Scott Pinckney,88,59.15,97,164,Y2015
94,94,Ricky Barnes,82,59.12,107,181,Y2015
95,95,J.B. Holmes,89,59.09,78,132,Y2015
96,96,Rickie Fowler,76,59.05,62,105,Y2015
97,97,Brian Harman,90,58.96,102,173,Y2015
98,98,Jonas Blixt,78,58.87,73,124,Y2015
99,99,Andrew Putnam,68,58.82,90,153,Y2015
100,100,Scott Piercy,90,58.75,94,160,Y2015
101,101,Luke Donald,71,58.65,61,104,Y2015
102,102,Davis Love III,51,58.51,55,94,Y2015
103,103,Jason Bohn,95,58.5,86,147,Y2015
104,104,Tom Hoge,83,58.38,101,173,Y2015
T105,T105,Greg Owen,58,58.33,56,96,Y2015
T105,T105,Jonathan Randolph,72,58.33,77,132,Y2015
107,107,Rory Sabbatini,81,58.22,85,146,Y2015
108,108,Eric Axley,57,58.21,78,134,Y2015
109,109,Whee Kim,71,58.16,82,141,Y2015
110,110,Sean O'Hair,86,58.02,94,162,Y2015
111,111,Daniel Summerhays,101,58.01,105,181,Y2015
T112,T112,Sergio Garcia,59,57.81,37,64,Y2015
T112,T112,Andres Romero,69,57.81,74,128,Y2015
T114,T114,Blayne Barber,76,57.5,69,120,Y2015
T114,T114,Roberto Castro,54,57.5,46,80,Y2015
T114,T114,Jeff Overton,94,57.5,92,160,Y2015
117,117,Charley Hoffman,97,57.42,89,155,Y2015
118,118,Kyle Reifers,96,57.38,105,183,Y2015
119,119,Charl Schwartzel,67,57.33,43,75,Y2015
120,120,Roger Sloan,56,57.27,63,110,Y2015
121,121,Billy Horschel,99,57.24,87,152,Y2015
122,122,Retief Goosen,81,57.14,80,140,Y2015
123,123,Byron Smith,59,57,57,100,Y2015
124,124,Chris Kirk,76,56.78,67,118,Y2015
125,125,Martin Flores,95,56.77,88,155,Y2015
126,126,Gary Woodland,81,56.41,66,117,Y2015
127,127,Colt Knost,90,56.29,85,151,Y2015
128,128,Lucas Glover,79,56.25,72,128,Y2015
129,129,Matt Every,73,56,70,125,Y2015
130,130,Michael Thompson,83,55.95,94,168,Y2015
131,131,George McNeill,93,55.8,101,181,Y2015
132,132,Charles Howell III,105,55.68,98,176,Y2015
133,133,Francesco Molinari,56,55.56,35,63,Y2015
T134,T134,J.J. Henry,94,55.49,91,164,Y2015
T134,T134,Scott Langley,94,55.49,96,173,Y2015
136,136,Marc Leishman,74,55.43,51,92,Y2015
137,137,Brice Garnett,81,55.41,82,148,Y2015
138,138,Jim Renner,68,55.19,85,154,Y2015
139,139,Chesson Hadley,101,55.03,104,189,Y2015
140,140,Bo Van Pelt,81,54.97,83,151,Y2015
141,141,Hudson Swafford,97,54.95,100,182,Y2015
142,142,Heath Slocum,57,54.87,62,113,Y2015
143,143,Brooks Koepka,84,54.55,60,110,Y2015
144,144,Tyrone Van Aswegen,58,54.26,70,129,Y2015
145,145,Jim Herman,88,54.07,73,135,Y2015
146,146,Ben Martin,93,54,81,150,Y2015
147,147,Luke Guthrie,84,53.89,90,167,Y2015
148,148,John Senden,80,53.85,42,78,Y2015
149,149,Chez Reavie,56,53.76,50,93,Y2015
150,150,James Hahn,94,53.69,80,149,Y2015
151,151,Carlos Ortiz,100,53.55,83,155,Y2015
152,152,Martin Laird,77,53.49,92,172,Y2015
153,153,Nick Watney,91,53.42,86,161,Y2015
154,154,Padraig Harrington,60,53.39,63,118,Y2015
T155,T155,Michael Putnam,87,53.33,64,120,Y2015
T155,T155,Shawn Stefani,94,53.33,80,150,Y2015
157,157,Ernie Els,57,52.81,47,89,Y2015
158,158,Nick Taylor,91,52.78,95,180,Y2015
159,159,Andrew Svoboda,80,52.76,86,163,Y2015
160,160,Kevin Streelman,95,52.63,60,114,Y2015
161,161,Andres Gonzales,90,52.6,81,154,Y2015
162,162,Brendan Steele,88,52.48,74,141,Y2015
163,163,Adam Hadwin,95,52.33,90,172,Y2015
164,164,Derek Fathauer,81,52.3,91,174,Y2015
165,165,Sam Saunders,83,52.27,69,132,Y2015
166,166,Nicholas Thompson,90,52.03,64,123,Y2015
T167,T167,Geoff Ogilvy,50,51.85,42,81,Y2015
T167,T167,Scott Stallings,60,51.85,56,108,Y2015
169,169,Robert Allenby,63,51.64,63,122,Y2015
170,170,Cameron Percy,72,51.61,64,124,Y2015
171,171,Seung-Yul Noh,65,51.38,56,109,Y2015
172,172,Greg Chalmers,58,51.22,42,82,Y2015
173,173,Ryo Ishikawa,90,51.16,88,172,Y2015
174,174,Bill Lunde,50,51.09,47,92,Y2015
175,175,Jason Kokrak,88,50.94,81,159,Y2015
176,176,Alex Prugh,84,50.81,63,124,Y2015
177,177,Tony Finau,106,50.55,92,182,Y2015
178,178,Jason Gore,76,50.38,66,131,Y2015
179,179,Louis Oosthuizen,68,49.3,35,71,Y2015
180,180,Robert Garrigus,70,48.85,64,131,Y2015
181,181,Charlie Beljan,76,45.9,56,122,Y2015
182,182,Adam Scott,51,45.1,23,51,Y2015
183,183,Ángel Cabrera,53,40.3,27,67,Y2015
184,184,Lee Westwood,56,40,18,45,Y2015
1,1,Sergio Garcia,61,74.19,46,62,Y2014
2,2,Jim Furyk,84,71.43,70,98,Y2014
3,3,Brian Gay,81,70.47,105,149,Y2014
4,4,Kevin Na,94,70.32,109,155,Y2014
5,5,Tim Wilkinson,86,70.29,123,175,Y2014
6,6,David Toms,64,69.92,86,123,Y2014
7,7,"Ted Potter, Jr.",68,68.47,76,111,Y2014
8,8,Ricky Barnes,92,68.06,130,191,Y2014
9,9,Justin Rose,70,67.37,64,95,Y2014
10,10,Shawn Stefani,60,66.67,68,102,Y2014
11,11,Keegan Bradley,89,66.42,89,134,Y2014
12,12,Luke Guthrie,85,66.29,116,175,Y2014
13,13,Freddie Jacobson,91,66.27,112,169,Y2014
14,14,Y.E. Yang,79,66.21,96,145,Y2014
15,15,Gary Woodland,93,65.6,82,125,Y2014
16,16,Charl Schwartzel,64,65.56,59,90,Y2014
17,17,Jordan Spieth,102,65.47,91,139,Y2014
18,18,Ernie Els,85,65.38,85,130,Y2014
19,19,Hideki Matsuyama,82,64.81,70,108,Y2014
20,20,J.B. Holmes,86,64.6,104,161,Y2014
21,21,Cameron Tringale,111,64.52,120,186,Y2014
22,22,Robert Streb,75,64.35,74,115,Y2014
23,23,Ryan Moore,86,64.29,72,112,Y2014
24,24,Jerry Kelly,80,64.24,97,151,Y2014
T25,T25,Brice Garnett,92,64,112,175,Y2014
T25,T25,Patrick Reed,92,64,96,150,Y2014
27,27,David Hearn,97,63.89,115,180,Y2014
28,28,Billy Hurley III,86,63.83,90,141,Y2014
29,29,Chris Kirk,105,63.78,118,185,Y2014
T30,T30,Brian Davis,93,63.64,119,187,Y2014
T30,T30,Phil Mickelson,71,63.64,56,88,Y2014
32,32,Brad Fritsch,50,63.44,59,93,Y2014
33,33,Scott Langley,95,63.19,115,182,Y2014
34,34,Johnson Wagner,69,63.16,96,152,Y2014
35,35,Graeme McDowell,66,62.96,51,81,Y2014
36,36,Daniel Summerhays,98,62.72,106,169,Y2014
37,37,Willy Wilcox,51,62.63,62,99,Y2014
38,38,Webb Simpson,87,62.6,77,123,Y2014
T39,T39,Chad Collins,78,62.5,115,184,Y2014
T39,T39,Luke Donald,57,62.5,55,88,Y2014
41,41,Charles Howell III,106,62.35,106,170,Y2014
42,42,Jason Day,54,62.3,38,61,Y2014
43,43,Ian Poulter,57,62.16,46,74,Y2014
44,44,Spencer Levin,59,62.07,72,116,Y2014
45,45,Stuart Appleby,92,61.88,112,181,Y2014
46,46,Kevin Tway,64,61.79,76,123,Y2014
47,47,Erik Compton,88,61.71,108,175,Y2014
48,48,D.H. Lee,54,61.7,58,94,Y2014
49,49,Ryan Palmer,85,61.54,80,130,Y2014
50,50,John Senden,99,61.49,91,148,Y2014
51,51,Greg Chalmers,85,61.4,105,171,Y2014
52,52,Brian Stuard,91,61.27,106,173,Y2014
53,53,Jason Kokrak,65,60.98,75,123,Y2014
54,54,Jeff Overton,80,60.93,92,151,Y2014
55,55,Scott Brown,100,60.92,106,174,Y2014
56,56,William McGirt,96,60.85,115,189,Y2014
57,57,Billy Horschel,92,60.8,76,125,Y2014
58,58,Martin Flores,85,60.78,93,153,Y2014
59,59,Kevin Kisner,85,60.58,83,137,Y2014
60,60,Heath Slocum,71,60.56,86,142,Y2014
61,61,Charley Hoffman,93,60.54,89,147,Y2014
T62,T62,Bill Haas,107,60.43,84,139,Y2014
T62,T62,Jhonattan Vegas,77,60.43,84,139,Y2014
64,64,Jamie Lovemark,64,60.36,67,111,Y2014
65,65,Jonathan Byrd,76,60.26,91,151,Y2014
66,66,Andrew Svoboda,77,60.25,97,161,Y2014
67,67,Brendon Todd,108,60.23,106,176,Y2014
68,68,Jonas Blixt,64,60.22,56,93,Y2014
T69,T69,Paul Casey,56,60,51,85,Y2014
T69,T69,Matt Every,85,60,78,130,Y2014
T69,T69,Boo Weekley,73,60,54,90,Y2014
T72,T72,Ben Curtis,77,59.87,94,157,Y2014
T72,T72,Justin Leonard,75,59.87,94,157,Y2014
74,74,Russell Henley,92,59.85,82,137,Y2014
75,75,Kevin Stadler,90,59.66,71,119,Y2014
76,76,Pat Perez,84,59.64,99,166,Y2014
77,77,Jeff Maggert,54,59.6,59,99,Y2014
78,78,Bryce Molder,77,59.4,79,133,Y2014
