RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,SUCCESSES,ATTEMPTS,YEAR
102,102,Michael Putnam,87,55.69,93,167,Y2015
103,103,Scott Stallings,60,55.56,75,135,Y2015
104,104,Robert Garrigus,70,55.37,98,177,Y2015
105,105,Hudson Swafford,97,55.36,93,168,Y2015
106,106,Brian Harman,90,55.29,94,170,Y2015
107,107,Sung Joon Park,79,55.28,89,161,Y2015
108,108,Lucas Glover,79,55.22,74,134,Y2015
T109,T109,Gonzalo Fernandez-Castaño,81,55.17,96,174,Y2015
T109,T109,Daniel Summerhays,101,55.17,128,232,Y2015
111,111,Nick Watney,91,55.15,107,194,Y2015
112,112,Ryo Ishikawa,90,55.14,102,185,Y2015
113,113,Graham DeLaet,65,55.12,70,127,Y2015
114,114,Phil Mickelson,70,55.11,97,176,Y2015
115,115,Tyrone Van Aswegen,58,55.05,60,109,Y2015
116,116,Billy Horschel,99,55.03,82,149,Y2015
117,117,Alex Cejka,94,54.95,122,222,Y2015
118,118,Scott Langley,94,54.9,112,204,Y2015
119,119,Alex Prugh,84,54.88,90,164,Y2015
120,120,Paul Casey,87,54.69,70,128,Y2015
121,121,Derek Ernst,75,54.55,84,154,Y2015
122,122,Jim Renner,68,54.48,73,134,Y2015
123,123,Jamie Donaldson,50,54.44,49,90,Y2015
124,124,Jim Herman,88,54.36,81,149,Y2015
125,125,Colt Knost,90,54.31,107,197,Y2015
126,126,John Peterson,84,54.27,89,164,Y2015
127,127,Matt Every,73,54.24,96,177,Y2015
128,128,Mark Hubbard,79,54.19,84,155,Y2015
T129,T129,Sergio Garcia,59,54.12,46,85,Y2015
T129,T129,Bill Lunde,50,54.12,46,85,Y2015
131,131,Dustin Johnson,75,54.11,79,146,Y2015
132,132,Danny Lee,120,54.09,152,281,Y2015
133,133,Gary Woodland,81,53.91,69,128,Y2015
134,134,Vijay Singh,78,53.8,85,158,Y2015
135,135,David Toms,62,53.7,58,108,Y2015
136,136,Sean O'Hair,86,53.54,106,198,Y2015
137,137,Whee Kim,71,53.49,69,129,Y2015
138,138,Padraig Harrington,60,53.23,66,124,Y2015
139,139,Pat Perez,96,53.09,103,194,Y2015
T140,T140,Andres Romero,69,53.05,87,164,Y2015
T140,T140,Michael Thompson,83,53.05,87,164,Y2015
142,142,Brendon de Jonge,106,52.97,116,219,Y2015
143,143,Lee Westwood,56,52.94,45,85,Y2015
144,144,Chris Stroud,84,52.84,93,176,Y2015
145,145,Scott Pinckney,88,52.79,104,197,Y2015
146,146,Bo Van Pelt,81,52.7,78,148,Y2015
147,147,Jhonattan Vegas,90,52.49,95,181,Y2015
148,148,Seung-Yul Noh,65,52.17,72,138,Y2015
149,149,Steven Alker,62,52.14,61,117,Y2015
150,150,Russell Henley,87,52.03,77,148,Y2015
151,151,Kevin Streelman,95,51.75,74,143,Y2015
152,152,Greg Chalmers,58,51.69,61,118,Y2015
153,153,Justin Rose,69,51.58,49,95,Y2015
154,154,Charl Schwartzel,67,51.49,52,101,Y2015
155,155,Brice Garnett,81,51.43,72,140,Y2015
156,156,Jonas Blixt,78,51.41,73,142,Y2015
157,157,Charles Howell III,105,51.36,113,220,Y2015
158,158,Shawn Stefani,94,51.27,101,197,Y2015
159,159,Davis Love III,51,51.25,41,80,Y2015
160,160,Scott Brown,97,51.16,110,215,Y2015
161,161,Oscar Fraustro,58,51.09,70,137,Y2015
162,162,Ben Martin,93,50.98,78,153,Y2015
163,163,Andrew Putnam,68,50.97,79,155,Y2015
164,164,Nicholas Thompson,90,50.77,99,195,Y2015
165,165,Geoff Ogilvy,50,50.72,35,69,Y2015
166,166,John Senden,80,50.41,61,121,Y2015
167,167,K.J. Choi,66,50.38,66,131,Y2015
168,168,Jason Gore,76,50.33,76,151,Y2015
169,169,Heath Slocum,57,50,60,120,Y2015
170,170,Carlos Ortiz,100,49.77,109,219,Y2015
171,171,John Merrick,78,49.33,74,150,Y2015
172,172,Cameron Percy,72,49.02,75,153,Y2015
173,173,Charlie Beljan,76,48.97,71,145,Y2015
174,174,Patrick Rodgers,57,48.74,58,119,Y2015
175,175,Robert Allenby,63,48.62,53,109,Y2015
176,176,Stewart Cink,77,48.41,61,126,Y2015
177,177,Hunter Mahan,88,48,72,150,Y2015
178,178,Byron Smith,59,47.5,57,120,Y2015
179,179,Johnson Wagner,68,46.85,52,111,Y2015
180,180,Ángel Cabrera,53,46.6,48,103,Y2015
181,181,J.J. Henry,94,45.88,78,170,Y2015
182,182,Roger Sloan,56,44.53,61,137,Y2015
183,183,Andrew Svoboda,80,44.2,80,181,Y2015
184,184,Roberto Castro,54,42.27,41,97,Y2015
1,1,Jim Furyk,84,70.21,99,141,Y2014
2,2,Jason Day,54,70.11,61,87,Y2014
3,3,Rory McIlroy,66,66,66,100,Y2014
4,4,Justin Leonard,75,64.77,114,176,Y2014
5,5,Zach Johnson,97,63.89,115,180,Y2014
6,6,Jerry Kelly,80,63.87,99,155,Y2014
7,7,Brendon Todd,108,62.92,151,240,Y2014
8,8,Adam Scott,68,62.07,72,116,Y2014
9,9,Jordan Spieth,102,62.01,142,229,Y2014
10,10,Matt Kuchar,91,61.96,101,163,Y2014
11,11,Phil Mickelson,71,61.72,79,128,Y2014
12,12,Kevin Na,94,61.62,122,198,Y2014
13,13,Brandt Snedeker,89,61.33,111,181,Y2014
14,14,Brendon de Jonge,109,61.32,130,212,Y2014
15,15,Rickie Fowler,91,61.27,106,173,Y2014
16,16,Sergio Garcia,61,61.25,49,80,Y2014
17,17,Justin Rose,70,61.02,72,118,Y2014
18,18,Richard Lee,80,60.75,113,186,Y2014
19,19,Bo Van Pelt,83,60.66,74,122,Y2014
20,20,Jeff Overton,80,60.65,94,155,Y2014
21,21,Russell Knox,92,60.51,118,195,Y2014
22,22,Dustin Johnson,58,60.42,58,96,Y2014
23,23,Charley Hoffman,93,60.22,112,186,Y2014
T24,T24,Ernie Els,85,60,90,150,Y2014
T24,T24,Chesson Hadley,84,60,123,205,Y2014
26,26,Stuart Appleby,92,59.89,112,187,Y2014
27,27,Gary Woodland,93,59.87,94,157,Y2014
28,28,Brian Gay,81,59.34,108,182,Y2014
29,29,Gonzalo Fernandez-Castaño,83,59.28,99,167,Y2014
30,30,Pat Perez,84,58.8,127,216,Y2014
31,31,Graham DeLaet,80,58.65,61,104,Y2014
32,32,Matt Every,85,58.64,95,162,Y2014
33,33,Danny Lee,84,58.62,102,174,Y2014
T34,T34,Billy Hurley III,86,58.58,99,169,Y2014
T34,T34,Chris Stroud,88,58.58,99,169,Y2014
36,36,Luke Guthrie,85,58.46,114,195,Y2014
37,37,Retief Goosen,94,58.38,115,197,Y2014
38,38,Andres Romero,81,58.33,112,192,Y2014
39,39,Bubba Watson,76,58.2,71,122,Y2014
40,40,George McNeill,79,58.17,89,153,Y2014
41,41,Luke Donald,57,58.16,57,98,Y2014
42,42,Charl Schwartzel,64,58.14,75,129,Y2014
43,43,Hideki Matsuyama,82,58.02,94,162,Y2014
44,44,Aaron Baddeley,74,58.01,105,181,Y2014
45,45,Ian Poulter,57,58,58,100,Y2014
46,46,Webb Simpson,87,57.95,102,176,Y2014
47,47,Robert Allenby,83,57.93,84,145,Y2014
48,48,Sangmoon Bae,76,57.89,88,152,Y2014
49,49,Lee Westwood,57,57.8,63,109,Y2014
50,50,Andrew Svoboda,77,57.72,86,149,Y2014
51,51,Bronson La'Cassie,51,57.66,64,111,Y2014
52,52,Tim Wilkinson,86,57.65,113,196,Y2014
53,53,Harris English,95,57.59,91,158,Y2014
54,54,Bill Haas,107,57.58,95,165,Y2014
55,55,Bryce Molder,77,57.31,98,171,Y2014
56,56,Jimmy Walker,98,57.24,83,145,Y2014
57,57,Freddie Jacobson,91,57.21,127,222,Y2014
58,58,Cameron Tringale,111,56.95,127,223,Y2014
59,59,Chad Collins,78,56.88,91,160,Y2014
60,60,Brian Davis,93,56.82,100,176,Y2014
61,61,Ryan Palmer,85,56.76,84,148,Y2014
62,62,Matt Jones,83,56.73,97,171,Y2014
63,63,"Ted Potter, Jr.",68,56.6,90,159,Y2014
64,64,Chris Kirk,105,56.57,112,198,Y2014
65,65,William McGirt,96,56.41,110,195,Y2014
66,66,Ben Martin,80,56.36,93,165,Y2014
67,67,Tyrone Van Aswegen,79,56.35,102,181,Y2014
68,68,Chad Campbell,57,56.32,49,87,Y2014
69,69,John Senden,99,56.28,103,183,Y2014
70,70,Heath Slocum,71,56.2,68,121,Y2014
71,71,Ben Crane,81,56.02,93,166,Y2014
T72,T72,Jason Kokrak,65,55.92,85,152,Y2014
T72,T72,Seung-Yul Noh,92,55.92,118,211,Y2014
74,74,Scott Stallings,77,55.91,104,186,Y2014
75,75,Robert Garrigus,80,55.79,106,190,Y2014
76,76,Brendan Steele,89,55.77,87,156,Y2014
77,77,Bud Cauley,56,55.75,63,113,Y2014
78,78,David Toms,64,55.67,54,97,Y2014
79,79,J.J. Henry,91,55.63,84,151,Y2014
80,80,Charlie Wi,72,55.41,82,148,Y2014
81,81,Carl Pettersson,91,55.38,108,195,Y2014
82,82,Patrick Reed,92,55.33,109,197,Y2014
83,83,Mike Weir,69,55.26,84,152,Y2014
84,84,Brian Harman,111,55.23,132,239,Y2014
85,85,Ken Duke,80,55.22,74,134,Y2014
86,86,Jonathan Byrd,76,55.15,75,136,Y2014
87,87,Woody Austin,63,55.13,86,156,Y2014
88,88,J.B. Holmes,86,55.05,109,198,Y2014
T89,T89,Will MacKenzie,82,55.03,104,189,Y2014
T89,T89,Robert Streb,75,55.03,82,149,Y2014
91,91,Brad Fritsch,50,55,55,100,Y2014
92,92,Billy Horschel,92,54.92,67,122,Y2014
93,93,Willy Wilcox,51,54.81,57,104,Y2014
94,94,Steven Bowditch,93,54.77,109,199,Y2014
95,95,Marc Leishman,81,54.6,95,174,Y2014
96,96,Rory Sabbatini,82,54.59,101,185,Y2014
T97,T97,Keegan Bradley,89,54.55,84,154,Y2014
T97,T97,Charles Howell III,106,54.55,126,231,Y2014
T97,T97,Jhonattan Vegas,77,54.55,72,132,Y2014
100,100,Sean O'Hair,77,54.44,98,180,Y2014
101,101,Brian Stuard,91,54.35,100,184,Y2014
102,102,Wes Roach,67,54.25,83,153,Y2014
103,103,John Huh,87,54.24,96,177,Y2014
104,104,Ricky Barnes,92,54.22,90,166,Y2014
105,105,John Peterson,62,54.17,65,120,Y2014
106,106,Josh Teater,90,54.08,106,196,Y2014
107,107,Michael Putnam,106,53.98,122,226,Y2014
T108,T108,Jonas Blixt,64,53.91,69,128,Y2014
T108,T108,Graeme McDowell,66,53.91,62,115,Y2014
110,110,Vijay Singh,83,53.85,91,169,Y2014
111,111,Paul Casey,56,53.68,51,95,Y2014
112,112,Scott Langley,95,53.59,97,181,Y2014
113,113,Erik Compton,88,53.55,98,183,Y2014
114,114,David Lingmerth,80,53.53,91,170,Y2014
115,115,Jeff Maggert,54,53.47,54,101,Y2014
116,116,D.A. Points,75,53.28,73,137,Y2014
117,117,K.J. Choi,80,53.23,99,186,Y2014
118,118,Kevin Streelman,79,52.9,73,138,Y2014
119,119,Kyle Stanley,87,52.8,85,161,Y2014
120,120,Kevin Chappell,100,52.75,96,182,Y2014
121,121,Morgan Hoffmann,103,52.69,137,260,Y2014
T122,T122,Davis Love III,74,52.63,90,171,Y2014
T122,T122,Y.E. Yang,79,52.63,90,171,Y2014
124,124,Martin Flores,85,52.6,91,173,Y2014
125,125,Johnson Wagner,69,52.55,72,137,Y2014
126,126,Kevin Kisner,85,52.5,105,200,Y2014
127,127,Jason Bohn,81,52.35,89,170,Y2014
128,128,Daniel Summerhays,98,52.31,102,195,Y2014
129,129,Ryan Moore,86,52.21,71,136,Y2014
130,130,Justin Hicks,103,51.96,93,179,Y2014
131,131,Roberto Castro,76,51.95,80,154,Y2014
132,132,D.H. Lee,54,51.94,67,129,Y2014
133,133,Spencer Levin,59,51.82,71,137,Y2014
134,134,Nick Watney,80,51.79,58,112,Y2014
135,135,Camilo Villegas,95,51.78,102,197,Y2014
136,136,Mark Wilson,69,51.52,68,132,Y2014
137,137,Lucas Glover,68,51.4,55,107,Y2014
138,138,Martin Kaymer,65,51.24,62,121,Y2014
139,139,Trevor Immelman,84,51.18,87,170,Y2014
T140,T140,Scott Brown,100,51.14,112,219,Y2014
T140,T140,David Hearn,97,51.14,90,176,Y2014
142,142,Michael Thompson,74,51.09,70,137,Y2014
143,143,Brice Garnett,92,50.85,90,177,Y2014
144,144,Jamie Lovemark,64,50.71,71,140,Y2014
145,145,Henrik Stenson,56,50.7,36,71,Y2014
146,146,Hunter Mahan,88,50.64,79,156,Y2014
147,147,Shawn Stefani,60,50.43,59,117,Y2014
148,148,Ryo Ishikawa,75,50.33,77,153,Y2014
T149,T149,Ángel Cabrera,69,50,75,150,Y2014
T149,T149,James Hahn,82,50,87,174,Y2014
T149,T149,Jim Herman,62,50,60,120,Y2014
152,152,Briny Baird,50,49.46,46,93,Y2014
153,153,Stewart Cink,91,49.41,84,170,Y2014
154,154,Charlie Beljan,76,49.39,81,164,Y2014
155,155,Louis Oosthuizen,50,49.35,38,77,Y2014
156,156,Boo Weekley,73,49.07,53,108,Y2014
157,157,Ben Curtis,77,49.06,78,159,Y2014
158,158,Kevin Stadler,90,48.87,65,133,Y2014
159,159,Kevin Tway,64,48.8,61,125,Y2014
160,160,Troy Merritt,62,48.72,76,156,Y2014
161,161,Geoff Ogilvy,84,48.66,91,187,Y2014
162,162,Andrew Loupe,65,48.65,72,148,Y2014
163,163,Nicholas Thompson,85,48.57,85,175,Y2014
164,164,Tim Clark,75,48.48,64,132,Y2014
165,165,Derek Ernst,80,48.11,89,185,Y2014
166,166,Russell Henley,92,47.98,107,223,Y2014
167,167,John Rollins,84,46.88,75,160,Y2014
168,168,Greg Chalmers,85,46.35,89,192,Y2014
169,169,Jason Dufner,57,46.23,49,106,Y2014
170,170,John Merrick,87,46.15,60,130,Y2014
171,171,Martin Laird,66,45.79,49,107,Y2014
172,172,Brooks Koepka,56,44.79,43,96,Y2014
173,173,James Driscoll,71,43.16,82,190,Y2014
174,174,Troy Matteson,62,43.06,62,144,Y2014
175,175,Tommy Gainey,73,42.65,58,136,Y2014
176,176,Hudson Swafford,75,42.06,53,126,Y2014
177,177,Jim Renner,61,39.69,52,131,Y2014
