RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,% MADE,ATTEMPTS,PUTTS MADE,YEAR
123,,Tom Hoge,101,29.12,261,76,Y2018
124,,Nick Taylor,94,29.09,220,64,Y2018
125,,Scott Stallings,96,29.05,210,61,Y2018
126,,Cameron Smith,85,28.95,190,55,Y2018
127,,Xinjun Zhang,81,28.77,146,42,Y2018
128,,Derek Fathauer,84,28.74,174,50,Y2018
129,,Abraham Ancer,98,28.69,237,68,Y2018
130,,Hideki Matsuyama,75,28.65,171,49,Y2018
T131,,Martin Flores,92,28.57,203,58,Y2018
T131,,Lucas Glover,65,28.57,119,34,Y2018
T131,,Harold Varner III,91,28.57,203,58,Y2018
134,,Xander Schauffele,96,28.5,207,59,Y2018
135,,Jonathan Byrd,70,28.48,151,43,Y2018
136,,Lanto Griffin,80,28.31,166,47,Y2018
137,,Conrad Shindler,60,28.3,106,30,Y2018
138,,Pat Perez,82,28.29,152,43,Y2018
T139,,Rory McIlroy,64,28.26,138,39,Y2018
T139,,Ethan Tracy,72,28.26,138,39,Y2018
141,,Scott Brown,102,28.22,202,57,Y2018
T142,,Sam Saunders,80,28.21,195,55,Y2018
T142,,J.J. Spaun,85,28.21,195,55,Y2018
144,,Kiradech Aphibarnrat,51,28.18,110,31,Y2018
145,,Henrik Stenson,60,28.13,128,36,Y2018
146,,Zac Blair,64,27.91,129,36,Y2018
147,,Keith Mitchell,99,27.8,223,62,Y2018
148,,David Hearn,66,27.78,126,35,Y2018
T149,,Aaron Baddeley,84,27.65,170,47,Y2018
T149,,Tyrone Van Aswegen,101,27.65,217,60,Y2018
T151,,Chris Kirk,108,27.59,261,72,Y2018
T151,,Trey Mullinax,75,27.59,174,48,Y2018
T153,,Kevin Tway,110,27.27,242,66,Y2018
T153,,Andrew Yun,51,27.27,110,30,Y2018
155,,Michael Kim,74,27.22,158,43,Y2018
156,,Blayne Barber,69,27.11,166,45,Y2018
157,,Brendan Steele,74,27.08,144,39,Y2018
158,,J.J. Henry,81,27.07,181,49,Y2018
T159,,Shane Lowry,64,27.03,148,40,Y2018
T159,,Ryan Palmer,69,27.03,148,40,Y2018
161,,Scott Piercy,84,27.01,174,47,Y2018
162,,Kevin Streelman,94,26.92,208,56,Y2018
163,,Matt Every,79,26.82,179,48,Y2018
164,,Ryan Armour,109,26.77,269,72,Y2018
165,,Joel Dahmen,93,26.73,217,58,Y2018
166,,Alex Cejka,77,26.71,161,43,Y2018
167,,Nate Lashley,51,26.6,94,25,Y2018
168,,Patton Kizzire,92,26.51,215,57,Y2018
169,,Brice Garnett,99,26.39,216,57,Y2018
170,,Keegan Bradley,98,26.36,220,58,Y2018
171,,Patrick Reed,94,26.35,167,44,Y2018
172,,Charley Hoffman,87,26.26,198,52,Y2018
173,,Peter Uihlein,83,25.98,204,53,Y2018
174,,Tyler Duncan,97,25.78,225,58,Y2018
175,,Sam Ryder,82,25.74,202,52,Y2018
176,,Luke List,98,25.73,206,53,Y2018
177,,Cody Gribble,71,25.52,145,37,Y2018
178,,Robert Garrigus,80,25.51,196,50,Y2018
179,,Retief Goosen,60,25.42,118,30,Y2018
180,,Chad Campbell,87,25.41,181,46,Y2018
T181,,Kevin Chappell,77,25,168,42,Y2018
T181,,Sean O'Hair,67,25,156,39,Y2018
183,,Jonathan Randolph,71,24.86,177,44,Y2018
184,,Zecheng Dou,53,24.27,103,25,Y2018
185,,Andrew Landry,82,24.26,202,49,Y2018
186,,Si Woo Kim,108,24.12,199,48,Y2018
187,,James Hahn,85,23.91,184,44,Y2018
188,,Robert Streb,78,23.38,154,36,Y2018
189,,Kevin Kisner,89,23.08,169,39,Y2018
190,,Martin Laird,73,22.88,153,35,Y2018
191,,Louis Oosthuizen,62,21.77,124,27,Y2018
192,,Kyle Thompson,50,21.3,108,23,Y2018
193,,Francesco Molinari,73,19.59,148,29,Y2018
1,,Michael Thompson,60,42.73,110,47,Y2017
2,,Rickie Fowler,78,41.29,155,64,Y2017
3,,Luke Donald,50,39.17,120,47,Y2017
4,,Whee Kim,74,39.02,164,64,Y2017
5,,Ernie Els,52,37.36,91,34,Y2017
6,,Stewart Cink,93,36.95,203,75,Y2017
7,,Nicholas Lindheim,58,36.92,130,48,Y2017
8,,Steve Wheatcroft,51,36.84,114,42,Y2017
9,,Cody Gribble,79,36.81,182,67,Y2017
10,,Michael Kim,94,36.73,226,83,Y2017
11,,Camilo Villegas,76,36.53,167,61,Y2017
12,,Ben Crane,86,36.36,165,60,Y2017
13,,Jon Rahm,90,36.21,174,63,Y2017
14,,Sebastián Muñoz,51,36.11,108,39,Y2017
15,,Brian Harman,104,35.98,239,86,Y2017
16,,Gonzalo Fernandez-Castaño,63,35.96,114,41,Y2017
17,,Justin Thomas,86,35.91,181,65,Y2017
18,,Martin Flores,88,35.68,199,71,Y2017
19,,Francesco Molinari,75,35.67,157,56,Y2017
T20,,Adam Hadwin,98,35.51,214,76,Y2017
T20,,Adam Scott,58,35.51,107,38,Y2017
22,,Brandon Hagy,85,35.24,210,74,Y2017
23,,Tom Hoge,54,35.14,111,39,Y2017
24,,Rafa Cabrera Bello,63,35.04,117,41,Y2017
25,,Bryson DeChambeau,91,34.97,183,64,Y2017
26,,Ollie Schniederjans,92,34.84,244,85,Y2017
27,,Pat Perez,93,34.81,158,55,Y2017
28,,Charl Schwartzel,63,34.62,130,45,Y2017
29,,Sean O'Hair,84,34.59,185,64,Y2017
30,,Nick Watney,75,34.57,188,65,Y2017
31,,Matt Kuchar,95,34.41,186,64,Y2017
T32,,Marc Leishman,94,34.38,192,66,Y2017
T32,,Jimmy Walker,68,34.38,128,44,Y2017
34,,Graeme McDowell,56,34.31,137,47,Y2017
35,,Brian Stuard,93,34.22,187,64,Y2017
36,,Kevin Kisner,105,34.2,193,66,Y2017
37,,Brendan Steele,89,33.96,159,54,Y2017
38,,Aaron Baddeley,61,33.94,109,37,Y2017
39,,Jason Dufner,89,33.77,231,78,Y2017
T40,,Ryan Blaum,100,33.73,255,86,Y2017
T40,,Matt Every,76,33.73,166,56,Y2017
42,,Morgan Hoffmann,92,33.65,211,71,Y2017
43,,Danny Lee,93,33.63,223,75,Y2017
44,,Graham DeLaet,82,33.51,185,62,Y2017
45,,Xander Schauffele,96,33.5,203,68,Y2017
T46,,Wesley Bryan,95,33.33,213,71,Y2017
T46,,Vaughn Taylor,90,33.33,213,71,Y2017
T46,,Cameron Tringale,89,33.33,159,53,Y2017
49,,Patrick Reed,107,33.19,238,79,Y2017
50,,Jason Day,71,33.09,139,46,Y2017
51,,Russell Henley,99,33.03,218,72,Y2017
52,,Søren Kjeldsen,58,32.99,97,32,Y2017
53,,Justin Rose,66,32.86,140,46,Y2017
54,,Brooks Koepka,88,32.8,189,62,Y2017
55,,Geoff Ogilvy,80,32.76,174,57,Y2017
56,,David Lingmerth,79,32.75,171,56,Y2017
T57,,Zac Blair,105,32.69,208,68,Y2017
T57,,Shawn Stefani,72,32.69,156,51,Y2017
59,,Brian Gay,82,32.67,202,66,Y2017
60,,Chris Kirk,89,32.66,199,65,Y2017
61,,Tag Ridings,67,32.61,138,45,Y2017
62,,Brett Stegmaier,78,32.56,172,56,Y2017
63,,Chad Collins,66,32.48,157,51,Y2017
64,,Phil Mickelson,85,32.46,191,62,Y2017
65,,Shane Lowry,52,32.43,111,36,Y2017
66,,Paul Casey,94,32.42,182,59,Y2017
67,,Seung-Yul Noh,91,32.3,226,73,Y2017
68,,Harris English,84,32.28,189,61,Y2017
69,,Hunter Mahan,73,32.24,152,49,Y2017
70,,Troy Merritt,82,32.22,180,58,Y2017
T71,,Mackenzie Hughes,106,32.1,271,87,Y2017
T71,,Carl Pettersson,63,32.1,162,52,Y2017
73,,Greg Chalmers,75,31.98,172,55,Y2017
74,,Keegan Bradley,104,31.94,263,84,Y2017
75,,Brian Campbell,55,31.93,119,38,Y2017
76,,Dominic Bozzelli,69,31.82,154,49,Y2017
T77,,Sergio Garcia,65,31.75,126,40,Y2017
T77,,Luke List,102,31.75,211,67,Y2017
79,,Gary Woodland,94,31.72,186,59,Y2017
80,,Andres Gonzales,73,31.65,158,50,Y2017
81,,Kevin Na,86,31.58,171,54,Y2017
82,,C.T. Pan,88,31.5,200,63,Y2017
83,,Sung Kang,104,31.49,235,74,Y2017
84,,Nick Taylor,97,31.46,213,67,Y2017
85,,Daniel Berger,91,31.34,201,63,Y2017
86,,Kevin Streelman,90,31.28,211,66,Y2017
87,,Jim Furyk,54,31.15,122,38,Y2017
88,,John Huh,92,31.13,212,66,Y2017
89,,Charley Hoffman,112,31.1,254,79,Y2017
90,,Billy Horschel,88,31.03,203,63,Y2017
91,,Patton Kizzire,84,30.93,194,60,Y2017
92,,Patrick Rodgers,76,30.91,165,51,Y2017
93,,Scott Brown,95,30.85,201,62,Y2017
94,,Zach Johnson,81,30.77,169,52,Y2017
95,,Emiliano Grillo,90,30.62,209,64,Y2017
96,,Andrew Loupe,55,30.58,121,37,Y2017
97,,Grayson Murray,94,30.57,229,70,Y2017
98,,Ryan Moore,82,30.43,184,56,Y2017
99,,Jamie Lovemark,98,30.39,204,62,Y2017
100,,Bud Cauley,92,30.38,237,72,Y2017
101,,Robert Streb,98,30.3,231,70,Y2017
102,,Harold Varner III,101,30.13,239,72,Y2017
103,,Smylie Kaufman,76,30.11,186,56,Y2017
104,,Fabián Gómez,61,30.08,133,40,Y2017
105,,Julián Etulain,68,30.07,153,46,Y2017
T106,,Ben Martin,86,29.91,214,64,Y2017
T106,,Louis Oosthuizen,69,29.91,117,35,Y2017
108,,Hudson Swafford,94,29.86,211,63,Y2017
109,,Charles Howell III,86,29.71,175,52,Y2017
110,,Anirban Lahiri,72,29.7,165,49,Y2017
111,,William McGirt,89,29.63,189,56,Y2017
112,,Kyle Stanley,104,29.58,284,84,Y2017
113,,Johnson Wagner,71,29.56,159,47,Y2017
114,,Blayne Barber,77,29.55,220,65,Y2017
115,,Richy Werenski,81,29.52,166,49,Y2017
116,,Bryce Molder,74,29.48,173,51,Y2017
117,,Jonas Blixt,74,29.27,164,48,Y2017
118,,Alex Cejka,85,29.17,192,56,Y2017
119,,Cameron Percy,71,29.08,141,41,Y2017
120,,Brett Drewitt,57,29,100,29,Y2017
T121,,Byeong Hun An,77,28.85,156,45,Y2017
T121,,Russell Knox,75,28.85,156,45,Y2017
123,,Martin Laird,83,28.65,192,55,Y2017
124,,Jim Herman,77,28.4,162,46,Y2017
125,,Matt Jones,64,28.37,141,40,Y2017
126,,J.J. Spaun,92,28.36,201,57,Y2017
T127,,Derek Fathauer,81,28.34,187,53,Y2017
T127,,Jhonattan Vegas,95,28.34,187,53,Y2017
129,,Ken Duke,77,28.25,177,50,Y2017
130,,Webb Simpson,102,28.19,227,64,Y2017
131,,Steven Bowditch,59,28.18,110,31,Y2017
132,,D.A. Points,68,28.07,171,48,Y2017
133,,Bubba Watson,71,28.03,157,44,Y2017
T134,,Kelly Kraft,75,28.02,182,51,Y2017
T134,,Kevin Tway,96,28.02,182,51,Y2017
136,,Ryan Brehm,83,28,175,49,Y2017
137,,Scott Piercy,70,27.92,154,43,Y2017
T138,,Sam Saunders,76,27.91,172,48,Y2017
T138,,Jordan Spieth,85,27.91,172,48,Y2017
140,,Mark Hubbard,81,27.89,147,41,Y2017
T141,,Mark Anderson,54,27.88,104,29,Y2017
T141,,Branden Grace,70,27.88,104,29,Y2017
T143,,Brad Fritsch,56,27.78,126,35,Y2017
T143,,James Hahn,96,27.78,216,60,Y2017
T143,,Peter Malnati,91,27.78,198,55,Y2017
T143,,Ian Poulter,72,27.78,144,40,Y2017
T147,,Miguel Angel Carballo,63,27.72,101,28,Y2017
T147,,Spencer Levin,89,27.72,184,51,Y2017
149,,J.B. Holmes,83,27.68,177,49,Y2017
150,,Daniel Summerhays,100,27.67,206,57,Y2017
151,,Chez Reavie,98,27.63,228,63,Y2017
152,,K.J. Choi,72,27.61,134,37,Y2017
153,,Seamus Power,86,27.51,189,52,Y2017
154,,David Hearn,93,27.5,200,55,Y2017
155,,Patrick Cantlay,52,27.48,131,36,Y2017
156,,Rod Pampling,71,27.37,190,52,Y2017
157,,Steven Alker,69,27.33,150,41,Y2017
158,,Billy Hurley III,80,27.17,184,50,Y2017
159,,Ryan Armour,63,27.13,129,35,Y2017
160,,Scott Stallings,81,27.04,196,53,Y2017
161,,Trey Mullinax,88,26.97,178,48,Y2017
162,,Dustin Johnson,77,26.92,156,42,Y2017
163,,Hideki Matsuyama,83,26.85,149,40,Y2017
164,,Jason Bohn,75,26.84,190,51,Y2017
165,,Bill Haas,92,26.74,172,46,Y2017
166,,Tyrone Van Aswegen,105,26.57,207,55,Y2017
167,,Lucas Glover,93,26.36,239,63,Y2017
168,,J.T. Poston,95,26.26,198,52,Y2017
169,,Tony Finau,106,26.23,244,64,Y2017
170,,Boo Weekley,75,26.14,176,46,Y2017
171,,Tim Wilkinson,64,26.13,111,29,Y2017
172,,Jason Kokrak,95,25.98,204,53,Y2017
173,,Chris Stroud,67,25.95,131,34,Y2017
174,,Chad Campbell,97,25.82,213,55,Y2017
175,,Retief Goosen,52,25.78,128,33,Y2017
176,,J.J. Henry,92,25.26,194,49,Y2017
177,,Jonathan Randolph,68,25.19,131,33,Y2017
T178,,Ricky Barnes,100,25.12,207,52,Y2017
T178,,Cameron Smith,86,25.12,215,54,Y2017
180,,Kyle Reifers,96,24.86,185,46,Y2017
181,,Roberto Castro,70,24.84,153,38,Y2017
182,,Brandt Snedeker,53,24.58,118,29,Y2017
183,,Rick Lamb,54,24.55,110,27,Y2017
184,,Kevin Chappell,95,24.5,200,49,Y2017
185,,Robert Garrigus,78,24.47,188,46,Y2017
186,,Rory Sabbatini,71,23.75,160,38,Y2017
187,,Ryan Palmer,61,23.57,140,33,Y2017
188,,Si Woo Kim,80,23.38,154,36,Y2017
189,,Ryo Ishikawa,56,22.13,122,27,Y2017
190,,Rory McIlroy,51,21.28,94,20,Y2017
1,1,Jason Day,76,41.18,153,63,Y2016
2,2,K.J. Choi,73,40.59,170,69,Y2016
3,3,Steve Stricker,53,39.22,102,40,Y2016
4,4,Shane Lowry,57,38.78,98,38,Y2016
T5,T5,Steve Marino,72,37.5,152,57,Y2016
T5,T5,Charl Schwartzel,73,37.5,136,51,Y2016
7,7,Kevin Na,96,36.63,202,74,Y2016
8,8,Jonas Blixt,79,35.88,170,61,Y2016
9,9,Tim Wilkinson,72,35.65,115,41,Y2016
10,10,Smylie Kaufman,91,35.51,214,76,Y2016
11,11,Brian Harman,104,35.32,235,83,Y2016
12,12,Scott Brown,88,35.16,182,64,Y2016
13,13,Brandt Snedeker,93,35.08,191,67,Y2016
14,14,Hunter Mahan,61,35.04,137,48,Y2016
15,15,Freddie Jacobson,86,34.97,183,64,Y2016
16,16,Jordan Spieth,80,34.87,152,53,Y2016
17,17,Andrew Loupe,75,34.84,155,54,Y2016
T18,T18,Steven Bowditch,71,34.38,128,44,Y2016
T18,T18,Ryan Palmer,86,34.38,224,77,Y2016
20,20,William McGirt,98,33.91,233,79,Y2016
21,21,Harris English,97,33.9,177,60,Y2016
22,22,Retief Goosen,55,33.88,121,41,Y2016
23,23,D.H. Lee,61,33.86,127,43,Y2016
24,24,Jamie Lovemark,91,33.82,204,69,Y2016
25,25,Vaughn Taylor,72,33.75,160,54,Y2016
26,26,Brendon de Jonge,83,33.68,193,65,Y2016
27,27,Jon Curran,99,33.66,205,69,Y2016
T28,T28,Hideki Matsuyama,76,33.53,167,56,Y2016
T28,T28,Bryce Molder,80,33.53,170,57,Y2016
30,30,Aaron Baddeley,93,33.52,176,59,Y2016
31,31,Kevin Kisner,97,33.33,207,69,Y2016
32,32,John Senden,88,33.05,233,77,Y2016
33,33,Derek Fathauer,94,33.01,206,68,Y2016
34,34,Andrew Landry,53,32.99,97,32,Y2016
35,35,Andres Gonzales,80,32.98,191,63,Y2016
36,36,Phil Mickelson,75,32.93,167,55,Y2016
37,37,Matt Kuchar,100,32.65,196,64,Y2016
38,38,Brooks Koepka,75,32.6,181,59,Y2016
39,39,Martin Piller,59,32.59,135,44,Y2016
40,40,Kyle Stanley,92,32.58,221,72,Y2016
41,41,Sam Saunders,69,32.5,120,39,Y2016
42,42,Boo Weekley,83,32.49,197,64,Y2016
43,43,Luke List,79,32.37,173,56,Y2016
44,44,Paul Casey,77,32.3,161,52,Y2016
45,45,Dustin Johnson,87,32.28,189,61,Y2016
46,46,Rob Oppenheim,67,32.12,137,44,Y2016
47,47,Louis Oosthuizen,63,32.04,103,33,Y2016
48,48,David Hearn,95,31.93,238,76,Y2016
49,49,Webb Simpson,70,31.88,160,51,Y2016
50,50,Charley Hoffman,91,31.68,202,64,Y2016
51,51,Sean O'Hair,89,31.63,215,68,Y2016
T52,T52,Ricky Barnes,97,31.51,219,69,Y2016
T52,T52,Brendon Todd,66,31.51,146,46,Y2016
54,54,Branden Grace,63,31.43,105,33,Y2016
55,55,Morgan Hoffmann,71,31.37,153,48,Y2016
56,56,Si Woo Kim,113,31.28,243,76,Y2016
57,57,Tyler Aldridge,83,31.16,199,62,Y2016
T58,T58,Michael Kim,100,31.14,228,71,Y2016
T58,T58,Patton Kizzire,93,31.14,167,52,Y2016
60,60,Ángel Cabrera,62,31.06,132,41,Y2016
T61,T61,Zac Blair,99,31.02,216,67,Y2016
T61,T61,Emiliano Grillo,93,31.02,216,67,Y2016
T63,T63,Luke Guthrie,57,30.97,113,35,Y2016
T63,T63,Kyle Reifers,115,30.97,268,83,Y2016
65,65,Camilo Villegas,83,30.95,210,65,Y2016
66,66,Michael Thompson,71,30.67,163,50,Y2016
T67,T67,Stuart Appleby,71,30.64,173,53,Y2016
T67,T67,Patrick Reed,105,30.64,235,72,Y2016
T69,T69,Mark Hubbard,101,30.49,223,68,Y2016
T69,T69,Marc Leishman,89,30.49,164,50,Y2016
71,71,Chris Stroud,82,30.43,207,63,Y2016
72,72,Billy Hurley III,66,30.38,158,48,Y2016
73,73,Zach Johnson,90,30.32,221,67,Y2016
T74,T74,Billy Horschel,73,30.26,152,46,Y2016
T74,T74,Russell Knox,92,30.26,152,46,Y2016
76,76,Sung Kang,89,30.25,162,49,Y2016
77,77,Vijay Singh,72,30.22,182,55,Y2016
T78,T78,Seung-Yul Noh,85,30.06,163,49,Y2016
T78,T78,Brian Stuard,66,30.06,163,49,Y2016
T80,T80,Kelly Kraft,63,30,130,39,Y2016
T80,T80,Greg Owen,85,30,210,63,Y2016
T80,T80,Hudson Swafford,104,30,270,81,Y2016
83,83,Ben Crane,80,29.83,181,54,Y2016
84,84,Thomas Aiken,70,29.79,141,42,Y2016
85,85,George McNeill,51,29.75,121,36,Y2016
86,86,Cameron Tringale,81,29.74,195,58,Y2016
87,87,Martin Laird,82,29.69,192,57,Y2016
88,88,Adam Hadwin,93,29.66,236,70,Y2016
T89,T89,Jhonattan Vegas,97,29.63,216,64,Y2016
T89,T89,Johnson Wagner,86,29.63,189,56,Y2016
91,91,Jim Herman,93,29.61,179,53,Y2016
92,92,Rory McIlroy,69,29.53,149,44,Y2016
T93,T93,Rickie Fowler,80,29.52,166,49,Y2016
T93,T93,Scott Stallings,74,29.52,166,49,Y2016
95,95,Ryan Moore,86,29.47,190,56,Y2016
96,96,Bronson Burgoon,83,29.38,177,52,Y2016
97,97,Tyrone Van Aswegen,105,29.3,256,75,Y2016
98,98,Whee Kim,82,29.29,198,58,Y2016
99,99,Dicky Pride,55,29.2,113,33,Y2016
100,100,Peter Malnati,85,28.96,221,64,Y2016
101,101,David Lingmerth,84,28.92,166,48,Y2016
102,102,Chad Collins,73,28.87,194,56,Y2016
103,103,Scott Pinckney,87,28.84,215,62,Y2016
104,104,Russell Henley,76,28.79,198,57,Y2016
105,105,Daniel Summerhays,99,28.72,188,54,Y2016
106,106,John Huh,86,28.71,209,60,Y2016
107,107,Blayne Barber,84,28.7,216,62,Y2016
108,108,Anirban Lahiri,72,28.68,136,39,Y2016
T109,T109,Graham DeLaet,70,28.65,171,49,Y2016
T109,T109,Jason Gore,78,28.65,171,49,Y2016
T111,T111,Jim Furyk,52,28.57,140,40,Y2016
T111,T111,Gary Woodland,95,28.57,210,60,Y2016
113,113,Robert Garrigus,69,28.48,165,47,Y2016
114,114,Bubba Watson,72,28.47,137,39,Y2016
115,115,Adam Scott,79,28.4,162,46,Y2016
116,116,Luke Donald,81,28.38,148,42,Y2016
117,117,Rod Pampling,54,28.16,103,29,Y2016
118,118,Tony Finau,95,28.11,185,52,Y2016
119,119,Shawn Stefani,91,28.02,207,58,Y2016
T120,T120,Fabián Gómez,82,28,200,56,Y2016
T120,T120,Hiroshi Iwata,85,28,175,49,Y2016
122,122,Lucas Glover,75,27.89,190,53,Y2016
123,123,Nick Taylor,83,27.88,165,46,Y2016
124,124,Tom Hoge,81,27.87,183,51,Y2016
125,125,Steve Wheatcroft,85,27.81,169,47,Y2016
126,126,Stewart Cink,61,27.69,130,36,Y2016
127,127,Jimmy Walker,85,27.66,188,52,Y2016
128,128,Henrik Norlander,71,27.56,156,43,Y2016
129,129,Willy Wilcox,67,27.45,153,42,Y2016
130,130,Derek Ernst,59,27.42,124,34,Y2016
