RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,% MADE,ATTEMPTS,PUTTS MADE,YEAR
1,,Rob Oppenheim,74,39.46,147,58,Y2018
2,,Phil Mickelson,90,38.73,173,67,Y2018
3,,Dominic Bozzelli,65,38.1,168,64,Y2018
4,,Adam Hadwin,92,37.7,183,69,Y2018
5,,Marc Leishman,93,37.37,198,74,Y2018
6,,Andrew Putnam,97,37.31,201,75,Y2018
7,,Jim Furyk,50,37.3,126,47,Y2018
8,,Cameron Percy,56,37.17,113,42,Y2018
9,,Whee Kim,93,36.36,198,72,Y2018
10,,Charles Howell III,104,36.27,193,70,Y2018
11,,Ben Silverman,90,36.19,210,76,Y2018
T12,,Branden Grace,67,36,125,45,Y2018
T12,,Anirban Lahiri,82,36,175,63,Y2018
14,,Brett Stegmaier,67,35.76,151,54,Y2018
15,,Rory Sabbatini,91,35.71,154,55,Y2018
16,,Chris Stroud,81,35.33,167,59,Y2018
17,,Peter Malnati,87,35.32,201,71,Y2018
18,,Nicholas Lindheim,77,35.15,165,58,Y2018
19,,Rafa Cabrera Bello,75,35.04,137,48,Y2018
20,,Brian Stuard,103,35.02,257,90,Y2018
21,,Jason Day,75,34.81,135,47,Y2018
22,,Beau Hossler,104,34.52,252,87,Y2018
23,,Aaron Wise,90,34.45,209,72,Y2018
24,,Graeme McDowell,67,34.4,125,43,Y2018
25,,Greg Chalmers,56,34.34,99,34,Y2018
26,,Billy Horschel,86,34.33,201,69,Y2018
27,,Harris English,84,34.27,178,61,Y2018
T28,,"Ted Potter, Jr.",87,34.13,208,71,Y2018
T28,,Jimmy Walker,81,34.13,167,57,Y2018
30,,Troy Merritt,89,34.12,211,72,Y2018
31,,Emiliano Grillo,94,33.97,209,71,Y2018
32,,Seamus Power,86,33.91,174,59,Y2018
33,,Rod Pampling,62,33.87,124,42,Y2018
34,,Jason Dufner,71,33.8,142,48,Y2018
35,,Daniel Summerhays,51,33.64,107,36,Y2018
36,,D.A. Points,63,33.59,128,43,Y2018
37,,Chez Reavie,93,33.55,155,52,Y2018
T38,,Dustin Johnson,77,33.53,167,56,Y2018
T38,,Matt Kuchar,88,33.53,173,58,Y2018
40,,Patrick Cantlay,87,33.5,197,66,Y2018
41,,Webb Simpson,95,33.47,236,79,Y2018
T42,,Brandon Harkins,101,33.33,222,74,Y2018
T42,,Jason Kokrak,99,33.33,252,84,Y2018
T42,,Denny McCarthy,71,33.33,126,42,Y2018
45,,Rickie Fowler,74,33.16,187,62,Y2018
46,,Tommy Fleetwood,73,33.12,157,52,Y2018
47,,Tiger Woods,68,32.92,161,53,Y2018
48,,Danny Lee,88,32.88,222,73,Y2018
49,,Hunter Mahan,67,32.87,143,47,Y2018
50,,Ollie Schniederjans,91,32.86,210,69,Y2018
51,,Satoshi Kodaira,51,32.8,125,41,Y2018
52,,Austin Cook,107,32.68,254,83,Y2018
53,,Tyrrell Hatton,58,32.65,98,32,Y2018
54,,Kevin Na,91,32.63,190,62,Y2018
55,,Justin Rose,70,32.61,138,45,Y2018
56,,Martin Piller,79,32.4,179,58,Y2018
57,,Brian Gay,103,32.38,210,68,Y2018
58,,Johnson Wagner,75,32.37,139,45,Y2018
59,,Michael Thompson,62,32.21,149,48,Y2018
T60,,Ian Poulter,73,32.14,140,45,Y2018
T60,,Charl Schwartzel,65,32.14,112,36,Y2018
62,,Daniel Berger,81,32.11,190,61,Y2018
63,,Matt Jones,70,32.03,128,41,Y2018
64,,Stewart Cink,87,31.95,169,54,Y2018
65,,Ben Crane,65,31.93,119,38,Y2018
66,,Gary Woodland,96,31.92,213,68,Y2018
67,,Russell Henley,77,31.9,163,52,Y2018
68,,J.T. Poston,73,31.88,160,51,Y2018
T69,,Patrick Rodgers,97,31.71,164,52,Y2018
T69,,Jordan Spieth,81,31.71,164,52,Y2018
71,,William McGirt,84,31.63,196,62,Y2018
72,,Cameron Tringale,67,31.62,136,43,Y2018
73,,Corey Conners,97,31.58,228,72,Y2018
74,,J.B. Holmes,77,31.55,168,53,Y2018
75,,Ryan Moore,78,31.47,197,62,Y2018
76,,Kelly Kraft,94,31.41,191,60,Y2018
77,,Adam Scott,78,31.29,163,51,Y2018
T78,,Tony Finau,105,31.25,224,70,Y2018
T78,,Jon Rahm,71,31.25,144,45,Y2018
80,,Brandt Snedeker,84,31.22,205,64,Y2018
81,,Jonas Blixt,67,31.2,125,39,Y2018
82,,Bryson DeChambeau,93,31.19,202,63,Y2018
T83,,Mackenzie Hughes,80,31.18,170,53,Y2018
T83,,Shawn Stefani,76,31.18,170,53,Y2018
85,,Matt Atkins,56,31.07,103,32,Y2018
86,,Vaughn Taylor,83,30.96,197,61,Y2018
87,,Brian Harman,94,30.93,194,60,Y2018
88,,Hudson Swafford,73,30.88,136,42,Y2018
89,,Steve Wheatcroft,60,30.77,143,44,Y2018
90,,Byeong Hun An,86,30.73,192,59,Y2018
91,,Zach Johnson,94,30.7,215,66,Y2018
92,,Adam Schenk,86,30.68,176,54,Y2018
93,,Paul Casey,74,30.65,124,38,Y2018
94,,John Huh,94,30.64,235,72,Y2018
95,,Brooks Koepka,64,30.63,160,49,Y2018
96,,Ben Martin,64,30.61,147,45,Y2018
97,,Tom Lovelady,87,30.58,206,63,Y2018
98,,David Lingmerth,82,30.57,193,59,Y2018
99,,Stephan Jaeger,81,30.56,144,44,Y2018
100,,Justin Thomas,91,30.43,184,56,Y2018
101,,Ricky Barnes,65,30.4,125,38,Y2018
102,,C.T. Pan,104,30.37,214,65,Y2018
103,,Ryan Blaum,81,30.29,208,63,Y2018
104,,Chesson Hadley,103,30.25,281,85,Y2018
105,,Jamie Lovemark,92,30.24,205,62,Y2018
106,,Roberto Díaz,72,30.07,153,46,Y2018
107,,Alex Noren,67,30,130,39,Y2018
108,,Sung Kang,89,29.9,194,58,Y2018
109,,Bud Cauley,55,29.81,104,31,Y2018
110,,Bronson Burgoon,69,29.78,178,53,Y2018
111,,Jhonattan Vegas,92,29.73,185,55,Y2018
112,,Grayson Murray,72,29.71,175,52,Y2018
113,,Billy Hurley III,70,29.55,132,39,Y2018
114,,Kyle Stanley,93,29.51,183,54,Y2018
115,,Richy Werenski,98,29.47,190,56,Y2018
116,,Wesley Bryan,69,29.37,143,42,Y2018
117,,Nick Watney,94,29.33,225,66,Y2018
118,,Fabián Gómez,88,29.32,191,56,Y2018
119,,Talor Gooch,78,29.28,181,53,Y2018
120,,Bill Haas,76,29.24,171,50,Y2018
T121,,Russell Knox,94,29.19,209,61,Y2018
T121,,Bubba Watson,90,29.19,185,54,Y2018
