RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Lucas Glover,65,"29' 9""",89.17,3,-1,Y2018
2,,Francesco Molinari,73,"47' 1""",329.5,7,-1,Y2018
3,,Charley Hoffman,87,"49' 6""",445.58,9,-3,Y2018
4,,Rafa Cabrera Bello,75,"52' 2""",208.5,4,-3,Y2018
5,,Chad Campbell,87,"53' 5""",374,7,-2,Y2018
6,,Martin Laird,73,"54' 3""",597.08,11,-8,Y2018
7,,Sam Ryder,82,"55' 5""",443,8,-4,Y2018
T8,,Dustin Johnson,77,"56' 8""",340.08,6,-3,Y2018
T8,,Jordan Spieth,81,"56' 8""",680.08,12,-6,Y2018
10,,Brett Stegmaier,67,"59' 4""",237.25,4,-1,Y2018
11,,Tommy Fleetwood,73,"59' 5""",593.83,10,-2,Y2018
T12,,Corey Conners,97,"60' 2""",481.08,8,-5,Y2018
T12,,Luke List,98,"60' 2""",1203.75,20,-8,Y2018
T14,,Blayne Barber,69,"60' 8""",424.58,7,-3,Y2018
T14,,Kevin Chappell,77,"60' 8""",364.08,6,-4,Y2018
T14,,Hideki Matsuyama,75,"60' 8""",485.08,8,-2,Y2018
17,,Matt Kuchar,88,"60' 9""",243,4,1,Y2018
18,,Ben Crane,65,"61' 0""",731.75,12,E,Y2018
19,,Jason Dufner,71,"61' 2""",489.5,8,-1,Y2018
20,,Chesson Hadley,103,"61' 5""",736.92,12,E,Y2018
21,,Cameron Tringale,67,"61' 6""",553.83,9,3,Y2018
22,,Trey Mullinax,75,"61' 7""",492.33,8,E,Y2018
23,,Joel Dahmen,93,"61' 9""",679.42,11,-8,Y2018
24,,Jimmy Walker,81,"61' 11""",618.75,10,-1,Y2018
25,,Scott Piercy,84,"62' 0""",433.92,7,1,Y2018
26,,Keegan Bradley,98,"62' 5""",811,13,-4,Y2018
T27,,Troy Merritt,89,"62' 7""",751,12,-5,Y2018
T27,,Chez Reavie,93,"62' 7""",125.17,2,-2,Y2018
29,,Brandt Snedeker,84,"62' 8""",626.33,10,-4,Y2018
30,,Ryan Moore,78,"62' 10""",691.5,11,-4,Y2018
31,,Bubba Watson,90,"63' 1""",315.25,5,1,Y2018
32,,Zecheng Dou,53,"63' 3""",189.75,3,1,Y2018
33,,Sam Saunders,80,"63' 6""",634.67,10,-3,Y2018
34,,Russell Knox,94,"63' 7""",317.75,5,-5,Y2018
T35,,Beau Hossler,104,"63' 9""",446.33,7,E,Y2018
T35,,Ryan Palmer,69,"63' 9""",828.33,13,-7,Y2018
37,,Charles Howell III,104,"64' 0""",448.167,7,-2,Y2018
38,,Adam Scott,78,"64' 1""",320.42,5,-4,Y2018
T39,,Nate Lashley,51,"64' 2""",385.17,6,-1,Y2018
T39,,Kyle Thompson,50,"64' 2""",449,7,-2,Y2018
41,,Rory McIlroy,64,"64' 5""",708.58,11,-4,Y2018
T42,,Fabián Gómez,88,"64' 8""",387.75,6,-2,Y2018
T42,,Marc Leishman,93,"64' 8""",582.33,9,-4,Y2018
T42,,Patrick Rodgers,97,"64' 8""",452.92,7,-1,Y2018
45,,J.T. Poston,73,"64' 9""",971,15,E,Y2018
T46,,Seamus Power,86,"64' 11""",779.08,12,-3,Y2018
T46,,Patrick Reed,94,"64' 11""",1038.08,16,-6,Y2018
T48,,Stewart Cink,87,"65' 7""",262.25,4,-3,Y2018
T48,,Cody Gribble,71,"65' 7""",786.67,12,-1,Y2018
50,,Martin Flores,92,"65' 9""",591.5,9,-4,Y2018
T51,,Jamie Lovemark,92,"66' 0""",924.42,14,-8,Y2018
T51,,Tiger Woods,68,"66' 0""",198.08,3,-1,Y2018
T53,,Roberto Díaz,72,"66' 1""",793.08,12,-2,Y2018
T53,,Rickie Fowler,74,"66' 1""",859.5,13,-7,Y2018
T55,,Matt Jones,70,"66' 3""",264.92,4,2,Y2018
T55,,Rob Oppenheim,74,"66' 3""",794.67,12,1,Y2018
T57,,Abraham Ancer,98,"66' 6""",798.08,12,E,Y2018
T57,,Kevin Streelman,94,"66' 6""",532.08,8,-1,Y2018
T59,,Derek Fathauer,84,"66' 8""",1000.08,15,-7,Y2018
T59,,D.A. Points,63,"66' 8""",999.92,15,-4,Y2018
61,,Paul Casey,74,"67' 0""",602.92,9,-5,Y2018
62,,David Lingmerth,82,"67' 1""",469.83,7,-4,Y2018
63,,Tony Finau,105,"67' 2""",1679.25,25,-15,Y2018
64,,Kevin Na,91,"67' 4""",942.33,14,2,Y2018
65,,Tyrone Van Aswegen,101,"67' 5""",741.42,11,-2,Y2018
66,,Jonas Blixt,67,"67' 8""",473.42,7,-2,Y2018
67,,Patton Kizzire,92,"67' 9""",948.67,14,-4,Y2018
T68,,Ryan Armour,109,"67' 10""",746,11,-2,Y2018
T68,,Pat Perez,82,"67' 10""",271.17,4,-3,Y2018
70,,Sean O'Hair,67,"68' 0""",476,7,-1,Y2018
71,,Kevin Tway,110,"68' 4""",956.58,14,-2,Y2018
T72,,Tyrrell Hatton,58,"68' 5""",205.17,3,-1,Y2018
T72,,Kelly Kraft,94,"68' 5""",889.75,13,-2,Y2018
T72,,Charl Schwartzel,65,"68' 5""",342,5,1,Y2018
T75,,Dominic Bozzelli,65,"68' 6""",753.08,11,-5,Y2018
T75,,Cameron Percy,56,"68' 6""",274.08,4,-2,Y2018
77,,Jim Furyk,50,"68' 7""",411.25,6,1,Y2018
78,,Ollie Schniederjans,91,"68' 10""",1032,15,-1,Y2018
79,,Justin Rose,70,"68' 11""",482.42,7,-4,Y2018
80,,Brice Garnett,99,"69' 2""",415.08,6,-1,Y2018
81,,Jon Rahm,71,"69' 3""",554.17,8,-2,Y2018
82,,Tyler Duncan,97,"69' 4""",554.42,8,-4,Y2018
83,,David Hearn,66,"69' 10""",279.17,4,E,Y2018
84,,Brendan Steele,74,"70' 0""",630.17,9,-3,Y2018
85,,Richy Werenski,98,"70' 2""",561.25,8,E,Y2018
86,,Denny McCarthy,71,"70' 3""",491.75,7,-2,Y2018
T87,,Jonathan Byrd,70,"70' 4""",773.75,11,-3,Y2018
T87,,Kyle Stanley,93,"70' 4""",914.25,13,1,Y2018
T89,,Retief Goosen,60,"70' 5""",351.92,5,2,Y2018
T89,,Hudson Swafford,73,"70' 5""",422.42,6,-2,Y2018
91,,Whee Kim,93,"70' 9""",566.25,8,E,Y2018
92,,C.T. Pan,104,"71' 0""",709.92,10,1,Y2018
T93,,Webb Simpson,95,"71' 2""",925.5,13,-5,Y2018
T93,,Aaron Wise,90,"71' 2""",640.75,9,-5,Y2018
95,,Aaron Baddeley,84,"71' 4""",784.75,11,-3,Y2018
96,,Xander Schauffele,96,"71' 5""",499.67,7,-3,Y2018
97,,Henrik Stenson,60,"71' 6""",286,4,-2,Y2018
98,,Tom Lovelady,87,"72' 0""",1152.08,16,-3,Y2018
99,,Nicholas Lindheim,77,"72' 3""",794.83,11,1,Y2018
100,,Austin Cook,107,"72' 7""",580.5,8,-4,Y2018
T101,,Chris Kirk,108,"72' 9""",655.08,9,-2,Y2018
T101,,Ian Poulter,73,"72' 9""",363.92,5,-1,Y2018
103,,Peter Malnati,87,"73' 0""",584,8,-3,Y2018
104,,Branden Grace,67,"73' 1""",511.67,7,1,Y2018
105,,Danny Lee,88,"73' 2""",658.58,9,-3,Y2018
106,,Lanto Griffin,80,"73' 4""",1247.17,17,E,Y2018
107,,Justin Thomas,91,"73' 8""",662.67,9,-3,Y2018
108,,Russell Henley,77,"74' 1""",740.92,10,E,Y2018
109,,Conrad Shindler,60,"74' 3""",222.83,3,1,Y2018
110,,Shane Lowry,64,"74' 5""",520.67,7,-3,Y2018
T111,,Rod Pampling,62,"74' 7""",894.58,12,E,Y2018
T111,,Jhonattan Vegas,92,"74' 7""",1416.42,19,3,Y2018
T113,,Patrick Cantlay,87,"74' 8""",821.25,11,-6,Y2018
T113,,Gary Woodland,96,"74' 8""",746.58,10,-5,Y2018
T115,,Brooks Koepka,64,"74' 9""",747.5,10,-4,Y2018
T115,,Cameron Smith,85,"74' 9""",1046.08,14,-4,Y2018
117,,John Huh,94,"75' 0""",675.08,9,-5,Y2018
118,,Nick Watney,94,"75' 2""",976.83,13,-8,Y2018
119,,Satoshi Kodaira,51,"75' 4""",225.92,3,E,Y2018
120,,Ryan Blaum,81,"75' 8""",1285.83,17,2,Y2018
121,,Michael Kim,74,"75' 11""",683.33,9,E,Y2018
122,,Harold Varner III,91,"76' 1""",608.92,8,-2,Y2018
T123,,Bill Haas,76,"76' 6""",841.42,11,-2,Y2018
T123,,Peter Uihlein,83,"76' 6""",688.5,9,-5,Y2018
125,,Daniel Summerhays,51,"76' 8""",843.25,11,3,Y2018
126,,J.B. Holmes,77,"76' 10""",999.08,13,-3,Y2018
T127,,Bryson DeChambeau,93,"77' 1""",848.17,11,-5,Y2018
T127,,Johnson Wagner,75,"77' 1""",539.42,7,-4,Y2018
129,,Matt Every,79,"77' 6""",1084.5,14,1,Y2018
130,,Phil Mickelson,90,"78' 3""",861.17,11,-6,Y2018
T131,,Sung Kang,89,"78' 5""",1019.5,13,2,Y2018
T131,,Graeme McDowell,67,"78' 5""",627.58,8,-3,Y2018
133,,Bud Cauley,55,"78' 10""",630.83,8,-3,Y2018
134,,Byeong Hun An,86,"79' 2""",712.58,9,E,Y2018
135,,Martin Piller,79,"79' 4""",952.17,12,E,Y2018
T136,,"Ted Potter, Jr.",87,"80' 1""",1201.83,15,-1,Y2018
T136,,Ben Silverman,90,"80' 1""",1040.92,13,-1,Y2018
138,,Michael Thompson,62,"80' 6""",402.33,5,1,Y2018
T139,,Wesley Bryan,69,"80' 9""",807.58,10,3,Y2018
T139,,Brian Stuard,103,"80' 9""",484.33,6,E,Y2018
141,,Alex Noren,67,"81' 1""",486.25,6,1,Y2018
142,,Emiliano Grillo,94,"81' 3""",569,7,E,Y2018
143,,Stephan Jaeger,81,"81' 9""",736.08,9,-7,Y2018
144,,Grayson Murray,72,"82' 8""",909.42,11,-3,Y2018
145,,Matt Atkins,56,"82' 9""",331,4,-2,Y2018
146,,James Hahn,85,"83' 0""",830,10,-3,Y2018
T147,,Rory Sabbatini,91,"83' 2""",831.25,10,-1,Y2018
T147,,Scott Stallings,96,"83' 2""",582.42,7,E,Y2018
149,,Louis Oosthuizen,62,"83' 5""",250.25,3,E,Y2018
150,,Robert Garrigus,80,"83' 7""",1504,18,-6,Y2018
151,,Chris Stroud,81,"83' 11""",1006.75,12,-4,Y2018
152,,Daniel Berger,81,"84' 1""",1092.67,13,-2,Y2018
153,,Tom Hoge,101,"84' 3""",1095.5,13,-5,Y2018
154,,Si Woo Kim,108,"84' 4""",1011.83,12,-5,Y2018
155,,Mackenzie Hughes,80,"84' 11""",849.5,10,-4,Y2018
156,,J.J. Spaun,85,"85' 5""",683.17,8,-2,Y2018
157,,Jonathan Randolph,71,"85' 6""",598.25,7,-1,Y2018
158,,Robert Streb,78,"86' 0""",1204.33,14,1,Y2018
159,,Billy Horschel,86,"86' 1""",775,9,-7,Y2018
T160,,Scott Brown,102,"86' 2""",1033.75,12,-5,Y2018
T160,,Shawn Stefani,76,"86' 2""",1120,13,-4,Y2018
162,,Alex Cejka,77,"86' 5""",345.58,4,-3,Y2018
163,,Jason Kokrak,99,"86' 6""",1557.08,18,-6,Y2018
T164,,Ricky Barnes,65,"86' 11""",1391.17,16,-3,Y2018
T164,,Andrew Landry,82,"86' 11""",521.33,6,E,Y2018
166,,Talor Gooch,78,"87' 4""",1310.58,15,E,Y2018
167,,Adam Hadwin,92,"87' 6""",787.67,9,-1,Y2018
168,,Keith Mitchell,99,"87' 8""",964.67,11,-1,Y2018
169,,Vaughn Taylor,83,"87' 10""",527.08,6,2,Y2018
170,,Kevin Kisner,89,"88' 9""",266.33,3,1,Y2018
171,,Billy Hurley III,70,"89' 3""",446.08,5,2,Y2018
T172,,Brandon Harkins,101,"89' 6""",1252.67,14,-4,Y2018
T172,,Anirban Lahiri,82,"89' 6""",894.92,10,E,Y2018
174,,Greg Chalmers,56,"89' 10""",629,7,E,Y2018
175,,Jason Day,75,"89' 11""",719.42,8,E,Y2018
176,,Adam Schenk,86,"90' 0""",1079.58,12,-3,Y2018
177,,Brian Harman,94,"90' 3""",541.58,6,2,Y2018
178,,Steve Wheatcroft,60,"90' 8""",453.25,5,-1,Y2018
179,,Andrew Putnam,97,"91' 5""",1280,14,-3,Y2018
180,,Xinjun Zhang,81,"92' 6""",1202.58,13,-3,Y2018
181,,Brian Gay,103,"93' 0""",836.67,9,E,Y2018
182,,J.J. Henry,81,"93' 4""",746.92,8,2,Y2018
T183,,Ben Martin,64,"93' 8""",843,9,-3,Y2018
T183,,Andrew Yun,51,"93' 8""",749,8,4,Y2018
185,,Ethan Tracy,72,"94' 0""",282.08,3,E,Y2018
186,,Bronson Burgoon,69,"96' 0""",575.83,6,-2,Y2018
187,,Hunter Mahan,67,"96' 5""",1060.92,11,3,Y2018
188,,Zac Blair,64,"96' 8""",869.83,9,1,Y2018
189,,Harris English,84,"100' 10""",604.92,6,E,Y2018
190,,Zach Johnson,94,"101' 6""",507.42,5,E,Y2018
191,,William McGirt,84,"101' 11""",1324.75,13,-3,Y2018
192,,Nick Taylor,94,"104' 11""",944.25,9,-1,Y2018
193,,Kiradech Aphibarnrat,51,"167' 1""",167.08,1,1,Y2018
1,,Brendan Steele,89,"47' 3""",377.75,8,-3,Y2017
2,,Jason Kokrak,95,"50' 6""",605.58,12,-7,Y2017
3,,Jason Dufner,89,"51' 2""",358,7,-4,Y2017
4,,Sebastián Muñoz,51,"51' 3""",461.08,9,-5,Y2017
5,,Graham DeLaet,82,"52' 9""",474.83,9,-3,Y2017
6,,Billy Hurley III,80,"55' 3""",662.75,12,E,Y2017
7,,Alex Cejka,85,"56' 1""",392.33,7,-2,Y2017
8,,Luke List,102,"56' 11""",966.92,17,-10,Y2017
9,,Ryan Armour,63,"57' 0""",170.92,3,-3,Y2017
10,,J.J. Spaun,92,"57' 6""",632.67,11,-3,Y2017
11,,Kevin Na,86,"57' 9""",635,11,2,Y2017
12,,Rory McIlroy,51,"58' 3""",349.5,6,-3,Y2017
13,,Jordan Spieth,85,"58' 5""",993.08,17,-10,Y2017
14,,Matt Kuchar,95,"59' 7""",536.08,9,-1,Y2017
15,,J.B. Holmes,83,"59' 11""",838.75,14,-7,Y2017
T16,,Chris Stroud,67,"60' 4""",784.17,13,-2,Y2017
T16,,Jimmy Walker,68,"60' 4""",603.25,10,-5,Y2017
18,,Marc Leishman,94,"60' 5""",423,7,-4,Y2017
19,,Chris Kirk,89,"60' 11""",487.17,8,E,Y2017
20,,Sergio Garcia,65,"61' 2""",366.92,6,E,Y2017
T21,,Jonathan Randolph,68,"61' 9""",370.58,6,-5,Y2017
T21,,Charl Schwartzel,63,"61' 9""",740.5,12,-4,Y2017
23,,Pat Perez,93,"62' 4""",810.08,13,-5,Y2017
T24,,Chez Reavie,98,"62' 5""",374.667,6,-4,Y2017
T24,,Michael Thompson,60,"62' 5""",312.25,5,-1,Y2017
26,,Scott Stallings,81,"62' 6""",374.92,6,-2,Y2017
27,,Tom Hoge,54,"63' 0""",377.83,6,-2,Y2017
28,,Adam Scott,58,"63' 11""",575.17,9,-3,Y2017
T29,,Daniel Berger,91,"64' 4""",514.58,8,-2,Y2017
T29,,Jason Day,71,"64' 4""",579.17,9,-4,Y2017
31,,Jon Rahm,90,"64' 6""",838.5,13,-2,Y2017
32,,Zach Johnson,81,"64' 8""",452.83,7,-3,Y2017
33,,Louis Oosthuizen,69,"65' 8""",197,3,-2,Y2017
T34,,Bryson DeChambeau,91,"65' 10""",790,12,-3,Y2017
T34,,Hunter Mahan,73,"65' 10""",658,10,-6,Y2017
T34,,William McGirt,89,"65' 10""",395,6,1,Y2017
T37,,Scott Brown,95,"66' 0""",990.33,15,-7,Y2017
T37,,Mark Hubbard,81,"66' 0""",726.25,11,1,Y2017
T37,,Jhonattan Vegas,95,"66' 0""",924.33,14,-1,Y2017
40,,Paul Casey,94,"66' 6""",797.83,12,-1,Y2017
41,,Billy Horschel,88,"66' 8""",466.83,7,E,Y2017
42,,Richy Werenski,81,"66' 9""",400.42,6,-3,Y2017
T43,,Bud Cauley,92,"66' 11""",669.5,10,-1,Y2017
T43,,Ken Duke,77,"66' 11""",802.58,12,E,Y2017
45,,James Hahn,96,"67' 3""",672.08,10,-1,Y2017
46,,Ryo Ishikawa,56,"67' 4""",269.42,4,1,Y2017
47,,Wesley Bryan,95,"67' 7""",1014,15,3,Y2017
48,,Tim Wilkinson,64,"68' 1""",476.83,7,-3,Y2017
49,,Chad Collins,66,"68' 2""",340.83,5,-1,Y2017
T50,,Anirban Lahiri,72,"68' 5""",547.58,8,-3,Y2017
T50,,Cameron Smith,86,"68' 5""",478.75,7,-2,Y2017
52,,D.A. Points,68,"68' 7""",480.08,7,1,Y2017
53,,Ryan Moore,82,"69' 2""",346,5,E,Y2017
54,,Retief Goosen,52,"69' 3""",623.58,9,-4,Y2017
55,,Justin Thomas,86,"69' 5""",902.58,13,-6,Y2017
T56,,Kevin Chappell,95,"69' 8""",836,12,-7,Y2017
T56,,Cameron Percy,71,"69' 8""",348.25,5,2,Y2017
58,,Robert Streb,98,"69' 9""",906.67,13,-5,Y2017
59,,Harold Varner III,101,"69' 10""",907.67,13,-4,Y2017
60,,Russell Knox,75,"69' 11""",699.17,10,-2,Y2017
61,,Mark Anderson,54,"70' 1""",350.58,5,-2,Y2017
62,,Steven Alker,69,"70' 2""",280.58,4,2,Y2017
63,,Gonzalo Fernandez-Castaño,63,"70' 7""",494.08,7,E,Y2017
T64,,Hideki Matsuyama,83,"70' 9""",990.08,14,-7,Y2017
T64,,Justin Rose,66,"70' 9""",637,9,-4,Y2017
T66,,Dominic Bozzelli,69,"70' 10""",921.25,13,-3,Y2017
T66,,Sean O'Hair,84,"70' 10""",637.17,9,-4,Y2017
68,,Emiliano Grillo,90,"71' 1""",355.42,5,3,Y2017
69,,Bubba Watson,71,"71' 3""",427.67,6,-1,Y2017
70,,Brett Stegmaier,78,"71' 4""",570.5,8,3,Y2017
71,,Ollie Schniederjans,92,"71' 6""",1143.75,16,-5,Y2017
72,,Charley Hoffman,112,"71' 8""",644.67,9,-4,Y2017
73,,Francesco Molinari,75,"71' 10""",287.25,4,E,Y2017
74,,Mackenzie Hughes,106,"72' 4""",940.83,13,-5,Y2017
75,,Webb Simpson,102,"72' 6""",797.67,11,-2,Y2017
76,,Kelly Kraft,75,"72' 10""",728.58,10,2,Y2017
77,,Patrick Reed,107,"73' 2""",950.92,13,-2,Y2017
78,,Russell Henley,99,"73' 3""",878.67,12,1,Y2017
T79,,Greg Chalmers,75,"73' 4""",879.67,12,3,Y2017
T79,,Ian Poulter,72,"73' 4""",659.92,9,-1,Y2017
T81,,Dustin Johnson,77,"74' 0""",592.167,8,-3,Y2017
T81,,Kyle Reifers,96,"74' 0""",961.5,13,2,Y2017
83,,Daniel Summerhays,100,"74' 1""",1111.67,15,-1,Y2017
84,,Charles Howell III,86,"74' 3""",964.92,13,-1,Y2017
85,,Adam Hadwin,98,"74' 5""",669.75,9,E,Y2017
86,,Ernie Els,52,"74' 6""",298.08,4,-1,Y2017
87,,Johnson Wagner,71,"74' 8""",447.92,6,-1,Y2017
88,,Andrew Loupe,55,"74' 10""",823.42,11,-4,Y2017
89,,Tony Finau,106,"75' 0""",1349.42,18,-8,Y2017
90,,K.J. Choi,72,"75' 2""",601.33,8,-5,Y2017
91,,Rod Pampling,71,"75' 3""",1053,14,-3,Y2017
T92,,Brian Campbell,55,"75' 5""",301.58,4,-3,Y2017
T92,,Si Woo Kim,80,"75' 5""",1055.75,14,E,Y2017
94,,Geoff Ogilvy,80,"75' 6""",453,6,-1,Y2017
T95,,Lucas Glover,93,"75' 7""",831,11,-3,Y2017
T95,,Michael Kim,94,"75' 7""",983.08,13,-1,Y2017
97,,David Hearn,93,"75' 9""",454.67,6,E,Y2017
98,,Morgan Hoffmann,92,"75' 10""",834.42,11,E,Y2017
T99,,Ryan Brehm,83,"76' 1""",989,13,-1,Y2017
T99,,Cody Gribble,79,"76' 1""",836.67,11,E,Y2017
101,,Sung Kang,104,"76' 2""",533.33,7,-4,Y2017
102,,Patrick Rodgers,76,"76' 4""",915.5,12,-1,Y2017
103,,Jonas Blixt,74,"76' 9""",614.08,8,4,Y2017
104,,Tyrone Van Aswegen,105,"76' 11""",692,9,-5,Y2017
105,,Kevin Streelman,90,"77' 0""",924.25,12,-2,Y2017
106,,Steve Wheatcroft,51,"77' 1""",308.25,4,-1,Y2017
107,,Keegan Bradley,104,"77' 3""",618.08,8,-2,Y2017
108,,Cameron Tringale,89,"77' 8""",1242.17,16,E,Y2017
T109,,J.J. Henry,92,"77' 9""",855.67,11,-6,Y2017
T109,,Trey Mullinax,88,"77' 9""",855.17,11,-4,Y2017
T111,,Nicholas Lindheim,58,"78' 1""",624.83,8,-2,Y2017
T111,,Seamus Power,86,"78' 1""",1405.92,18,-2,Y2017
113,,Smylie Kaufman,76,"78' 3""",1407.83,18,-2,Y2017
114,,Matt Every,76,"78' 7""",785.5,10,-3,Y2017
T115,,Jamie Lovemark,98,"78' 8""",1101.42,14,2,Y2017
T115,,Tag Ridings,67,"78' 8""",943.75,12,-6,Y2017
T117,,Rickie Fowler,78,"78' 9""",787.25,10,-6,Y2017
T117,,C.T. Pan,88,"78' 9""",1024.17,13,-3,Y2017
T119,,David Lingmerth,79,"79' 0""",710.92,9,-1,Y2017
T119,,Rory Sabbatini,71,"79' 0""",631.83,8,-5,Y2017
121,,Andres Gonzales,73,"79' 1""",870.08,11,-7,Y2017
122,,Patrick Cantlay,52,"79' 2""",1345.67,17,-4,Y2017
123,,Robert Garrigus,78,"79' 3""",950.5,12,3,Y2017
124,,Shane Lowry,52,"79' 9""",318.92,4,-2,Y2017
125,,Shawn Stefani,72,"79' 11""",719.25,9,-6,Y2017
126,,Brandon Hagy,85,"80' 0""",480.17,6,-2,Y2017
T127,,Harris English,84,"80' 3""",722.08,9,-1,Y2017
T127,,Nick Watney,75,"80' 3""",642.25,8,-2,Y2017
129,,Jim Herman,77,"80' 5""",1206.25,15,1,Y2017
130,,Martin Flores,88,"80' 8""",887,11,-2,Y2017
131,,Grayson Murray,94,"80' 9""",1373,17,-5,Y2017
132,,Brooks Koepka,88,"80' 10""",1050.58,13,-4,Y2017
133,,Ben Martin,86,"80' 11""",566.25,7,-2,Y2017
134,,Stewart Cink,93,"81' 4""",813.42,10,-2,Y2017
T135,,John Huh,92,"81' 10""",818.08,10,1,Y2017
T135,,Bryce Molder,74,"81' 10""",654.5,8,E,Y2017
137,,Graeme McDowell,56,"82' 0""",492,6,1,Y2017
138,,Rick Lamb,54,"82' 1""",410.58,5,-2,Y2017
139,,Boo Weekley,75,"82' 2""",492.83,6,-1,Y2017
140,,Camilo Villegas,76,"82' 4""",1812,22,E,Y2017
T141,,Brad Fritsch,56,"82' 8""",744.17,9,1,Y2017
T141,,Brian Harman,104,"82' 8""",991.67,12,-1,Y2017
143,,Kevin Tway,96,"83' 1""",914.25,11,-1,Y2017
144,,Hudson Swafford,94,"83' 4""",750.33,9,-5,Y2017
145,,Julián Etulain,68,"83' 6""",501,6,-4,Y2017
146,,Danny Lee,93,"83' 11""",587.58,7,-2,Y2017
147,,Ryan Palmer,61,"84' 2""",841.83,10,1,Y2017
T148,,Blayne Barber,77,"84' 5""",759.5,9,-3,Y2017
T148,,Troy Merritt,82,"84' 5""",928.25,11,-2,Y2017
150,,Kyle Stanley,104,"85' 5""",1195.42,14,-3,Y2017
151,,Patton Kizzire,84,"85' 8""",770.83,9,2,Y2017
152,,Steven Bowditch,59,"86' 1""",1119,13,3,Y2017
153,,Nick Taylor,97,"86' 2""",1033.75,12,-4,Y2017
T154,,Byeong Hun An,77,"86' 3""",690.25,8,1,Y2017
T154,,Aaron Baddeley,61,"86' 3""",431.08,5,E,Y2017
T154,,Branden Grace,70,"86' 3""",603.5,7,-2,Y2017
157,,Whee Kim,74,"86' 6""",519.08,6,2,Y2017
158,,Brandt Snedeker,53,"87' 1""",435.33,5,3,Y2017
159,,Phil Mickelson,85,"87' 8""",789,9,-3,Y2017
160,,Brian Stuard,93,"87' 11""",791.58,9,2,Y2017
161,,Scott Piercy,70,"88' 9""",710.25,8,-4,Y2017
162,,Kevin Kisner,105,"89' 7""",1074.67,12,-3,Y2017
163,,Ricky Barnes,100,"89' 10""",988.42,11,-1,Y2017
164,,Carl Pettersson,63,"89' 11""",1079.08,12,E,Y2017
165,,Seung-Yul Noh,91,"90' 2""",1352.67,15,4,Y2017
166,,Matt Jones,64,"90' 8""",544.17,6,1,Y2017
167,,Jason Bohn,75,"90' 9""",997.92,11,E,Y2017
T168,,Zac Blair,105,"91' 0""",728.08,8,2,Y2017
T168,,Jim Furyk,54,"91' 0""",728,8,2,Y2017
T170,,Bill Haas,92,"91' 6""",640.5,7,-3,Y2017
T170,,Martin Laird,83,"91' 6""",640.58,7,-3,Y2017
172,,Peter Malnati,91,"92' 9""",835.08,9,5,Y2017
T173,,Chad Campbell,97,"93' 0""",743.75,8,-1,Y2017
T173,,Xander Schauffele,96,"93' 0""",929.92,10,-5,Y2017
175,,Ryan Blaum,100,"93' 7""",1123.42,12,E,Y2017
176,,Rafa Cabrera Bello,63,"94' 5""",566.33,6,-2,Y2017
177,,Søren Kjeldsen,58,"94' 6""",472.5,5,1,Y2017
178,,Brian Gay,82,"95' 9""",478.67,5,-2,Y2017
179,,Spencer Levin,89,"95' 10""",287.42,3,2,Y2017
180,,Gary Woodland,94,"96' 11""",1066.42,11,-4,Y2017
181,,Ben Crane,86,"99' 8""",1195.92,12,E,Y2017
