RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,% MADE,ATTEMPTS,PUTTS MADE,YEAR
1,,Ben Martin,64,23.75,80,19,Y2018
2,,Dustin Johnson,77,22.58,93,21,Y2018
3,,Kevin Na,91,20,95,19,Y2018
4,,Jonathan Randolph,71,19.74,76,15,Y2018
5,,Greg Chalmers,56,19.35,62,12,Y2018
6,,Charl Schwartzel,65,18.97,58,11,Y2018
7,,Martin Piller,79,18.68,91,17,Y2018
8,,Rafa Cabrera Bello,75,18.6,86,16,Y2018
9,,Brian Harman,94,18.46,130,24,Y2018
10,,Troy Merritt,89,18.45,103,19,Y2018
11,,Zecheng Dou,53,18.33,60,11,Y2018
12,,Martin Laird,73,17.95,78,14,Y2018
13,,Alex Cejka,77,17.81,73,13,Y2018
14,,Tom Hoge,101,17.76,107,19,Y2018
15,,Peter Uihlein,83,17.71,96,17,Y2018
16,,Ryan Blaum,81,17.65,102,18,Y2018
17,,Lanto Griffin,80,17.44,86,15,Y2018
18,,Billy Hurley III,70,17.28,81,14,Y2018
19,,Justin Rose,70,17.07,82,14,Y2018
20,,Wesley Bryan,69,16.98,53,9,Y2018
21,,Adam Scott,78,16.87,83,14,Y2018
T22,,Branden Grace,67,16.67,72,12,Y2018
T22,,Russell Henley,77,16.67,96,16,Y2018
24,,Trey Mullinax,75,16.46,79,13,Y2018
25,,Alex Noren,67,16.39,61,10,Y2018
26,,David Lingmerth,82,16.36,110,18,Y2018
27,,Rob Oppenheim,74,16.28,86,14,Y2018
28,,J.B. Holmes,77,16.13,93,15,Y2018
29,,Emiliano Grillo,94,15.97,119,19,Y2018
30,,Zach Johnson,94,15.93,113,18,Y2018
31,,Ryan Armour,109,15.86,145,23,Y2018
32,,Sean O'Hair,67,15.85,82,13,Y2018
T33,,Jonas Blixt,67,15.79,76,12,Y2018
T33,,Jason Day,75,15.79,76,12,Y2018
35,,Whee Kim,93,15.69,102,16,Y2018
36,,Patton Kizzire,92,15.56,135,21,Y2018
37,,Justin Thomas,91,15.53,103,16,Y2018
38,,Chez Reavie,93,15.48,84,13,Y2018
39,,Kevin Kisner,89,15.46,97,15,Y2018
40,,J.T. Poston,73,15.38,91,14,Y2018
