RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Vaughn Taylor,83,"7' 10""",62.583,8,-4,Y2018
2,,Pat Perez,82,"8' 11""",107,12,-3,Y2018
3,,Tiger Woods,68,"9' 1""",90.417,10,2,Y2018
4,,Jon Rahm,71,"9' 10""",235.25,24,-10,Y2018
5,,Wesley Bryan,69,"9' 11""",149.083,15,-3,Y2018
T6,,Mackenzie Hughes,80,"10' 2""",162.417,16,-6,Y2018
T6,,Dustin Johnson,77,"10' 2""",162.417,16,-8,Y2018
8,,Lucas Glover,65,"10' 5""",62.417,6,-2,Y2018
9,,Alex Noren,67,"10' 6""",41.917,4,-1,Y2018
10,,Jonathan Byrd,70,"10' 8""",116.917,11,-2,Y2018
11,,Chris Kirk,108,"10' 9""",215,20,-5,Y2018
12,,Brandt Snedeker,84,"10' 11""",153.167,14,-2,Y2018
13,,Brandon Harkins,101,"11' 0""",351.25,32,-5,Y2018
14,,Jason Day,75,"11' 1""",144.333,13,-6,Y2018
T15,,Ricky Barnes,65,"11' 3""",67.417,6,1,Y2018
T15,,Billy Hurley III,70,"11' 3""",191.667,17,-5,Y2018
T15,,Ian Poulter,73,"11' 3""",168.333,15,-7,Y2018
18,,Anirban Lahiri,82,"11' 4""",102.083,9,1,Y2018
19,,Retief Goosen,60,"11' 6""",149,13,-1,Y2018
T20,,Phil Mickelson,90,"11' 7""",150.917,13,-4,Y2018
T20,,Peter Uihlein,83,"11' 7""",255.333,22,-5,Y2018
22,,Tyrrell Hatton,58,"11' 10""",130.333,11,-3,Y2018
T23,,Jimmy Walker,81,"12' 1""",109,9,4,Y2018
T23,,Xinjun Zhang,81,"12' 1""",96.5,8,-3,Y2018
25,,Grayson Murray,72,"12' 3""",184,15,-4,Y2018
26,,Cameron Percy,56,"12' 4""",147.833,12,-2,Y2018
T27,,Nate Lashley,51,"12' 5""",99.167,8,1,Y2018
T27,,Louis Oosthuizen,62,"12' 5""",149,12,-3,Y2018
29,,J.B. Holmes,77,"12' 6""",275.25,22,-3,Y2018
T30,,Jonas Blixt,67,"12' 7""",125.667,10,-1,Y2018
T30,,Paul Casey,74,"12' 7""",163.167,13,-5,Y2018
T32,,Joel Dahmen,93,"12' 8""",227.667,18,-4,Y2018
T32,,Tommy Fleetwood,73,"12' 8""",88.417,7,-1,Y2018
T32,,James Hahn,85,"12' 8""",164.333,13,E,Y2018
T32,,Nick Taylor,94,"12' 8""",139.083,11,-2,Y2018
T36,,Andrew Putnam,97,"12' 9""",292.5,23,-7,Y2018
T36,,Jonathan Randolph,71,"12' 9""",204.333,16,-5,Y2018
38,,Dominic Bozzelli,65,"12' 10""",115.75,9,2,Y2018
T39,,Matt Every,79,"12' 11""",90.25,7,-1,Y2018
T39,,Webb Simpson,95,"12' 11""",167.583,13,-1,Y2018
41,,Stewart Cink,87,"13' 0""",273.333,21,5,Y2018
42,,Bill Haas,76,"13' 1""",91.667,7,1,Y2018
T43,,William McGirt,84,"13' 2""",131.583,10,-3,Y2018
T43,,Nick Watney,94,"13' 2""",197.5,15,-4,Y2018
T45,,Zac Blair,64,"13' 3""",172.75,13,-3,Y2018
T45,,Adam Scott,78,"13' 3""",171.833,13,-3,Y2018
T45,,Michael Thompson,62,"13' 3""",106.25,8,-4,Y2018
T48,,J.J. Henry,81,"13' 4""",186.833,14,E,Y2018
T48,,Zach Johnson,94,"13' 4""",200.417,15,1,Y2018
T48,,Conrad Shindler,60,"13' 4""",186.5,14,-1,Y2018
51,,Michael Kim,74,"13' 5""",147.667,11,-2,Y2018
T52,,Ben Martin,64,"13' 6""",107.917,8,-2,Y2018
T52,,Robert Streb,78,"13' 6""",256.167,19,4,Y2018
T54,,Greg Chalmers,56,"13' 7""",67.75,5,E,Y2018
T54,,Troy Merritt,89,"13' 7""",162.583,12,-4,Y2018
56,,Corey Conners,97,"13' 8""",178,13,-5,Y2018
T57,,Harris English,84,"13' 9""",137.25,10,-3,Y2018
T57,,Denny McCarthy,71,"13' 9""",123.917,9,1,Y2018
T59,,Matt Atkins,56,"13' 10""",165.75,12,E,Y2018
T59,,Justin Thomas,91,"13' 10""",221.833,16,-8,Y2018
T61,,Tom Hoge,101,"13' 11""",194.667,14,-3,Y2018
T61,,Billy Horschel,86,"13' 11""",291.833,21,-1,Y2018
T61,,Charles Howell III,104,"13' 11""",194.417,14,-1,Y2018
T61,,Patrick Reed,94,"13' 11""",194.667,14,-1,Y2018
T61,,Tyrone Van Aswegen,101,"13' 11""",375.917,27,-1,Y2018
T66,,Ollie Schniederjans,91,"14' 0""",335.25,24,-7,Y2018
T66,,Brian Stuard,103,"14' 0""",391,28,-2,Y2018
T68,,Ryan Palmer,69,"14' 2""",127.833,9,-2,Y2018
T68,,Steve Wheatcroft,60,"14' 2""",127.25,9,E,Y2018
T70,,Tom Lovelady,87,"14' 3""",242.5,17,-5,Y2018
T70,,Kevin Streelman,94,"14' 3""",199.083,14,-5,Y2018
72,,Johnson Wagner,75,"14' 4""",86.167,6,1,Y2018
T73,,Trey Mullinax,75,"14' 5""",317.167,22,-2,Y2018
T73,,Rob Oppenheim,74,"14' 5""",216.167,15,3,Y2018
75,,Cody Gribble,71,"14' 6""",57.917,4,E,Y2018
T76,,Russell Henley,77,"14' 7""",262.75,18,-1,Y2018
T76,,Shawn Stefani,76,"14' 7""",160.667,11,-4,Y2018
T78,,C.T. Pan,104,"14' 8""",219.75,15,E,Y2018
T78,,Kevin Tway,110,"14' 8""",498.583,34,-6,Y2018
80,,Richy Werenski,98,"14' 9""",235.667,16,2,Y2018
T81,,Andrew Landry,82,"14' 10""",222.5,15,1,Y2018
T81,,Xander Schauffele,96,"14' 10""",252.583,17,-4,Y2018
T81,,Hudson Swafford,73,"14' 10""",281.583,19,E,Y2018
84,,Jamie Lovemark,92,"15' 0""",210.5,14,-3,Y2018
85,,Byeong Hun An,86,"15' 2""",471.417,31,-4,Y2018
86,,Henrik Stenson,60,"15' 3""",213.167,14,E,Y2018
T87,,Jason Dufner,71,"15' 4""",107.583,7,E,Y2018
T87,,Branden Grace,67,"15' 4""",245.25,16,-7,Y2018
T89,,Bud Cauley,55,"15' 6""",123.667,8,4,Y2018
T89,,David Hearn,66,"15' 6""",108.667,7,E,Y2018
T89,,Brett Stegmaier,67,"15' 6""",386.5,25,-5,Y2018
T89,,Cameron Tringale,67,"15' 6""",154.917,10,2,Y2018
93,,Brooks Koepka,64,"15' 7""",233.5,15,-5,Y2018
T94,,Lanto Griffin,80,"15' 8""",218.917,14,-1,Y2018
T94,,Charl Schwartzel,65,"15' 8""",156.5,10,-1,Y2018
96,,Blayne Barber,69,"15' 9""",141.917,9,-2,Y2018
T97,,Danny Lee,88,"15' 10""",396.167,25,3,Y2018
T97,,Gary Woodland,96,"15' 10""",126.833,8,E,Y2018
T99,,Hideki Matsuyama,75,"15' 11""",206.667,13,-1,Y2018
T99,,Sam Ryder,82,"15' 11""",318.917,20,-1,Y2018
T101,,Kevin Kisner,89,"16' 0""",287.917,18,-4,Y2018
T101,,Jason Kokrak,99,"16' 0""",224.083,14,1,Y2018
T101,,Peter Malnati,87,"16' 0""",320.083,20,-3,Y2018
T101,,Cameron Smith,85,"16' 0""",175.583,11,-3,Y2018
105,,Daniel Berger,81,"16' 1""",289.083,18,-1,Y2018
106,,Scott Brown,102,"16' 2""",274.75,17,-4,Y2018
T107,,Matt Jones,70,"16' 3""",113.833,7,1,Y2018
T107,,Rod Pampling,62,"16' 3""",129.917,8,-1,Y2018
T107,,Scott Piercy,84,"16' 3""",291.75,18,1,Y2018
T107,,J.T. Poston,73,"16' 3""",179.167,11,E,Y2018
T111,,Aaron Baddeley,84,"16' 4""",359.167,22,1,Y2018
T111,,Kyle Stanley,93,"16' 4""",228.25,14,-5,Y2018
T113,,Abraham Ancer,98,"16' 5""",213.25,13,-1,Y2018
T113,,Ryan Armour,109,"16' 5""",263.25,16,-3,Y2018
T115,,Keith Mitchell,99,"16' 7""",431.167,26,1,Y2018
T115,,Ben Silverman,90,"16' 7""",216.083,13,3,Y2018
T115,,Bubba Watson,90,"16' 7""",498,30,-5,Y2018
118,,Brice Garnett,99,"16' 8""",166.417,10,-1,Y2018
T119,,John Huh,94,"16' 9""",402.25,24,-5,Y2018
T119,,Kevin Na,91,"16' 9""",402,24,-3,Y2018
