RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
T80,T80,Ryo Ishikawa,75,291,"41,328",142,Y2014
T80,T80,Chris Kirk,105,291,"58,203",200,Y2014
T82,T82,Ricky Barnes,92,290.7,"51,170",176,Y2014
T82,T82,J.J. Henry,91,290.7,"50,590",174,Y2014
T84,T84,Chesson Hadley,84,290.6,"48,814",168,Y2014
T84,T84,Will MacKenzie,82,290.6,"47,666",164,Y2014
86,86,John Rollins,84,290.1,"44,101",152,Y2014
87,87,Tyrone Van Aswegen,79,290,"45,234",156,Y2014
88,88,David Lingmerth,80,289.8,"41,729",144,Y2014
T89,T89,Vijay Singh,83,289.7,"48,093",166,Y2014
T89,T89,Jordan Spieth,102,289.7,"54,470",188,Y2014
91,91,James Hahn,82,289.6,"46,337",160,Y2014
92,92,Brice Garnett,92,289.3,"50,915",176,Y2014
93,93,Michael Thompson,74,289.2,"38,172",132,Y2014
94,94,Brian Harman,111,289,"64,149",222,Y2014
95,95,John Senden,99,288.9,"57,207",198,Y2014
96,96,Retief Goosen,94,288.8,"49,665",172,Y2014
97,97,Kevin Streelman,79,288.6,"40,121",139,Y2014
T98,T98,Sangmoon Bae,76,288.5,"41,549",144,Y2014
T98,T98,Webb Simpson,87,288.5,"48,462",168,Y2014
100,100,Boo Weekley,73,288.3,"36,614",127,Y2014
101,101,Jim Renner,61,288.2,"34,013",118,Y2014
T102,T102,Jonathan Byrd,76,288.1,"41,481",144,Y2014
T102,T102,Gonzalo Fernandez-Castaño,83,288.1,"44,938",156,Y2014
T102,T102,John Peterson,62,288.1,"34,574",120,Y2014
T102,T102,Ian Poulter,57,288.1,"29,963",104,Y2014
106,106,Brendon de Jonge,109,287.9,"59,893",208,Y2014
T107,T107,Chad Campbell,57,287.8,"30,510",106,Y2014
T107,T107,Kevin Kisner,85,287.8,"48,933",170,Y2014
109,109,Luke Guthrie,85,287.6,"48,889",170,Y2014
110,110,Jeff Overton,80,287.5,"41,396",144,Y2014
111,111,Andrew Svoboda,77,287.4,"44,261",154,Y2014
112,112,Scott Brown,100,287.2,"55,140",192,Y2014
113,113,Johnson Wagner,69,287.1,"37,322",130,Y2014
114,114,Nicholas Thompson,85,287,"44,203",154,Y2014
115,115,Pat Perez,84,286.4,"48,114",168,Y2014
116,116,Matt Every,85,286.3,"46,373",162,Y2014
T117,T117,Jonas Blixt,64,286.1,"30,899",108,Y2014
T117,T117,George McNeill,79,286.1,"45,200",158,Y2014
119,119,Chris Stroud,88,285.8,"48,020",168,Y2014
120,120,Russell Knox,92,285.7,"52,566",184,Y2014
121,121,Brandt Snedeker,89,285.6,"47,126",165,Y2014
T122,T122,Jason Dufner,57,285.3,"28,526",100,Y2014
T122,T122,John Merrick,87,285.3,"42,797",150,Y2014
124,124,Troy Merritt,62,285.2,"35,359",124,Y2014
T125,T125,Justin Hicks,103,285.1,"56,456",198,Y2014
T125,T125,Richard Lee,80,285.1,"42,188",148,Y2014
T127,T127,Robert Allenby,83,284.9,"46,157",162,Y2014
T127,T127,Bronson La'Cassie,51,284.9,"26,779",94,Y2014
129,129,Ryan Moore,86,284.7,"43,280",152,Y2014
130,130,Freddie Jacobson,91,284.6,"51,797",182,Y2014
131,131,D.A. Points,75,284.5,"36,982",130,Y2014
T132,T132,James Driscoll,71,284.2,"40,353",142,Y2014
T132,T132,Danny Lee,84,284.2,"45,471",160,Y2014
T134,T134,Roberto Castro,76,283.9,"39,746",140,Y2014
T134,T134,John Huh,87,283.9,"44,849",158,Y2014
136,136,Matt Kuchar,91,283.8,"49,943",176,Y2014
137,137,Brian Stuard,91,283.4,"49,310",174,Y2014
138,138,Erik Compton,88,283.3,"49,864",176,Y2014
139,139,Cameron Tringale,111,282.9,"60,534",214,Y2014
140,140,Tim Wilkinson,86,282.4,"46,321",164,Y2014
T141,T141,Zach Johnson,97,282.2,"54,182",192,Y2014
T141,T141,Daniel Summerhays,98,282.2,"53,054",188,Y2014
143,143,Y.E. Yang,79,281.9,"43,973",156,Y2014
144,144,Briny Baird,50,281.6,"28,159",100,Y2014
145,145,Scott Langley,95,281.3,"52,320",186,Y2014
146,146,Charlie Wi,72,281,"39,335",140,Y2014
147,147,Greg Chalmers,85,280.7,"45,469",162,Y2014
T148,T148,Kevin Na,94,280.3,"52,700",188,Y2014
T148,T148,Brendon Todd,108,280.3,"60,260",215,Y2014
150,150,Spencer Levin,59,280.1,"33,051",118,Y2014
151,151,Jason Bohn,81,280,"45,363",162,Y2014
152,152,K.J. Choi,80,279.8,"42,535",152,Y2014
153,153,Mark Wilson,69,279.6,"36,346",130,Y2014
154,154,Ben Curtis,77,279.5,"40,811",146,Y2014
155,155,Jim Furyk,84,279.3,"44,681",160,Y2014
156,156,David Hearn,97,279.1,"51,918",186,Y2014
157,157,Ben Crane,81,279,"45,204",162,Y2014
158,158,Bryce Molder,77,278.7,"38,458",138,Y2014
159,159,Stuart Appleby,92,278.6,"50,148",180,Y2014
T160,T160,Woody Austin,63,278.5,"32,861",118,Y2014
T160,T160,William McGirt,96,278.5,"53,472",192,Y2014
162,162,"Ted Potter, Jr.",68,278.4,"37,864",136,Y2014
163,163,Brian Davis,93,278.2,"49,511",178,Y2014
164,164,Luke Donald,57,278.1,"28,926",104,Y2014
165,165,Graeme McDowell,66,278,"32,253",116,Y2014
166,166,Heath Slocum,71,277.8,"38,340",138,Y2014
167,167,Jerry Kelly,80,277.5,"42,183",152,Y2014
168,168,Billy Hurley III,86,276.7,"47,597",172,Y2014
169,169,Jeff Maggert,54,276.6,"29,877",108,Y2014
170,170,D.H. Lee,54,276.2,"27,616",100,Y2014
171,171,Ken Duke,80,275.5,"40,775",148,Y2014
172,172,Chad Collins,78,275.4,"40,764",148,Y2014
173,173,David Toms,64,275.1,"34,110",124,Y2014
174,174,Tim Clark,75,272.2,"38,655",142,Y2014
175,175,Brian Gay,81,271.6,"38,570",142,Y2014
176,176,Mike Weir,69,271.2,"35,252",130,Y2014
177,177,Justin Leonard,75,270.3,"40,539",150,Y2014
