RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
4,4,Adam Scott,51,311.6,"27,425",88,Y2015
5,5,J.B. Holmes,89,309.9,"47,731",154,Y2015
6,6,Charlie Beljan,76,309.8,"41,516",134,Y2015
7,7,Tony Finau,106,309,"64,897",210,Y2015
8,8,Brooks Koepka,84,308.2,"49,312",160,Y2015
9,9,Patrick Rodgers,57,307.7,"31,997",104,Y2015
10,10,Keegan Bradley,87,306.1,"48,362",158,Y2015
11,11,Jason Kokrak,88,305.6,"53,789",176,Y2015
12,12,Gary Woodland,81,305.5,"39,709",130,Y2015
13,13,Ryan Palmer,80,305.2,"43,955",144,Y2015
14,14,Justin Rose,69,303.5,"37,636",124,Y2015
15,15,Justin Thomas,106,303.2,"63,667",210,Y2015
16,16,Brendan Steele,88,302.9,"50,277",166,Y2015
17,17,Charles Howell III,105,302.7,"62,968",208,Y2015
T18,T18,Daniel Berger,97,302.1,"58,001",192,Y2015
T18,T18,Steven Bowditch,103,302.1,"59,213",196,Y2015
20,20,Robert Garrigus,70,301.7,"39,218",130,Y2015
21,21,Jimmy Walker,89,301.6,"48,854",162,Y2015
T22,T22,Martin Laird,77,300.5,"45,672",152,Y2015
T22,T22,Phil Mickelson,70,300.5,"42,068",140,Y2015
24,24,Charl Schwartzel,67,300.4,"32,438",108,Y2015
T25,T25,Sergio Garcia,59,300,"28,802",96,Y2015
T25,T25,Lee Westwood,56,300,"26,404",88,Y2015
27,27,Jhonattan Vegas,90,299.9,"48,585",162,Y2015
28,28,Ángel Cabrera,53,299.7,"31,763",106,Y2015
T29,T29,Charley Hoffman,97,298.9,"55,596",186,Y2015
T29,T29,Hudson Swafford,97,298.9,"56,192",188,Y2015
31,31,Louis Oosthuizen,68,298.8,"35,261",118,Y2015
32,32,Graham DeLaet,65,298.7,"38,236",128,Y2015
T33,T33,Harris English,105,298.4,"60,286",202,Y2015
T33,T33,Carlos Ortiz,100,298.4,"54,309",182,Y2015
35,35,Paul Casey,87,297.8,"46,450",156,Y2015
T36,T36,Russell Henley,87,297.1,"46,941",158,Y2015
T36,T36,Robert Streb,110,297.1,"65,357",220,Y2015
38,38,Lucas Glover,79,296.9,"46,911",158,Y2015
T39,T39,Martin Flores,95,296.8,"53,430",180,Y2015
T39,T39,Rickie Fowler,76,296.8,"40,367",136,Y2015
41,41,Scott Piercy,90,296.7,"53,410",180,Y2015
42,42,Willy Wilcox,58,296.6,"29,064",98,Y2015
43,43,Henrik Stenson,63,296.4,"33,202",112,Y2015
44,44,Shawn Stefani,94,296.3,"55,704",188,Y2015
45,45,Morgan Hoffmann,85,296.1,"47,382",160,Y2015
46,46,Matt Jones,89,296,"45,585",154,Y2015
T47,T47,Sean O'Hair,86,295.3,"50,792",172,Y2015
T47,T47,Andres Romero,69,295.3,"38,683",131,Y2015
49,49,Alex Prugh,84,295.2,"46,642",158,Y2015
T50,T50,Derek Ernst,75,295.1,"41,308",140,Y2015
T50,T50,James Hahn,94,295.1,"52,523",178,Y2015
T50,T50,Hunter Mahan,88,295.1,"46,626",158,Y2015
53,53,Billy Horschel,99,295,"51,924",176,Y2015
54,54,Jamie Donaldson,50,294.9,"25,363",86,Y2015
55,55,Marc Leishman,74,294.8,"35,962",122,Y2015
56,56,Davis Love III,51,294.7,"27,703",94,Y2015
T57,T57,Andres Gonzales,90,294.5,"50,069",170,Y2015
T57,T57,Hideki Matsuyama,95,294.5,"48,885",166,Y2015
59,59,Max Homa,78,294.2,"42,957",146,Y2015
60,60,Aaron Baddeley,76,294.1,"42,941",146,Y2015
61,61,Nick Watney,91,294,"52,919",180,Y2015
T62,T62,Jim Herman,88,293.8,"51,121",174,Y2015
T62,T62,Greg Owen,58,293.8,"33,492",114,Y2015
64,64,Geoff Ogilvy,50,293.7,"27,608",94,Y2015
T65,T65,Stewart Cink,77,293.6,"42,869",146,Y2015
T65,T65,Roger Sloan,56,293.6,"29,946",102,Y2015
67,67,Kevin Chappell,86,293.5,"48,133",164,Y2015
68,68,Sam Saunders,83,293.2,"47,492",162,Y2015
69,69,Patrick Reed,103,292.9,"53,893",184,Y2015
70,70,Seung-Yul Noh,65,292.7,"35,705",122,Y2015
71,71,Retief Goosen,81,292.6,"42,725",146,Y2015
T72,T72,J.J. Henry,94,292.3,"52,035",178,Y2015
T72,T72,Nick Taylor,91,292.3,"53,198",182,Y2015
T74,T74,Tom Hoge,83,292.2,"45,576",156,Y2015
T74,T74,Camilo Villegas,83,292.2,"48,512",166,Y2015
76,76,Boo Weekley,79,292,"43,223",148,Y2015
77,77,Byron Smith,59,291.9,"31,521",108,Y2015
T78,T78,Jordan Spieth,91,291.8,"48,431",166,Y2015
T78,T78,Scott Stallings,60,291.8,"30,351",104,Y2015
80,80,Ernie Els,57,291.7,"30,925",106,Y2015
81,81,Carl Pettersson,106,291.6,"61,245",210,Y2015
T82,T82,Bill Haas,89,290.7,"47,675",164,Y2015
T82,T82,Chesson Hadley,101,290.7,"56,398",194,Y2015
T82,T82,Johnson Wagner,68,290.7,"38,958",134,Y2015
85,85,Vijay Singh,78,290.6,"44,760",154,Y2015
86,86,Padraig Harrington,60,290.5,"34,857",120,Y2015
87,87,Jason Gore,76,290.4,"41,522",143,Y2015
88,88,Scott Pinckney,88,290.3,"50,510",174,Y2015
89,89,John Senden,80,290.2,"38,303",132,Y2015
T90,T90,Cameron Percy,72,290,"40,016",138,Y2015
T90,T90,Rory Sabbatini,81,290,"44,074",152,Y2015
92,92,Sangmoon Bae,98,289.8,"53,911",186,Y2015
T93,T93,Oscar Fraustro,58,289.5,"30,691",106,Y2015
T93,T93,David Lingmerth,90,289.5,"49,223",170,Y2015
T93,T93,Kevin Streelman,95,289.5,"48,052",166,Y2015
T93,T93,Bo Van Pelt,81,289.5,"45,159",156,Y2015
97,97,Webb Simpson,81,289.4,"45,146",156,Y2015
T98,T98,Gonzalo Fernandez-Castaño,81,289.3,"43,974",152,Y2015
T98,T98,Michael Thompson,83,289.3,"46,280",160,Y2015
100,100,Ryo Ishikawa,90,289.2,"48,578",168,Y2015
T101,T101,Derek Fathauer,81,288.8,"43,903",152,Y2015
T101,T101,Michael Putnam,87,288.8,"46,210",160,Y2015
103,103,Blayne Barber,76,288.6,"42,718",148,Y2015
104,104,Matt Kuchar,97,288.5,"53,658",186,Y2015
T105,T105,Erik Compton,86,288.4,"49,020",170,Y2015
