RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Lucas Glover,65,"20' 7""",411.75,20,-2,Y2018
2,,Shane Lowry,64,"21' 8""",390,18,-1,Y2018
3,,Justin Thomas,91,"22' 4""",647.75,29,-1,Y2018
4,,Henrik Stenson,60,"22' 7""",113.08,5,E,Y2018
5,,Cameron Percy,56,"22' 10""",526.08,23,-6,Y2018
6,,Mackenzie Hughes,80,"23' 2""",509.83,22,-5,Y2018
7,,Peter Malnati,87,"23' 3""",1001.08,43,-6,Y2018
8,,Andrew Putnam,97,"24' 0""",696.33,29,-4,Y2018
9,,Cameron Tringale,67,"24' 1""",650.92,27,-2,Y2018
10,,Ethan Tracy,72,"24' 4""",560.17,23,E,Y2018
11,,Bill Haas,76,"24' 7""",712.58,29,E,Y2018
12,,Rob Oppenheim,74,"24' 11""",573.92,23,-1,Y2018
13,,Kevin Kisner,89,"25' 3""",556,22,E,Y2018
14,,Johnson Wagner,75,"25' 4""",608.08,24,-3,Y2018
15,,Whee Kim,93,"25' 5""",584.17,23,5,Y2018
16,,Russell Knox,94,"25' 6""",662.25,26,1,Y2018
17,,J.J. Henry,81,"25' 7""",485.67,19,E,Y2018
18,,Kyle Thompson,50,"25' 8""",359.5,14,-1,Y2018
T19,,Martin Laird,73,"25' 9""",515,20,E,Y2018
T19,,Danny Lee,88,"25' 9""",360.17,14,5,Y2018
21,,Brandt Snedeker,84,"25' 11""",932.08,36,-6,Y2018
22,,Rory Sabbatini,91,"26' 0""",780.58,30,-3,Y2018
T23,,Michael Kim,74,"26' 4""",552.17,21,-3,Y2018
T23,,Ian Poulter,73,"26' 4""",395.33,15,1,Y2018
T25,,Zac Blair,64,"26' 5""",528,20,-1,Y2018
T25,,Alex Cejka,77,"26' 5""",608.5,23,2,Y2018
27,,Xinjun Zhang,81,"26' 6""",424.42,16,1,Y2018
28,,Joel Dahmen,93,"26' 8""",960.83,36,-4,Y2018
T29,,Harris English,84,"26' 10""",563.58,21,-1,Y2018
T29,,Zach Johnson,94,"26' 10""",591,22,E,Y2018
31,,Blayne Barber,69,"26' 11""",752.92,28,E,Y2018
T32,,Kevin Na,91,"27' 0""",674.083,25,E,Y2018
T32,,J.J. Spaun,85,"27' 0""",728.5,27,3,Y2018
