RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Louis Oosthuizen,62,"40' 11""",1390.83,34,-13,Y2018
2,,Matt Every,79,"41' 7""",1371.75,33,-8,Y2018
3,,Bryson DeChambeau,93,"42' 5""",2884.58,68,-22,Y2018
4,,Francesco Molinari,73,"43' 2""",2502.33,58,-9,Y2018
5,,Justin Thomas,91,"43' 6""",2479.08,57,-15,Y2018
6,,Lanto Griffin,80,"43' 9""",1839.08,42,-12,Y2018
7,,Byeong Hun An,86,"43' 10""",2499.33,57,-20,Y2018
8,,Jonathan Byrd,70,"44' 1""",1411,32,-12,Y2018
9,,Webb Simpson,95,"44' 4""",2924.5,66,-16,Y2018
10,,Troy Merritt,89,"44' 6""",2135.92,48,-10,Y2018
11,,Xinjun Zhang,81,"44' 7""",2319.67,52,-19,Y2018
12,,Brice Garnett,99,"45' 0""",3103.42,69,-23,Y2018
T13,,Rickie Fowler,74,"45' 1""",2524.5,56,-12,Y2018
T13,,Sam Ryder,82,"45' 1""",1895.17,42,-15,Y2018
T15,,Abraham Ancer,98,"45' 2""",3071.83,68,-19,Y2018
T15,,David Hearn,66,"45' 2""",1716.92,38,-16,Y2018
17,,Zach Johnson,94,"45' 3""",2309.75,51,-12,Y2018
18,,Paul Casey,74,"45' 4""",2131.5,47,-10,Y2018
19,,Kyle Stanley,93,"45' 9""",2651.33,58,-17,Y2018
T20,,Patrick Cantlay,87,"45' 11""",2662.08,58,-14,Y2018
T20,,Anirban Lahiri,82,"45' 11""",2295.25,50,-10,Y2018
22,,Sam Saunders,80,"46' 2""",2399.5,52,-22,Y2018
23,,Shawn Stefani,76,"46' 3""",2082.75,45,-8,Y2018
24,,J.J. Spaun,85,"46' 5""",2969.5,64,-17,Y2018
25,,Vaughn Taylor,83,"46' 6""",2417.92,52,-5,Y2018
26,,Tom Hoge,101,"46' 7""",3076.08,66,-20,Y2018
27,,Sean O'Hair,67,"46' 8""",2192.17,47,-10,Y2018
28,,Hideki Matsuyama,75,"46' 9""",2479.67,53,-15,Y2018
29,,Ryan Moore,78,"46' 11""",2769.33,59,-10,Y2018
30,,Gary Woodland,96,"47' 0""",3146.83,67,-16,Y2018
31,,Jordan Spieth,81,"47' 2""",2734.75,58,-18,Y2018
T32,,Matt Atkins,56,"47' 3""",1133.17,24,-7,Y2018
T32,,Adam Hadwin,92,"47' 3""",3025.42,64,-7,Y2018
34,,Keegan Bradley,98,"47' 4""",3220.83,68,-15,Y2018
35,,Patrick Rodgers,97,"47' 5""",2938.58,62,-20,Y2018
T36,,Jason Kokrak,99,"47' 6""",3325.58,70,-14,Y2018
T36,,Nate Lashley,51,"47' 6""",854.583,18,-9,Y2018
T36,,Kevin Na,91,"47' 6""",2708.92,57,-11,Y2018
T36,,Ben Silverman,90,"47' 6""",2755.08,58,-19,Y2018
40,,Tiger Woods,68,"47' 7""",3332.5,70,-16,Y2018
41,,Chris Kirk,108,"47' 9""",3010.17,63,-25,Y2018
42,,Rafa Cabrera Bello,75,"48' 0""",2256,47,-10,Y2018
43,,Tony Finau,105,"48' 2""",3277.58,68,-16,Y2018
T44,,Grayson Murray,72,"48' 3""",2606.17,54,-14,Y2018
