RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Adam Hadwin,92,"13' 6""",121.833,9,E,Y2018
2,,J.J. Spaun,85,"15' 10""",189.917,12,E,Y2018
3,,Cameron Smith,85,"16' 2""",145.25,9,1,Y2018
4,,Jamie Lovemark,92,"16' 3""",260.583,16,-7,Y2018
5,,Tiger Woods,68,"16' 8""",66.5,4,1,Y2018
T6,,Charl Schwartzel,65,"17' 2""",154.833,9,2,Y2018
T6,,Hudson Swafford,73,"17' 2""",137.25,8,-3,Y2018
T6,,Johnson Wagner,75,"17' 2""",86,5,1,Y2018
9,,Byeong Hun An,86,"17' 9""",213.417,12,2,Y2018
10,,Ryan Moore,78,"18' 2""",72.75,4,3,Y2018
11,,Chesson Hadley,103,"18' 10""",377.083,20,-1,Y2018
12,,Abraham Ancer,98,"19' 2""",384,20,-6,Y2018
13,,Seamus Power,86,"19' 8""",255.83,13,-4,Y2018
14,,Daniel Summerhays,51,"20' 0""",99.833,5,E,Y2018
15,,Corey Conners,97,"20' 1""",240.917,12,-1,Y2018
T16,,Roberto Díaz,72,"20' 4""",407,20,-3,Y2018
T16,,Brandt Snedeker,84,"20' 4""",284.417,14,-3,Y2018
T18,,Chris Kirk,108,"20' 6""",389,19,-2,Y2018
T18,,Patrick Reed,94,"20' 6""",388.75,19,E,Y2018
T18,,Ethan Tracy,72,"20' 6""",368.667,18,3,Y2018
T18,,Gary Woodland,96,"20' 6""",328.5,16,E,Y2018
22,,Bill Haas,76,"20' 7""",329.917,16,2,Y2018
T23,,Charley Hoffman,87,"20' 9""",83.083,4,1,Y2018
T23,,Whee Kim,93,"20' 9""",228.583,11,2,Y2018
T23,,Hunter Mahan,67,"20' 9""",311.75,15,-7,Y2018
T26,,Fabián Gómez,88,"20' 11""",335.167,16,4,Y2018
T26,,Kyle Stanley,93,"20' 11""",167.583,8,1,Y2018
28,,Rod Pampling,62,"21' 1""",190.083,9,E,Y2018
T29,,Talor Gooch,78,"21' 2""",316.917,15,3,Y2018
T29,,Brett Stegmaier,67,"21' 2""",211.917,10,4,Y2018
T31,,Dominic Bozzelli,65,"21' 3""",212.08,10,E,Y2018
T31,,Zach Johnson,94,"21' 3""",467.583,22,E,Y2018
33,,Ian Poulter,73,"21' 5""",299.417,14,-2,Y2018
T34,,Keegan Bradley,98,"21' 7""",237.5,11,-1,Y2018
T34,,Hideki Matsuyama,75,"21' 7""",237.167,11,-3,Y2018
36,,Nick Watney,94,"21' 8""",282,13,-2,Y2018
37,,Rob Oppenheim,74,"21' 9""",261,12,5,Y2018
38,,Martin Laird,73,"21' 11""",219.17,10,2,Y2018
39,,Sam Saunders,80,"22' 1""",353.917,16,-4,Y2018
40,,Daniel Berger,81,"22' 2""",243.917,11,-1,Y2018
41,,Vaughn Taylor,83,"22' 4""",245.333,11,-3,Y2018
T42,,Peter Malnati,87,"22' 5""",291.583,13,1,Y2018
T42,,Kyle Thompson,50,"22' 5""",134.67,6,-1,Y2018
44,,Andrew Yun,51,"22' 6""",157.25,7,1,Y2018
45,,Robert Streb,78,"22' 7""",203.25,9,-2,Y2018
46,,Charles Howell III,104,"22' 8""",499.17,22,1,Y2018
T47,,Wesley Bryan,69,"22' 10""",205.58,9,5,Y2018
T47,,Jonathan Byrd,70,"22' 10""",273.917,12,4,Y2018
T47,,Derek Fathauer,84,"22' 10""",319.25,14,E,Y2018
T47,,Conrad Shindler,60,"22' 10""",273.5,12,-2,Y2018
51,,Nate Lashley,51,"22' 11""",435.58,19,-1,Y2018
T52,,Francesco Molinari,73,"23' 0""",298.75,13,-1,Y2018
T52,,Brian Stuard,103,"23' 0""",413.333,18,-3,Y2018
54,,David Hearn,66,"23' 2""",138.75,6,-1,Y2018
55,,Lanto Griffin,80,"23' 6""",398.92,17,-3,Y2018
56,,Jimmy Walker,81,"23' 7""",329.667,14,2,Y2018
T57,,Matt Atkins,56,"23' 8""",355.333,15,1,Y2018
T57,,Tyler Duncan,97,"23' 8""",237,10,1,Y2018
T59,,Dustin Johnson,77,"23' 9""",475.42,20,E,Y2018
T59,,Anirban Lahiri,82,"23' 9""",379.917,16,5,Y2018
T59,,Peter Uihlein,83,"23' 9""",450.75,19,1,Y2018
