RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Kevin Chappell,77,"40' 9""",407.08,10,2,Y2018
2,,Dustin Johnson,77,"43' 10""",657.17,15,-2,Y2018
3,,C.T. Pan,104,"44' 9""",715.33,16,4,Y2018
4,,J.B. Holmes,77,"45' 5""",590.5,13,E,Y2018
5,,Brandon Harkins,101,"49' 1""",1128.42,23,E,Y2018
6,,Scott Piercy,84,"49' 8""",1093.42,22,-1,Y2018
7,,"Ted Potter, Jr.",87,"49' 10""",1196.08,24,6,Y2018
8,,Ricky Barnes,65,"49' 11""",1247.25,25,-7,Y2018
9,,Adam Scott,78,"50' 6""",807.92,16,5,Y2018
10,,Xander Schauffele,96,"51' 4""",821,16,5,Y2018
11,,Lanto Griffin,80,"51' 6""",1132.58,22,-4,Y2018
12,,Ian Poulter,73,"51' 8""",1033.25,20,5,Y2018
T13,,Matt Atkins,56,"51' 10""",673.75,13,-3,Y2018
T13,,Tom Hoge,101,"51' 10""",1450.58,28,2,Y2018
15,,D.A. Points,63,"52' 3""",887.75,17,-2,Y2018
16,,Pat Perez,82,"52' 4""",836.92,16,2,Y2018
17,,Jordan Spieth,81,"53' 1""",1115.25,21,-6,Y2018
18,,Brett Stegmaier,67,"53' 3""",532.83,10,-2,Y2018
19,,Austin Cook,107,"53' 4""",1120.08,21,5,Y2018
20,,Bryson DeChambeau,93,"53' 6""",1283.83,24,-4,Y2018
21,,Shawn Stefani,76,"53' 7""",1178.42,22,2,Y2018
22,,Andrew Yun,51,"53' 9""",645.25,12,5,Y2018
23,,Kevin Tway,110,"54' 8""",1639.42,30,-2,Y2018
24,,Wesley Bryan,69,"55' 1""",1321.75,24,7,Y2018
T25,,Retief Goosen,60,"55' 4""",663.75,12,-1,Y2018
T25,,Denny McCarthy,71,"55' 4""",663.75,12,1,Y2018
27,,Jimmy Walker,81,"55' 7""",1500,27,4,Y2018
28,,Charles Howell III,104,"55' 9""",947.17,17,2,Y2018
T29,,Ryan Armour,109,"55' 11""",1117.58,20,1,Y2018
T29,,Trey Mullinax,75,"55' 11""",782.67,14,-1,Y2018
31,,Roberto Díaz,72,"56' 0""",784.17,14,3,Y2018
T32,,Adam Hadwin,92,"56' 2""",898.33,16,1,Y2018
T32,,Brian Harman,94,"56' 2""",673.75,12,E,Y2018
34,,Justin Rose,70,"56' 3""",562.5,10,2,Y2018
35,,Jonas Blixt,67,"57' 1""",913.75,16,2,Y2018
36,,Blayne Barber,69,"57' 3""",1087.58,19,3,Y2018
37,,Derek Fathauer,84,"57' 5""",1666.17,29,7,Y2018
38,,Billy Horschel,86,"57' 9""",981.08,17,3,Y2018
T39,,Michael Kim,74,"58' 1""",1220,21,6,Y2018
T39,,Ethan Tracy,72,"58' 1""",986.75,17,5,Y2018
41,,Russell Henley,77,"58' 4""",933,16,5,Y2018
T42,,Bronson Burgoon,69,"58' 5""",992.42,17,7,Y2018
T42,,Hudson Swafford,73,"58' 5""",643,11,-5,Y2018
44,,Stephan Jaeger,81,"58' 7""",1347.25,23,-1,Y2018
45,,Chris Stroud,81,"58' 9""",1175.42,20,2,Y2018
46,,Hideki Matsuyama,75,"58' 10""",883.08,15,3,Y2018
T47,,Tyrrell Hatton,58,"58' 11""",1001.08,17,5,Y2018
T47,,Troy Merritt,89,"58' 11""",1473.25,25,-1,Y2018
49,,Daniel Berger,81,"59' 0""",1062.17,18,-2,Y2018
50,,Luke List,98,"59' 1""",1358.25,23,E,Y2018
T51,,Brandt Snedeker,84,"59' 2""",1124.5,19,1,Y2018
T51,,Kevin Streelman,94,"59' 2""",591.83,10,-1,Y2018
53,,Keegan Bradley,98,"59' 5""",1070.08,18,5,Y2018
54,,Bubba Watson,90,"59' 7""",1013,17,-1,Y2018
55,,Ryan Palmer,69,"59' 9""",1075.92,18,-3,Y2018
56,,Aaron Baddeley,84,"59' 10""",1556.58,26,-1,Y2018
57,,Justin Thomas,91,"59' 11""",1257.83,21,-8,Y2018
58,,Rod Pampling,62,"60' 1""",720.92,12,2,Y2018
59,,Michael Thompson,62,"60' 3""",843.25,14,-2,Y2018
60,,Rickie Fowler,74,"60' 7""",1030.08,17,5,Y2018
61,,Aaron Wise,90,"60' 10""",973.83,16,5,Y2018
T62,,Tony Finau,105,"60' 11""",1644.33,27,6,Y2018
T62,,James Hahn,85,"60' 11""",1339.42,22,-1,Y2018
64,,Harold Varner III,91,"61' 1""",1588.08,26,-2,Y2018
65,,Adam Schenk,86,"61' 2""",1529.42,25,E,Y2018
66,,Jason Dufner,71,"61' 3""",551.5,9,E,Y2018
67,,Hunter Mahan,67,"61' 7""",615.75,10,7,Y2018
68,,Nicholas Lindheim,77,"61' 9""",987.67,16,1,Y2018
69,,Francesco Molinari,73,"61' 10""",494.83,8,-1,Y2018
70,,Tyrone Van Aswegen,101,"61' 11""",1733.5,28,3,Y2018
71,,Phil Mickelson,90,"62' 1""",1242,20,2,Y2018
72,,Peter Uihlein,83,"62' 2""",1056.5,17,1,Y2018
73,,Russell Knox,94,"62' 3""",1058.58,17,2,Y2018
T74,,Scott Brown,102,"62' 5""",1560.58,25,6,Y2018
T74,,Bill Haas,76,"62' 5""",1186.5,19,2,Y2018
76,,Rob Oppenheim,74,"62' 6""",1311.67,21,7,Y2018
77,,Kelly Kraft,94,"62' 7""",1689.83,27,12,Y2018
78,,William McGirt,84,"62' 8""",1441.08,23,-1,Y2018
79,,Sung Kang,89,"62' 9""",940.92,15,E,Y2018
80,,Jason Day,75,"62' 11""",566.25,9,2,Y2018
T81,,Zecheng Dou,53,"63' 0""",881.92,14,1,Y2018
T81,,Brice Garnett,99,"63' 0""",1133.5,18,3,Y2018
T83,,Zac Blair,64,"63' 1""",1136,18,8,Y2018
T83,,Chez Reavie,93,"63' 1""",694.25,11,7,Y2018
85,,Cameron Smith,85,"63' 3""",1202,19,-2,Y2018
T86,,Lucas Glover,65,"63' 6""",571.25,9,-1,Y2018
T86,,David Lingmerth,82,"63' 6""",1079,17,4,Y2018
88,,Johnson Wagner,75,"63' 10""",1021.58,16,2,Y2018
89,,Patton Kizzire,92,"64' 1""",1474.08,23,4,Y2018
T90,,Dominic Bozzelli,65,"64' 2""",833.83,13,E,Y2018
T90,,Paul Casey,74,"64' 2""",770.42,12,3,Y2018
T90,,Chesson Hadley,103,"64' 2""",1476.75,23,2,Y2018
T90,,Jason Kokrak,99,"64' 2""",1539.25,24,-4,Y2018
T90,,Tom Lovelady,87,"64' 2""",1282.92,20,1,Y2018
T95,,Danny Lee,88,"64' 3""",1285.17,20,2,Y2018
T95,,Kevin Na,91,"64' 3""",1414.08,22,8,Y2018
97,,Martin Flores,92,"64' 4""",1480.33,23,-1,Y2018
98,,Andrew Putnam,97,"64' 5""",2060.08,32,7,Y2018
T99,,Ben Martin,64,"64' 6""",1418.67,22,6,Y2018
T99,,Robert Streb,78,"64' 6""",1742.33,27,7,Y2018
T99,,Nick Watney,94,"64' 6""",1160.33,18,-1,Y2018
T102,,Seamus Power,86,"64' 7""",1549.83,24,2,Y2018
T102,,Gary Woodland,96,"64' 7""",969.25,15,5,Y2018
104,,Martin Piller,79,"64' 8""",1487.25,23,5,Y2018
T105,,Sean O'Hair,67,"64' 9""",1294.42,20,4,Y2018
T105,,Jon Rahm,71,"64' 9""",712.42,11,-1,Y2018
107,,Ryan Blaum,81,"64' 10""",1167.08,18,2,Y2018
T108,,Si Woo Kim,108,"65' 0""",1494.5,23,4,Y2018
T108,,Chris Kirk,108,"65' 0""",2080,32,1,Y2018
T108,,Brooks Koepka,64,"65' 0""",1170.5,18,-2,Y2018
T108,,Graeme McDowell,67,"65' 0""",1104.67,17,1,Y2018
T112,,Harris English,84,"65' 3""",1501.5,23,2,Y2018
T112,,Tommy Fleetwood,73,"65' 3""",652.75,10,3,Y2018
114,,Matt Jones,70,"65' 6""",1244,19,8,Y2018
T115,,Robert Garrigus,80,"65' 7""",1312.42,20,E,Y2018
T115,,Vaughn Taylor,83,"65' 7""",1115.33,17,5,Y2018
117,,Grayson Murray,72,"65' 9""",985.83,15,-2,Y2018
T118,,John Huh,94,"66' 3""",1855.92,28,7,Y2018
T118,,Nick Taylor,94,"66' 3""",1126.42,17,1,Y2018
120,,Alex Noren,67,"66' 7""",1598.08,24,3,Y2018
T121,,David Hearn,66,"66' 10""",1136.17,17,2,Y2018
T121,,Daniel Summerhays,51,"66' 10""",935.08,14,E,Y2018
T123,,Chad Campbell,87,"67' 1""",1341.75,20,2,Y2018
T123,,Scott Stallings,96,"67' 1""",1676.08,25,3,Y2018
125,,Ollie Schniederjans,91,"67' 2""",1946.75,29,4,Y2018
126,,Kiradech Aphibarnrat,51,"67' 5""",607,9,1,Y2018
127,,Joel Dahmen,93,"67' 7""",1013.83,15,3,Y2018
128,,Stewart Cink,87,"67' 8""",1149.83,17,1,Y2018
