RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,NUM_SAVES,NUM_BUNKERS,TOTAL_O_U_PAR,YEAR
134,134,Boo Weekley,79,46.61,55,118,46,Y2015
135,135,Daniel Summerhays,101,46.58,75,161,52,Y2015
136,136,Nicholas Thompson,90,46.28,56,121,47,Y2015
137,137,Jason Bohn,95,46.15,60,130,47,Y2015
138,138,Roger Sloan,56,46.03,29,63,30,Y2015
139,139,Kevin Chappell,86,45.93,62,135,55,Y2015
140,140,Troy Merritt,91,45.89,67,146,63,Y2015
141,141,Andres Romero,69,45.87,50,109,47,Y2015
142,142,Jhonattan Vegas,90,45.79,49,107,34,Y2015
143,143,Shawn Stefani,94,45.65,63,138,43,Y2015
144,144,Sergio Garcia,59,45.56,41,90,29,Y2015
145,145,Gonzalo Fernandez-Castaño,81,45.45,60,132,45,Y2015
146,146,Brendon de Jonge,106,45.28,72,159,54,Y2015
147,147,Russell Henley,87,45.19,61,135,53,Y2015
148,148,Tony Finau,106,45.1,69,153,57,Y2015
149,149,Camilo Villegas,83,45.03,68,151,67,Y2015
150,150,Byron Smith,59,45,27,60,22,Y2015
151,151,Keegan Bradley,87,44.88,57,127,52,Y2015
152,152,Jim Furyk,71,44.59,33,74,23,Y2015
153,153,Whee Kim,71,44.57,41,92,38,Y2015
154,154,Retief Goosen,81,44.55,49,110,43,Y2015
155,155,Johnson Wagner,68,44.44,36,81,30,Y2015
156,156,Oscar Fraustro,58,43.53,37,85,35,Y2015
157,157,Gary Woodland,81,43.27,45,104,40,Y2015
158,158,Russell Knox,96,43.12,47,109,37,Y2015
159,159,Tom Hoge,83,42.86,45,105,39,Y2015
160,160,Robert Garrigus,70,42.7,38,89,36,Y2015
161,161,Charles Howell III,105,42.42,56,132,40,Y2015
162,162,Robert Allenby,63,42.35,36,85,32,Y2015
163,163,Bo Van Pelt,81,42.34,47,111,48,Y2015
164,164,Ángel Cabrera,53,42.06,45,107,48,Y2015
T165,T165,Jason Dufner,76,41.73,53,127,58,Y2015
T165,T165,Hudson Swafford,97,41.73,53,127,46,Y2015
167,167,Alex Prugh,84,41.51,44,106,40,Y2015
168,168,Geoff Ogilvy,50,41.33,31,75,26,Y2015
169,169,Jim Renner,68,41.11,37,90,46,Y2015
170,170,Charlie Beljan,76,40.94,52,127,54,Y2015
171,171,John Merrick,78,40.78,42,103,37,Y2015
172,172,Derek Ernst,75,40.57,43,106,46,Y2015
173,173,J.J. Henry,94,40.19,43,107,38,Y2015
174,174,Fabián Gómez,83,39.84,49,123,53,Y2015
175,175,Patrick Rodgers,57,39.56,36,91,40,Y2015
176,176,Spencer Levin,99,39.2,49,125,46,Y2015
177,177,David Hearn,97,38.97,53,136,69,Y2015
178,178,Dustin Johnson,75,38.6,44,114,51,Y2015
179,179,Paul Casey,87,38.46,45,117,49,Y2015
180,180,Max Homa,78,38.4,48,125,59,Y2015
T181,T181,Scott Piercy,90,37.5,48,128,47,Y2015
T181,T181,Chez Reavie,56,37.5,27,72,30,Y2015
183,183,Davis Love III,51,37.35,31,83,32,Y2015
184,184,Andrew Svoboda,80,37.17,42,113,54,Y2015
1,1,Bill Haas,107,62.15,110,177,27,Y2014
2,2,Mike Weir,69,61.95,70,113,33,Y2014
3,3,Vijay Singh,83,61.36,81,132,40,Y2014
4,4,Phil Mickelson,71,61.27,87,142,35,Y2014
5,5,Charlie Wi,72,61.02,72,118,26,Y2014
6,6,Tim Clark,75,60.98,75,123,43,Y2014
7,7,Justin Leonard,75,60.58,83,137,47,Y2014
8,8,Seung-Yul Noh,92,60.28,85,141,33,Y2014
9,9,Jonas Blixt,64,59.29,67,113,31,Y2014
