RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,NUM_SAVES,NUM_BUNKERS,TOTAL_O_U_PAR,YEAR
39,,Beau Hossler,104,54.19,97,179,40,Y2018
40,,Abraham Ancer,98,54.12,92,170,33,Y2018
41,,Jonathan Randolph,71,54.03,67,124,44,Y2018
42,,Chris Kirk,108,54.01,101,187,38,Y2018
43,,Patrick Cantlay,87,53.91,62,115,23,Y2018
44,,Brooks Koepka,64,53.76,50,93,23,Y2018
45,,Austin Cook,107,53.45,93,174,54,Y2018
T46,,Brandon Harkins,101,53.42,86,161,53,Y2018
T46,,Chris Stroud,81,53.42,78,146,47,Y2018
T48,,Jamie Lovemark,92,53.33,96,180,43,Y2018
T48,,Jimmy Walker,81,53.33,80,150,49,Y2018
50,,William McGirt,84,53.28,73,137,42,Y2018
51,,Brian Gay,103,53.1,77,145,55,Y2018
52,,Zach Johnson,94,52.98,80,151,38,Y2018
53,,Cameron Tringale,67,52.81,47,89,32,Y2018
54,,Johnson Wagner,75,52.75,48,91,16,Y2018
55,,Blayne Barber,69,52.73,58,110,38,Y2018
56,,Ryan Armour,109,52.54,93,177,59,Y2018
57,,Daniel Summerhays,51,52.44,43,82,38,Y2018
58,,Rory McIlroy,64,52.43,54,103,26,Y2018
59,,Luke List,98,52.22,94,180,35,Y2018
60,,Russell Knox,94,52.21,71,136,38,Y2018
61,,Dustin Johnson,77,52.17,48,92,24,Y2018
62,,Jonas Blixt,67,52.13,49,94,26,Y2018
63,,Hideki Matsuyama,75,52.04,51,98,40,Y2018
64,,Harold Varner III,91,51.95,80,154,33,Y2018
T65,,Joel Dahmen,93,51.85,70,135,31,Y2018
T65,,Alex Noren,67,51.85,56,108,28,Y2018
67,,Sam Saunders,80,51.75,74,143,46,Y2018
T68,,Billy Horschel,86,51.72,60,116,37,Y2018
T68,,Patrick Rodgers,97,51.72,75,145,40,Y2018
T70,,Tommy Fleetwood,73,51.67,62,120,46,Y2018
T70,,Si Woo Kim,108,51.67,108,209,65,Y2018
72,,Ricky Barnes,65,51.65,47,91,30,Y2018
73,,Lucas Glover,65,51.61,64,124,36,Y2018
T74,,Talor Gooch,78,51.52,68,132,37,Y2018
T74,,Hudson Swafford,73,51.52,51,99,27,Y2018
