RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Kevin Na,91,"24' 4""",4817.33,198,-29,Y2018
2,,Cameron Percy,56,"24' 5""",2540.5,104,-11,Y2018
T3,,Brooks Koepka,64,"24' 8""",3161.75,128,-18,Y2018
T3,,Marc Leishman,93,"24' 8""",4657.58,189,-24,Y2018
T3,,Henrik Stenson,60,"24' 8""",3473.42,141,-12,Y2018
T6,,Zecheng Dou,53,"24' 10""",2409.33,97,-3,Y2018
T6,,Cody Gribble,71,"24' 10""",3600.08,145,-17,Y2018
T6,,Zach Johnson,94,"24' 10""",5486.67,221,-22,Y2018
9,,Patton Kizzire,92,"25' 3""",4972.58,197,-7,Y2018
10,,Phil Mickelson,90,"25' 6""",4055.08,159,-14,Y2018
11,,Sam Ryder,82,"25' 7""",5545.92,217,-15,Y2018
T12,,Keegan Bradley,98,"25' 8""",6958.08,271,-21,Y2018
T12,,"Ted Potter, Jr.",87,"25' 8""",5334.17,208,-24,Y2018
T12,,Chez Reavie,93,"25' 8""",4903.83,191,-19,Y2018
T15,,Jordan Spieth,81,"25' 9""",4322.08,168,-8,Y2018
T15,,Kyle Thompson,50,"25' 9""",2578.17,100,-2,Y2018
17,,Justin Thomas,91,"25' 10""",4235.42,164,-6,Y2018
T18,,Emiliano Grillo,94,"25' 11""",6120.5,236,-27,Y2018
T18,,Nicholas Lindheim,77,"25' 11""",4723.42,182,-18,Y2018
T18,,Patrick Reed,94,"25' 11""",4072.67,157,-15,Y2018
T18,,Shawn Stefani,76,"25' 11""",4332.25,167,-5,Y2018
22,,J.J. Spaun,85,"26' 1""",5563.42,213,-3,Y2018
T23,,Byeong Hun An,86,"26' 2""",5624.42,215,-14,Y2018
T23,,Shane Lowry,64,"26' 2""",3720.25,142,-14,Y2018
T25,,Dustin Johnson,77,"26' 3""",3622.33,138,-15,Y2018
T25,,Whee Kim,93,"26' 3""",6388.17,243,-5,Y2018
T25,,Anirban Lahiri,82,"26' 3""",5323.83,203,-19,Y2018
T25,,Francesco Molinari,73,"26' 3""",4199.25,160,-13,Y2018
T29,,Rafa Cabrera Bello,75,"26' 4""",3683.25,140,-12,Y2018
T29,,Austin Cook,107,"26' 4""",7353.67,279,-25,Y2018
T29,,Brandon Harkins,101,"26' 4""",5881.25,223,-15,Y2018
T29,,Charley Hoffman,87,"26' 4""",5035.92,191,-19,Y2018
T29,,Justin Rose,70,"26' 4""",3865.92,147,-19,Y2018
T29,,Conrad Shindler,60,"26' 4""",3789.58,144,-6,Y2018
T35,,Russell Knox,94,"26' 5""",5972.5,226,-15,Y2018
T35,,Matt Kuchar,88,"26' 5""",4616.75,175,-10,Y2018
T35,,Ollie Schniederjans,91,"26' 5""",5624.5,213,-9,Y2018
T38,,Ricky Barnes,65,"26' 6""",3152.83,119,-13,Y2018
T38,,David Hearn,66,"26' 6""",3916,148,5,Y2018
T38,,Kevin Kisner,89,"26' 6""",4690.83,177,-17,Y2018
T41,,Ryan Armour,109,"26' 7""",7984.5,300,-26,Y2018
T41,,Kyle Stanley,93,"26' 7""",5557,209,-15,Y2018
T41,,Kevin Streelman,94,"26' 7""",6437.67,242,-18,Y2018
T44,,J.B. Holmes,77,"26' 8""",4580.17,172,-5,Y2018
T44,,Sung Kang,89,"26' 8""",5170.42,194,10,Y2018
T44,,Kelly Kraft,94,"26' 8""",6302.92,236,-21,Y2018
T44,,Ryan Moore,78,"26' 8""",5448.33,204,-14,Y2018
T44,,Aaron Wise,90,"26' 8""",5461.92,205,-19,Y2018
T49,,Tony Finau,105,"26' 9""",5128.25,192,-21,Y2018
T49,,Hideki Matsuyama,75,"26' 9""",4304,161,-9,Y2018
T49,,Ian Poulter,73,"26' 9""",3935.92,147,-5,Y2018
T52,,Paul Casey,74,"26' 10""",4026.92,150,-8,Y2018
T52,,Tommy Fleetwood,73,"26' 10""",4073.33,152,-21,Y2018
T52,,Danny Lee,88,"26' 10""",5907.67,220,-5,Y2018
T55,,Rickie Fowler,74,"26' 11""",5546.67,206,-21,Y2018
T55,,Jamie Lovemark,92,"26' 11""",5349.08,199,-18,Y2018
57,,Patrick Cantlay,87,"27' 0""",4372.17,162,-16,Y2018
T58,,Kevin Chappell,77,"27' 1""",4061.75,150,-9,Y2018
T58,,J.J. Henry,81,"27' 1""",5147,190,-4,Y2018
T58,,Ryan Palmer,69,"27' 1""",4276.08,158,4,Y2018
T58,,Tyrone Van Aswegen,101,"27' 1""",6714.83,248,-18,Y2018
T58,,Harold Varner III,91,"27' 1""",5985.75,221,-22,Y2018
T63,,Talor Gooch,78,"27' 2""",4834.58,178,-11,Y2018
T63,,Tom Hoge,101,"27' 2""",6226.25,229,9,Y2018
T63,,C.T. Pan,104,"27' 2""",7394.33,272,-23,Y2018
T66,,Wesley Bryan,69,"27' 3""",4437.42,163,-13,Y2018
T66,,Matt Every,79,"27' 3""",4958.83,182,-2,Y2018
T66,,Robert Garrigus,80,"27' 3""",4955.67,182,-2,Y2018
T66,,James Hahn,85,"27' 3""",5960.33,219,-21,Y2018
