RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
T135,,Jonathan Byrd,70,58.59,508,867,Y2018
T135,,Keith Mitchell,99,58.59,795,"1,357",Y2018
137,,Martin Piller,79,58.51,629,"1,075",Y2018
138,,Justin Thomas,91,58.41,674,"1,154",Y2018
139,,Brett Stegmaier,67,58.38,498,853,Y2018
140,,Charley Hoffman,87,58.34,654,"1,121",Y2018
141,,Jason Day,75,58.32,557,955,Y2018
142,,Bubba Watson,90,58.27,645,"1,107",Y2018
143,,Jason Kokrak,99,58.06,803,"1,383",Y2018
144,,Jhonattan Vegas,92,57.91,725,"1,252",Y2018
145,,Adam Schenk,86,57.67,643,"1,115",Y2018
146,,Stewart Cink,87,57.6,701,"1,217",Y2018
147,,Matt Atkins,56,57.5,418,727,Y2018
148,,Talor Gooch,78,57.31,576,"1,005",Y2018
149,,Bill Haas,76,57.27,591,"1,032",Y2018
150,,J.B. Holmes,77,57.13,597,"1,045",Y2018
151,,Cameron Smith,85,57.03,625,"1,096",Y2018
152,,Tyrone Van Aswegen,101,56.98,739,"1,297",Y2018
153,,Jamie Lovemark,92,56.92,699,"1,228",Y2018
154,,Peter Malnati,87,56.86,659,"1,159",Y2018
155,,Brooks Koepka,64,56.85,498,876,Y2018
156,,Sung Kang,89,56.72,675,"1,190",Y2018
157,,Scott Stallings,96,56.57,710,"1,255",Y2018
158,,Shawn Stefani,76,56.52,585,"1,035",Y2018
159,,Robert Garrigus,80,56.37,597,"1,059",Y2018
160,,Nick Watney,94,56.33,707,"1,255",Y2018
161,,Rob Oppenheim,74,56.26,535,951,Y2018
162,,Grayson Murray,72,56,565,"1,009",Y2018
163,,Rory McIlroy,64,55.79,477,855,Y2018
164,,Dominic Bozzelli,65,55.69,504,905,Y2018
165,,Patton Kizzire,92,55.59,696,"1,252",Y2018
166,,Matt Every,79,55.5,580,"1,045",Y2018
167,,Cody Gribble,71,55.45,504,909,Y2018
168,,Wesley Bryan,69,55.41,522,942,Y2018
169,,Lanto Griffin,80,55.27,572,"1,035",Y2018
170,,Retief Goosen,60,55.22,402,728,Y2018
T171,,Seamus Power,86,55.19,601,"1,089",Y2018
T171,,Charl Schwartzel,65,55.19,447,810,Y2018
173,,Patrick Reed,94,55.11,663,"1,203",Y2018
174,,Tony Finau,105,55.09,757,"1,374",Y2018
175,,Trey Mullinax,75,54.94,528,961,Y2018
176,,Martin Flores,92,54.92,659,"1,200",Y2018
177,,Michael Kim,74,54.89,539,982,Y2018
178,,Brandon Harkins,101,54.79,727,"1,327",Y2018
179,,Zecheng Dou,53,54.76,374,683,Y2018
180,,Tom Lovelady,87,54.73,619,"1,131",Y2018
181,,Daniel Summerhays,51,54.69,344,629,Y2018
182,,Luke List,98,54.66,727,"1,330",Y2018
183,,Robert Streb,78,54.11,559,"1,033",Y2018
184,,Andrew Yun,51,53.58,337,629,Y2018
185,,Jimmy Walker,81,53.49,575,"1,075",Y2018
T186,,Aaron Baddeley,84,53.27,579,"1,087",Y2018
T186,,Derek Fathauer,84,53.27,595,"1,117",Y2018
188,,Peter Uihlein,83,52.93,579,"1,094",Y2018
189,,Phil Mickelson,90,52.91,646,"1,221",Y2018
190,,Kevin Tway,110,52.61,765,"1,454",Y2018
191,,Ollie Schniederjans,91,52.22,634,"1,214",Y2018
192,,Cameron Tringale,67,51.99,458,881,Y2018
193,,Ricky Barnes,65,47.15,389,825,Y2018
1,1,Ryan Armour,63,72.73,600,825,Y2017
2,2,Boo Weekley,75,71.67,731,"1,020",Y2017
3,3,Brian Stuard,93,71.49,850,"1,189",Y2017
4,4,Jim Furyk,54,70.75,462,653,Y2017
5,5,Chez Reavie,98,70.53,895,"1,269",Y2017
6,6,William McGirt,89,70.06,777,"1,109",Y2017
7,7,Francesco Molinari,75,69.8,684,980,Y2017
8,8,Zac Blair,105,69.7,964,"1,383",Y2017
9,9,Søren Kjeldsen,58,69.21,472,682,Y2017
10,10,Graeme McDowell,56,69.15,520,752,Y2017
11,11,Jim Herman,77,69.02,724,"1,049",Y2017
12,12,Ken Duke,77,68.62,680,991,Y2017
13,13,Kyle Stanley,104,68.55,957,"1,396",Y2017
14,14,Vaughn Taylor,90,68.28,805,"1,179",Y2017
15,15,Steve Wheatcroft,51,68.24,447,655,Y2017
16,16,Ben Crane,86,67.97,749,"1,102",Y2017
17,17,Ryan Moore,82,67.9,751,"1,106",Y2017
18,18,Spencer Levin,89,67.82,805,"1,187",Y2017
19,19,Steven Alker,69,67.54,595,881,Y2017
20,20,Chad Campbell,97,67.21,910,"1,354",Y2017
21,21,Alex Cejka,85,67.19,721,"1,073",Y2017
22,22,Russell Knox,75,67.09,640,954,Y2017
23,23,Kevin Kisner,105,67,881,"1,315",Y2017
24,24,David Hearn,93,66.75,791,"1,185",Y2017
25,25,Zach Johnson,81,66.54,680,"1,022",Y2017
T26,T26,Keegan Bradley,104,66.23,906,"1,368",Y2017
T26,T26,K.J. Choi,72,66.23,610,921,Y2017
28,28,Roberto Castro,70,66.2,611,923,Y2017
29,29,Kevin Streelman,90,66.01,810,"1,227",Y2017
30,30,Richy Werenski,81,65.92,681,"1,033",Y2017
31,31,D.A. Points,68,65.83,626,951,Y2017
32,32,Chris Stroud,67,65.7,542,825,Y2017
33,33,Tim Wilkinson,64,65.68,530,807,Y2017
34,34,Webb Simpson,102,65.51,868,"1,325",Y2017
35,35,Brian Gay,82,65.47,713,"1,089",Y2017
36,36,Matt Kuchar,95,65.36,802,"1,227",Y2017
37,37,Lucas Glover,93,65.31,802,"1,228",Y2017
38,38,Emiliano Grillo,90,65.29,777,"1,190",Y2017
39,39,Kyle Reifers,96,65.15,800,"1,228",Y2017
40,40,J.J. Spaun,92,65.11,782,"1,201",Y2017
41,41,Rory Sabbatini,71,64.91,590,909,Y2017
42,42,Shane Lowry,52,64.86,408,629,Y2017
43,43,Martin Laird,83,64.82,715,"1,103",Y2017
44,44,Rick Lamb,54,64.81,453,699,Y2017
45,45,Sam Saunders,76,64.69,632,977,Y2017
46,46,Brett Stegmaier,78,64.66,686,"1,061",Y2017
47,47,John Huh,92,64.09,787,"1,228",Y2017
48,48,Chris Kirk,89,63.93,741,"1,159",Y2017
49,49,Scott Brown,95,63.89,812,"1,271",Y2017
T50,T50,Graham DeLaet,82,63.68,675,"1,060",Y2017
T50,T50,C.T. Pan,88,63.68,747,"1,173",Y2017
T52,T52,Jason Bohn,75,63.67,631,991,Y2017
T52,T52,Ben Martin,86,63.67,701,"1,101",Y2017
54,54,Miguel Angel Carballo,63,63.61,507,797,Y2017
55,55,Paul Casey,94,63.46,764,"1,204",Y2017
56,56,Hunter Mahan,73,63.4,627,989,Y2017
57,57,Julián Etulain,68,63.34,558,881,Y2017
58,58,Jason Dufner,89,63.3,709,"1,120",Y2017
59,59,Rickie Fowler,78,63.29,638,"1,008",Y2017
60,60,Johnson Wagner,71,63.18,556,880,Y2017
61,61,James Hahn,96,63.14,848,"1,343",Y2017
62,62,Peter Malnati,91,63.1,749,"1,187",Y2017
63,63,Adam Hadwin,98,62.85,824,"1,311",Y2017
64,64,Russell Henley,99,62.79,815,"1,298",Y2017
65,65,Danny Lee,93,62.72,779,"1,242",Y2017
66,66,Daniel Summerhays,100,62.69,788,"1,257",Y2017
67,67,Jonathan Randolph,68,62.67,517,825,Y2017
68,68,Geoff Ogilvy,80,62.59,629,"1,005",Y2017
69,69,J.J. Henry,92,62.58,751,"1,200",Y2017
70,70,Ian Poulter,72,62.55,593,948,Y2017
71,71,Brendan Steele,89,62.28,700,"1,124",Y2017
72,72,David Lingmerth,79,62.12,615,990,Y2017
73,73,Brian Harman,104,62.07,833,"1,342",Y2017
74,74,Brandt Snedeker,53,61.98,401,647,Y2017
75,75,Fabián Gómez,61,61.81,513,830,Y2017
76,76,Michael Thompson,60,61.72,482,781,Y2017
77,77,Nick Taylor,97,61.66,817,"1,325",Y2017
78,78,Blayne Barber,77,61.62,610,990,Y2017
79,79,Patrick Cantlay,52,61.47,410,667,Y2017
80,80,Pat Perez,93,61.46,759,"1,235",Y2017
81,81,Sergio Garcia,65,61.08,496,812,Y2017
82,82,Ryan Blaum,100,60.94,816,"1,339",Y2017
83,83,Rod Pampling,71,60.83,604,993,Y2017
84,84,Troy Merritt,82,60.79,628,"1,033",Y2017
85,85,Brett Drewitt,57,60.73,450,741,Y2017
86,86,Billy Hurley III,80,60.57,679,"1,121",Y2017
87,87,Shawn Stefani,72,60.53,575,950,Y2017
88,88,Kevin Na,86,60.46,659,"1,090",Y2017
89,89,Mark Hubbard,81,60.41,624,"1,033",Y2017
90,90,Morgan Hoffmann,92,60.39,741,"1,227",Y2017
91,91,Rafa Cabrera Bello,63,60.33,473,784,Y2017
92,92,Hudson Swafford,94,60.27,757,"1,256",Y2017
93,93,Cameron Percy,71,60.18,547,909,Y2017
94,94,Jonas Blixt,74,60.1,586,975,Y2017
95,95,Kelly Kraft,75,60.06,594,989,Y2017
96,96,Daniel Berger,91,60.02,707,"1,178",Y2017
97,97,Louis Oosthuizen,69,59.98,487,812,Y2017
98,98,Mark Anderson,54,59.97,436,727,Y2017
99,99,Sean O'Hair,84,59.91,686,"1,145",Y2017
100,100,Bud Cauley,92,59.83,718,"1,200",Y2017
101,101,Anirban Lahiri,72,59.82,603,"1,008",Y2017
T102,T102,Greg Chalmers,75,59.8,595,995,Y2017
T102,T102,Billy Horschel,88,59.8,702,"1,174",Y2017
104,104,Tyrone Van Aswegen,105,59.79,809,"1,353",Y2017
105,105,Michael Kim,94,59.71,750,"1,256",Y2017
106,106,Sung Kang,104,59.65,850,"1,425",Y2017
107,107,Mackenzie Hughes,106,59.63,870,"1,459",Y2017
108,108,Harold Varner III,101,59.61,825,"1,384",Y2017
