RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
44,44,Will MacKenzie,82,64.5,736,"1,141",Y2014
45,45,Derek Ernst,80,64.41,686,"1,065",Y2014
46,46,J.J. Henry,91,64.39,781,"1,213",Y2014
47,47,Ben Martin,80,64.34,718,"1,116",Y2014
48,48,Kevin Na,94,64.32,842,"1,309",Y2014
T49,T49,Kevin Stadler,90,64.28,799,"1,243",Y2014
T49,T49,Hudson Swafford,75,64.28,637,991,Y2014
51,51,John Senden,99,64.25,886,"1,379",Y2014
52,52,K.J. Choi,80,64.22,716,"1,115",Y2014
53,53,Shawn Stefani,60,64.17,539,840,Y2014
54,54,Lucas Glover,68,64.02,589,920,Y2014
55,55,John Peterson,62,64,535,836,Y2014
56,56,Nick Watney,80,63.97,671,"1,049",Y2014
57,57,Chris Stroud,88,63.93,787,"1,231",Y2014
58,58,Cameron Tringale,111,63.87,988,"1,547",Y2014
59,59,Jason Dufner,57,63.76,482,756,Y2014
T60,T60,Briny Baird,50,63.7,444,697,Y2014
T60,T60,Brandt Snedeker,89,63.7,774,"1,215",Y2014
62,62,Russell Henley,92,63.67,822,"1,291",Y2014
63,63,Roberto Castro,76,62.95,649,"1,031",Y2014
64,64,Bill Haas,107,62.94,924,"1,468",Y2014
65,65,Bo Van Pelt,83,62.83,727,"1,157",Y2014
66,66,Chris Kirk,105,62.78,916,"1,459",Y2014
T67,T67,Luke Donald,57,62.56,488,780,Y2014
T67,T67,D.A. Points,75,62.56,640,"1,023",Y2014
69,69,Keegan Bradley,89,62.36,767,"1,230",Y2014
70,70,Webb Simpson,87,62.24,732,"1,176",Y2014
T71,T71,George McNeill,79,62.22,685,"1,101",Y2014
T71,T71,Michael Thompson,74,62.22,644,"1,035",Y2014
73,73,Sergio Garcia,61,62.19,505,812,Y2014
74,74,Jim Herman,62,62.18,503,809,Y2014
75,75,Graham DeLaet,80,62.07,684,"1,102",Y2014
76,76,Brian Gay,81,61.99,685,"1,105",Y2014
77,77,Richard Lee,80,61.86,673,"1,088",Y2014
78,78,Jonathan Byrd,76,61.58,617,"1,002",Y2014
79,79,Hideki Matsuyama,82,61.52,689,"1,120",Y2014
80,80,Adam Scott,68,61.51,588,956,Y2014
81,81,Robert Allenby,83,61.47,694,"1,129",Y2014
82,82,Woody Austin,63,61.45,507,825,Y2014
T83,T83,Kevin Kisner,85,61.43,728,"1,185",Y2014
T83,T83,Troy Merritt,62,61.43,532,866,Y2014
85,85,Willy Wilcox,51,61.4,420,684,Y2014
86,86,Sangmoon Bae,76,61.39,652,"1,062",Y2014
87,87,Ian Poulter,57,61.35,481,784,Y2014
88,88,Martin Kaymer,65,61.27,549,896,Y2014
T89,T89,Martin Laird,66,61.26,533,870,Y2014
T89,T89,Kyle Stanley,87,61.26,710,"1,159",Y2014
T91,T91,Josh Teater,90,61.22,750,"1,225",Y2014
T91,T91,Lee Westwood,57,61.22,480,784,Y2014
93,93,Jhonattan Vegas,77,61.16,641,"1,048",Y2014
T94,T94,Scott Langley,95,61.08,791,"1,295",Y2014
T94,T94,Michael Putnam,106,61.08,868,"1,421",Y2014
96,96,Wes Roach,67,61.05,536,878,Y2014
97,97,Brian Harman,111,60.96,943,"1,547",Y2014
98,98,Louis Oosthuizen,50,60.9,391,642,Y2014
99,99,James Hahn,82,60.83,677,"1,113",Y2014
100,100,Vijay Singh,83,60.66,703,"1,159",Y2014
101,101,Paul Casey,56,60.49,473,782,Y2014
102,102,Bubba Watson,76,60.47,618,"1,022",Y2014
103,103,Stuart Appleby,92,60.42,757,"1,253",Y2014
104,104,Brad Fritsch,50,60.24,403,669,Y2014
105,105,Pat Perez,84,60.05,702,"1,169",Y2014
T106,T106,Harris English,95,59.95,771,"1,286",Y2014
T106,T106,Camilo Villegas,95,59.95,795,"1,326",Y2014
T108,T108,Gonzalo Fernandez-Castaño,83,59.93,688,"1,148",Y2014
T108,T108,Rickie Fowler,91,59.93,712,"1,188",Y2014
T108,T108,Rory McIlroy,66,59.93,537,896,Y2014
111,111,Justin Rose,70,59.92,568,948,Y2014
112,112,David Lingmerth,80,59.83,633,"1,058",Y2014
113,113,John Rollins,84,59.8,668,"1,117",Y2014
