RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Branden Grace,67,"39' 9""",1033.75,26,8,Y2018
2,,Chad Campbell,87,"40' 6""",1296.83,32,-3,Y2018
T3,,Bryson DeChambeau,93,"40' 7""",1540.83,38,10,Y2018
T3,,Jason Kokrak,99,"40' 7""",2070.67,51,2,Y2018
5,,Ian Poulter,73,"40' 10""",1142.67,28,3,Y2018
6,,Scott Piercy,84,"41' 2""",1934.25,47,10,Y2018
7,,Lanto Griffin,80,"41' 6""",1701.33,41,6,Y2018
T8,,Bud Cauley,55,"41' 10""",1423.33,34,6,Y2018
T8,,Robert Garrigus,80,"41' 10""",1632.58,39,6,Y2018
10,,J.J. Henry,81,"42' 2""",1307.17,31,5,Y2018
11,,Cameron Smith,85,"42' 9""",1837.42,43,4,Y2018
12,,Lucas Glover,65,"43' 2""",1036.33,24,6,Y2018
13,,Nate Lashley,51,"44' 0""",967.83,22,4,Y2018
14,,Phil Mickelson,90,"44' 3""",1681.67,38,5,Y2018
15,,Shawn Stefani,76,"44' 6""",2046.25,46,10,Y2018
T16,,Ben Martin,64,"44' 10""",1746.92,39,10,Y2018
T16,,J.T. Poston,73,"44' 10""",1389.08,31,12,Y2018
18,,Jhonattan Vegas,92,"45' 0""",1710.58,38,6,Y2018
19,,Sam Saunders,80,"45' 4""",2131.58,47,4,Y2018
20,,Justin Rose,70,"45' 5""",862.83,19,4,Y2018
21,,Kevin Streelman,94,"45' 6""",1275.08,28,3,Y2018
T22,,Charl Schwartzel,65,"45' 9""",1235.08,27,5,Y2018
T22,,Henrik Stenson,60,"45' 9""",732.33,16,-2,Y2018
24,,Beau Hossler,104,"45' 11""",1791.42,39,2,Y2018
25,,Patrick Cantlay,87,"46' 0""",1517.92,33,4,Y2018
26,,Billy Hurley III,70,"46' 3""",2081.17,45,11,Y2018
27,,Scott Stallings,96,"46' 5""",2415.42,52,3,Y2018
28,,Rory McIlroy,64,"46' 7""",1490,32,8,Y2018
29,,Stewart Cink,87,"46' 8""",2195,47,2,Y2018
30,,Chris Kirk,108,"46' 9""",2712.17,58,10,Y2018
31,,Jamie Lovemark,92,"46' 11""",2813.5,60,E,Y2018
32,,Peter Uihlein,83,"47' 0""",1598.83,34,1,Y2018
T33,,Keegan Bradley,98,"47' 2""",1510.58,32,6,Y2018
T33,,J.B. Holmes,77,"47' 2""",1367.33,29,-2,Y2018
35,,Brian Stuard,103,"47' 5""",2037.33,43,5,Y2018
36,,Aaron Wise,90,"47' 6""",1567.42,33,8,Y2018
37,,C.T. Pan,104,"47' 7""",2044.5,43,9,Y2018
38,,James Hahn,85,"47' 8""",2050.92,43,12,Y2018
T39,,David Hearn,66,"47' 9""",1337.33,28,4,Y2018
